"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",22842.676,344.813,212.375,2.731,4.497,0.422,1.3,34.203,48897.441,402.577,89.818,22.296,37.069,481.712,132.832,154.209,10.78,11.244,7.344,7.143,5.037,3.305,8.337,7.176,1.527,3.678,46.471,226.128,35.481,250.345,2367.55,77.827,5.348,7.679,72.006,1.926,1649.021,10.331,10.548,10.143,15.945,62.002,228.041,128.005,492.424,163.499,346.898,109.867,76.065,0,49798.814,4.159,218.71,370.71,64.06,0,54.68,15121.607,0,145752.833
"DOM_A02",176.503,1480.353,3.361,6.601,1.518,0.245,0.34,3.41,118.182,4.89,2722.66,161.676,3.142,22.158,1.62,69.617,10.216,4.989,4.093,3.4,0.808,0.99,1.564,3.016,1.32,0.989,84.815,282.185,1.339,151.52,128.509,5.297,0.252,0.888,5.626,0.149,8.383,0.942,1.49,1.334,1.148,11.03,6.575,3.381,40.11,5.4,4.731,7.051,4.162,0,908.382,0.02,0.968,109.772,6.942,0,0.243,1506.908,0,8097.213
"DOM_A03",193.959,3.744,964.924,0.606,1.293,0.152,0.177,7.556,4946.408,1.962,0.795,2.064,6.96,18.412,4.079,1.463,1.91,2.223,1.439,1.852,1.196,0.853,1.244,1.703,0.442,0.99,2.434,5.385,2.231,12.547,147.914,9.366,1.389,3.313,7.27,0.263,330.35,2.301,3.092,3.323,3.493,6.978,9.303,3.956,90.251,14.673,31.06,7.837,5.19,0,2413.787,0.456,98.918,10.207,9.337,0,5.129,2729.83,0,12139.993
"DOM_B05",6.439,0.628,0.393,25.763,2.845,0.692,0.653,31.734,12.032,1.355,1.388,4.69,394.114,21.156,0.965,2.788,40.158,266.906,40.895,2.802,1.581,1.252,2.202,2.397,0.735,1.88,2.715,1832.177,2.943,43.268,27.816,13.012,0.513,2.708,10.378,0.394,1.173,0.923,2.409,1.616,2.7,11.212,7.607,2.43,15.747,3.24,3.417,1.149,1.331,0,971.213,0.064,2.912,141.835,0,0,0.499,9788.539,0,13764.384
"DOM_B06",142.603,16.626,43.743,75.352,628.44,14.495,29.711,4297.638,118.89,10.25,22.553,31.796,33962.135,277.753,11.563,29.51,115.091,175.444,63.314,41.278,15.258,16.251,20.202,31.987,6.971,17.573,45.281,5721.067,50.875,438.351,482.959,898.655,42.704,300.722,192.444,9.341,14.512,8.497,22.919,18.448,39.553,85.088,102.47,40.587,237.652,31.891,46.163,15.957,19.355,0,2257.988,2.177,20.78,1414.493,0,0,11.11,123083.809,0,175872.276
"DOM_B07",2.452,0.577,0.173,4.154,4.8,11.913,2.753,60.737,5.006,0.641,2.193,1.209,112.062,32.44,0.528,3.63,62.89,1231.082,1394.218,112.819,7.41,17.441,27.93,28.784,4.803,11.988,13.987,67.149,8.639,133.893,14.511,5.092,0.231,1.035,4.374,0.125,0.428,0.407,1.047,0.66,0.906,6.989,5.82,1.308,6.808,1.191,1.221,0.706,0.862,0,24.047,0.095,0.677,77.183,0,0,0.545,4601.469,0,8126.038
"DOM_B08",41.357,1.059,1.357,3.263,3.984,1.19,9.931,57.195,24.419,5.964,5.258,12.164,136.105,163.62,7.102,42.68,337.485,95.175,36.546,8.852,4.58,4.431,3.595,7.143,1.549,2.431,15.975,75.157,9.553,426.651,43.894,17.85,1.149,5.891,26.117,0.439,1.995,1.318,2.445,1.779,3.124,23.198,16.125,6.349,25.67,6.036,14.917,2.948,3.513,0,493.499,0.246,4.839,204.113,13.994,0,1.426,9632.378,0,12101.024
"DOM_B09",72.408,4.506,139.301,1061.438,9375.998,179.472,444.632,72031.418,74.735,4.534,11.191,90.507,18849.114,50.479,6.492,47.294,836.152,495.294,384.371,24.249,12.283,9.808,18.164,16.024,3.581,8.968,21.273,5642.061,28.966,1652.512,165.127,190.06,8.666,40.179,121.12,7.478,8.284,19.135,22.015,16.141,26.587,106.631,154.561,24.445,124.527,18.805,22.359,10.015,7.689,0,160.709,0.585,9.403,15091.006,17.32,0,1.841,1791.499,0,129763.41
"DOM_C10T12",11519.438,27.943,651.297,7.019,12.835,1.32,2.891,76.856,27038.74,91.785,32.475,124.064,266.106,1024.699,208.176,71.19,57.746,82.267,51.936,56.915,32.071,23.761,34.992,36.005,13.048,34.505,75.786,162.4,66.543,255.93,3352.767,170.528,29.406,42.721,198.066,6.414,5421.362,68.865,61.231,77.126,108.664,198.531,237.86,103.547,1248.362,544.942,779.871,414.665,159.816,0,114625.784,26.381,28.787,263.563,125.298,0,131.339,15915.619,0,186482.254
"DOM_C13T15",43.011,4.405,26.94,4.293,5.689,0.831,0.799,37.105,68.795,1842.536,15.744,83.137,39.545,78.754,13.134,103.946,52.469,32.349,15.349,29.666,14.822,12.901,19.163,105.584,10.962,21.336,170.638,41.133,21.559,161.627,380.419,33.354,1.151,6.633,28.459,3.28,28.711,5.967,7.928,7.22,9.459,23.492,70.193,48.645,262.477,31.195,113.005,47.032,59.686,0,8546.64,1.215,3.489,66.663,40.84,0,40.09,2065.807,0,15011.274
