"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",7304.805,7.161,102.246,0,18.63,0.24,3.7,0.818,8559.27,332.707,40.84,9.272,1.604,691.509,49.375,69.221,3.297,0.204,0.553,1.033,0.101,1.646,3.235,0.313,0.004,0.03,46.487,41.384,13.527,514.656,5093.308,10.981,1.942,0.617,17.64,0.707,3887.521,1.674,5.717,1.307,2.213,27.709,29.97,204.12,194.962,116.521,341.953,82.557,162.501,0,12292.797,0,196.059,4656.72,99.898,0,37.615,635.46,0,45920.337
"DOM_A02",3.006,0.453,0.064,0,0.214,0.005,0.02,0.001,2.91,0.154,20.013,1.867,0.012,0.723,0.023,0.502,0.104,0.011,0.012,0.01,0,0.006,0.006,0.001,0,0,1.441,0.934,0.016,2.918,4.706,0.009,0.002,0.001,0.015,0.001,1.546,0.004,0.025,0.01,0.002,0.06,0.02,0.113,0.339,0.104,0.169,0.119,0.105,0,23.132,0,0.067,1.375,0.039,0,0.013,1.8,0,69.203
"DOM_A03",18.298,0.061,457.294,0,0.254,0.067,0.17,0.003,587.62,0.898,0.114,0.113,0.364,4.286,0.299,0.2,0.284,0.036,0.088,0.185,0.004,0.17,0.104,0.006,0.008,0.005,0.354,0.256,0.459,4.345,223.465,0.267,0.389,0.111,0.568,0.003,572.238,0.206,0.664,0.546,0.423,2.285,0.597,1.111,26.412,5.156,19.395,2.57,3.868,0,2087.243,0,42.688,9.912,0.912,0,3.655,14.476,0,4095.507
"DOM_B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B06",52.133,0.11,7.322,0,4304.292,12.444,58.435,22.77,73.824,19.136,12.899,72.489,62230.68,2031.462,5.758,32.682,407.45,196.166,179.172,61.162,0.997,30.259,25.473,4.38,0.187,0.826,42.475,4747.341,44.289,551.959,1202.422,46.456,5.629,23.446,75.18,4.411,73.933,3.358,30.377,8.436,7.52,48.208,27.223,34.161,81.792,30.796,63.22,11.596,19.841,0,788.103,0.008,15.425,403.882,0,0,18.306,223027.093,0,301279.397
"DOM_B07",0.06,0,0.007,0,9.819,6.879,3.672,0.822,0.135,0.033,0.008,0.034,15.896,16.129,0.023,0.053,16.855,94.288,182.403,3.577,0.003,0.36,0.226,0.021,0,0,0.431,3.83,0.119,35.867,0.748,0.059,0.001,0.009,0.046,0.002,0.095,0.002,0.009,0.001,0.001,0.091,0.085,0.105,0.071,0.021,0.026,0.017,0.092,0,0.003,0,0,0.005,0.309,0,0,1349.362,0,1742.708
"DOM_B08",6.812,0.018,1.006,0,69.645,4.035,107.134,5.473,3.11,0.634,0.173,5.386,104.302,226.614,0.293,1.545,849.292,63.614,35.154,5.033,0.034,3.538,1.068,0.118,0.002,0.011,6.39,31.68,5.167,2290.364,14.664,0.66,0.053,0.033,0.654,0.016,1.328,0.006,0.179,0.015,0.013,12.39,0.626,9.555,8.132,0.438,0.493,0.304,0.89,0,2.647,0,0.022,2.787,0.559,0,0.054,141.103,0,4025.265
"DOM_B09",0.35,0.001,1.049,0,1334.611,3.499,22.07,43.549,0.378,0.058,0.134,0.813,94.764,1.277,0.028,0.3,9.341,1.741,1.929,2.066,0.012,0.64,0.725,0.115,0.002,0.012,0.583,13.724,0.343,53.708,3.343,0.43,0.051,0.171,0.499,0.072,0.293,0.038,0.108,0.024,0.029,0.557,0.475,0.217,0.569,0.12,0.245,0.041,0.133,0,2.41,0,0.045,64.212,6.571,0,0.051,112.087,0,1780.615
"DOM_C10T12",1084.133,0.19,111.66,0,27.119,0.355,2.731,0.616,1456.774,17.175,2.57,18.569,23.823,454.115,22.398,5.231,6.958,1.343,3.024,3.217,0.094,3.699,1.968,0.276,0.005,0.039,16.046,5.975,7.356,71.215,2030.531,6.47,3.682,2.933,14.648,1.415,3302.004,7.475,24.921,12.639,8.051,32.431,17.407,41.802,136.04,129.605,260.431,92.655,56.382,0,25308.664,0.001,480.477,73.837,26.477,0,163.474,3224.222,0,38807.351
"DOM_C13T15",4.019,0.039,10.26,0,22.995,0.445,1.353,0.595,2.641,889.426,2.843,36.671,3.46,58.124,1.483,24.199,24.536,1.748,1.344,7.268,0.139,6.741,4.317,5.301,0.034,0.21,111.566,1.731,2.866,149.617,432.559,2.014,0.182,0.733,4.756,1.251,74.089,0.761,4.212,1.924,1.328,8.099,13.618,30.548,52.625,11.258,84.547,21.967,55.138,0,5350.867,0,63.922,378.404,94.182,0,25.539,566.783,0,8657.279
"DOM_C16",5.449,0.132,0.637,0,11.098,0.44,1.244,0.286,5.897,2.074,264.09,34.286,0.651,32.759,0.46,3.978,27.351,1.097,2.447,9.546,0.118,7.636,2.752,1.563,0.054,0.084,214.036,6.439,1.407,1889.343,173.818,1.759,0.055,0.149,8.302,0.094,13.978,0.691,2.226,0.741,0.429,27.4,9.766,10.27,4.046,4.313,8.165,2.953,19.6,0,71.438,0,0.001,15.068,3.435,0,2.446,47.332,0,2955.83
"DOM_C17_18",6.514,0.023,1.918,0,43.14,0.629,1.484,0.571,53.122,12.828,11.802,970.272,13.193,107.985,12.4,16.712,56.234,3.162,5.795,20.061,0.928,27.712,9.761,1.934,0.016,0.245,51.929,13.049,12.596,142.373,1624.246,8.664,0.982,2.347,19.922,10.075,58.047,177.177,126.13,66.545,71.756,34.231,197.475,162.673,244.615,175.529,145.342,45.558,65.413,0,3456.373,0,9.796,67.215,28.494,0,26.124,1595.978,0,10019.097
"DOM_C19",710.938,5.61,446.28,0,3922.517,124.188,309.236,131.569,266.221,69.238,134.462,251.377,14381.379,6972.463,36.223,73.766,942.365,595.545,220.285,204.658,2.733,257.062,75.256,29.755,0.256,2.033,329.637,1912.235,378.674,7665.608,16364.788,3790.562,474.583,2742.217,1146.742,138.981,585.73,35.593,465.295,162.493,191.496,286.777,361.381,799.283,1619.165,363.72,791.846,214.186,407.985,0,15835.733,0.033,26.527,406.005,293.692,0,129.548,69332.832,0,157418.766
"DOM_C20",656.941,0.339,9.818,0,514.329,21.377,52.241,14.205,201.75,263.189,111.953,458.555,994.44,11001.567,155.485,1135.255,466.112,64.431,88.041,155.477,6.327,229.691,54.06,24.383,0.326,1.249,336.679,34.212,185.882,1810.189,1053.307,12.703,1.582,4.636,39.306,1.254,188.35,23.231,11.768,20.551,7.07,105.609,87.259,186.063,78.199,68.948,511.435,30.959,287.487,0,4894.147,0.185,9.164,127.115,38.618,0,33.389,50335.023,0,77205.862
"DOM_C21",4.045,0.001,0.287,0,5.07,0.142,0.117,0.043,1.169,0.446,0.096,0.179,0.315,10.534,32.693,0.124,0.21,0.12,0.122,0.149,0.015,0.25,0.279,0.032,0.001,0.003,5.948,0.304,0.721,8.559,17.854,0.31,0.039,0.112,0.418,0.067,0.899,0.101,0.481,0.165,0.389,0.561,5.973,1.205,12.455,3.626,413.468,2.016,2.406,0,743.981,0.056,217.209,94.39,21.892,0,5.359,358.74,0,1976.144
"DOM_C22",18.457,0.06,3.21,0,102.391,1.816,4.589,1.465,63.755,16.849,12.339,60.143,21.204,226.764,14.716,215.493,42.824,4.51,9.69,44.04,2.405,112.816,37.035,22.528,0.053,1.064,94.476,4.564,23.978,1208.394,1255.946,31.41,0.772,1.589,15.734,1.31,18.217,2.429,11.406,2.754,3.32,27.658,19.519,37.756,16.339,11.086,42.501,6.163,20.948,0,681.059,0,0,313.165,71.509,0,0.011,2773.086,0,7737.317
"DOM_C23",12.242,0.036,0.467,0,104.107,3.811,9.867,1.602,39.183,2.669,12.407,2.736,10.84,87.008,6.903,20.883,1015.806,38.867,16.792,32.89,1.513,49.359,10.729,6.859,0.063,0.228,37.435,9.93,25.071,9815.158,261.36,3.097,0.853,0.175,6.932,0.302,31.19,0.178,2.853,0.436,1.394,149.264,17.624,14.374,15.62,17.581,23.994,4.715,18.114,0,1010.208,0,0,1082.625,223.808,0,0.033,936.02,0,15198.212
"DOM_C24A",1.566,0.012,0.181,0,266.294,2.233,1.374,1.624,1.161,1.081,3.292,2.582,9.266,12.34,0.294,10.873,41.977,654.194,43.03,686.361,1.394,123.627,164.385,26.137,0.354,2.998,66.661,9.151,16.82,1881.282,100.329,1.503,0.291,0.046,4.998,0.063,0.737,0.056,0.576,0.168,0.367,9.987,9.954,2.592,3.493,2.284,5.235,1.624,3.588,0,26.627,0,2.484,39.379,8.083,0,0.259,1960.154,0,6217.421
"DOM_C24B",0.064,0.001,0.019,0,3.751,0.057,0.052,0.022,0.309,0.181,0.196,0.404,0.404,6.931,0.098,0.596,1.328,7.463,66.534,23.354,0.277,23.88,4.911,1.041,0.007,0.11,8.732,0.387,0.859,35.386,8.876,0.106,0.015,0.02,0.19,0.013,0.346,0.028,0.188,0.064,0.143,0.494,0.431,0.34,0.555,0.516,2.903,0.346,0.553,0,22.385,0,0,31.017,0,0,0.18,4017.319,0,4274.385
"DOM_C25",8.438,0.065,1.047,0,224.324,3.175,4.68,4.782,23.538,3.545,15.051,7.319,18.977,73.989,1.957,13.556,35.109,42.266,22.463,356.505,1.689,99.095,121.691,19.744,0.319,1.886,92.75,10.695,10.319,2286.613,295.661,3.688,0.511,0.4,8.197,0.209,11.04,0.593,10.767,2.076,0.642,34.166,18.632,21.535,49.636,6.867,10.858,3.875,15.544,0,141.778,0,0.003,5842.119,978.239,0,0.048,1075.485,0,12038.154
