"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",346.084,2.182,2.564,0.011,0,0.009,0.008,0.001,1108.791,2.166,0.017,0.007,0.002,0.061,0.005,0.014,0.053,0.01,0.002,0.041,0,0.004,0.001,0,0.036,0.157,0.011,0.038,0.018,0.23,16.74,4.294,0.001,0.005,0.012,0,105.933,0.003,0.015,0.003,0.007,0.005,0.226,0.132,3.704,1.672,4.382,0.373,0.851,0,2051.359,0.068,1.234,877.502,129.582,0,2.91,319.252,0,4982.787
"DOM_A02",3.332,6.019,0.001,0.029,0,0.001,0.002,0,7.976,0.376,6.964,1.245,0,0.265,0.005,0.145,0.103,0.001,0.001,0.007,0,0,0,0,0.003,0.005,2.577,0.002,0.001,0.539,0.57,0.001,0,0.001,0.01,0,3.13,0,0.008,0.001,0.002,0.002,0.023,0.005,0.692,0.004,0.007,0.001,0.001,0,77.421,0.002,0.087,0.097,0.758,0,0.005,21.868,0,134.296
"DOM_A03",0.788,0.005,4.867,0.004,0,0.023,0.019,0.002,87.644,0.101,0.018,0.016,0.006,0.169,0.006,0.035,0.113,0.027,0.005,0.071,0,0.009,0.002,0,0.004,0.007,0.022,0.11,0.014,0.615,0.124,0.033,0.001,0.016,0.029,0,4.106,0.007,0.029,0.005,0.009,0.012,0.078,0.02,0.851,0.083,0.064,0.01,0.015,0,270.511,0,0.012,2.961,2.549,0,0.241,50.614,0,427.081
"DOM_B05",0.362,0.006,0.003,1.225,0.012,0.645,0.536,0.18,0.62,0.306,0.03,0.11,3.689,1.024,0.002,0.048,2.732,1.896,0.128,0.025,0,0.014,0.001,0,0.003,0.008,0.009,26.424,0.025,0.686,0.072,0.032,0,0.002,0.026,0,0.027,0.002,0.015,0.002,0.005,0.06,0.032,0.009,0.193,0.111,0.018,0.002,0.054,0,6.714,0,0.001,0.154,0.569,0,0.002,4.259,0,53.11
"DOM_B06",0.008,0.001,0.001,0.055,0.092,0.122,0.028,0.053,0.073,0.008,0.006,0.001,39.633,0.812,0.001,0.001,0.074,0.073,0.012,0.078,0,0.001,0,0,0,0.001,0.014,4.569,0.007,0.053,0.028,0.003,0,0.003,0.029,0,0.004,0.001,0.015,0.004,0.004,0.003,0.162,0.008,0.017,0.004,0.009,0.001,0.001,0,0.149,0,0,10.785,0,0,0.006,0.29,0,57.302
"DOM_B07",0.007,0.001,0,2.757,0,230.905,21.528,10.38,0.012,0.002,0.001,0,16.645,55.184,0,0.001,37.472,133.785,56.433,16.747,0,0.002,0,0,0,0.001,5.152,0.036,0.001,35.147,0.005,0.001,0,0.001,0.003,0,0.001,0,0.006,0,0.001,0.001,0.447,0.021,0.001,0.002,0.004,0.028,0.001,0,0.064,0,0.002,0.158,0.044,0,0.004,392.592,0,1015.587
"DOM_B08",0.105,0.002,0.005,0.296,0.012,2.455,20.458,1.03,14.007,0.024,0.005,0.242,0.056,221.312,0.003,0.011,93.908,0.253,0.133,0.498,0,0.003,0.001,0,0.001,0.002,0.046,0.118,1.102,251.492,0.261,0.008,0.001,0.006,0.007,0,0.202,0.002,0.007,0.006,0.003,0.004,0.28,0.008,0.039,0.006,0.011,0.002,0.003,0,24.638,0,0.003,27.645,1.825,0,0.025,123.524,0,786.095
"DOM_B09",0.008,0.001,0.001,0.354,0.595,17.103,1.35,0.096,0.033,0.003,0.001,0.001,2.288,0.038,0.001,0.001,0.381,0.001,0,0.012,0,0.001,0,0,0,0.001,0.002,0.479,0.039,0.919,0.027,0.003,0,0.001,0.029,0,0.004,0,0.012,0.003,0.001,0.003,0.119,0.005,0.011,0.003,0.007,0.001,0.001,0,0.142,0,0.002,268.54,0.091,0,0.006,2.121,0,294.846
"DOM_C10T12",74.918,0.076,4.785,0.146,0.068,0.349,0.408,0.053,281.091,7.533,0.335,0.269,0.605,8.487,0.787,0.554,3.806,0.38,0.086,1.725,0.004,0.198,0.042,0.01,0.049,0.13,0.446,1.719,0.733,9.738,30.494,1.504,0.028,0.258,3.383,0.005,161.967,0.361,4.48,0.274,4.181,0.395,5.515,1.701,15.723,2.162,9.698,3.38,1.555,0,3111.229,0.022,3.299,38.529,53.706,0,4.321,1255.376,0,5113.079
"DOM_C13T15",0.01,0,0.226,0.094,0,0,0,0,0.044,53.677,0.76,0.004,0,0.004,0,0.006,0.006,0,0,0.369,0,0,0.091,0.003,0.002,0.012,0.618,0.001,0.114,0.008,0.007,0.001,0,0.001,0.002,0,0.255,0,0.003,0.001,0.002,0.001,0.962,0.283,5.935,5.898,1.793,0.471,1.291,0,482.233,0,0.003,5.984,50.865,0,7.319,184.656,0,804.017
"DOM_C16",0.01,0.005,0.001,0.091,0,0.003,0.002,0.001,6.926,0.628,16.495,1.124,0.007,0.008,0,2.163,1.539,1.196,0.769,0.902,0,0.001,0.001,0.002,5.467,8.022,24.907,0.05,0.01,23.795,0.006,0.004,0,0.005,10.867,0,0.007,0.001,0.004,0.004,0.006,0.004,0.975,0.032,0.036,0.027,0.01,0.012,0.472,0,61.309,0,0.125,10.638,16.362,0,0.477,10.511,0,206.017
"DOM_C17_18",0.868,0.006,0.244,0.035,0.044,0.934,0.128,0.122,18.678,0.499,0.323,23.693,0.253,2.379,0.308,0.339,10.521,0.022,0.009,1.639,0.031,0.139,0.361,0.036,0.007,0.034,0.699,0.42,4.037,4.648,5.425,1.952,0.099,4.249,3.305,0.012,2.212,3.185,6.19,4.997,11.393,0.741,24.942,6.851,16.617,13.614,4.032,1.846,0.39,0,28.07,0.001,0.025,1.092,2.426,0,0.836,13.992,0,229.95
"DOM_C19",0.213,0.003,0.011,0.005,0.001,0.02,0.015,0.002,0.577,0.055,0.01,0.009,0.324,12.043,0.003,0.022,0.09,0.019,0.003,0.038,0,0.005,0.001,0,0.002,0.004,0.012,91.581,0.011,0.361,0.061,0.017,1.13,11.449,0.014,0,0.114,0.004,0.016,0.003,0.008,0.007,0.033,0.011,0.029,0.011,0.02,0.005,0.005,0,1.549,0,0.006,0.493,0,0,0.016,616.299,0,736.742
