"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",0.025,0,0.002,0,0,0,0,0,11.754,0.011,0.001,0.005,0.008,0.134,0.03,0.005,0.002,0.001,0.001,0.008,0.051,0.002,0.025,0.001,0.006,0.001,0.044,0.013,0.007,0.095,5.986,0.007,0.824,0.01,0.087,0.001,3.758,0.063,0.032,0.203,0.185,0.094,0.047,0.017,0.179,0.064,0.044,0.123,0.032,0,26.949,0.001,0.003,0.036,0.147,0,0.241,56.031,0,107.397
"DOM_A02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_A03",0.001,0,0.149,0,0,0,0,0,11.331,0.001,0,0.001,0.005,0.03,0.007,0,0.001,0,0,0.002,0.019,0.001,0.007,0,0.003,0.001,0.009,0.003,0.004,0.028,1.021,0.003,0.231,0.005,0.032,0.001,5.914,0.023,0.008,0.119,0.064,0.05,0.029,0.006,0.364,0.031,0.057,0.026,0.018,0,25.636,0.004,0,0.03,0.02,0,0.061,6.171,0,51.53
"DOM_B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",2.544,0,0.671,0,0,0,0,0,543.958,1.229,0.145,1.384,12.432,78.455,14.175,0.78,0.614,0.972,0.443,1.55,50.416,1.135,9.167,0.413,2.534,3.519,10.682,2.56,2.928,17.159,355.584,2.579,79.571,7.039,19.181,1.181,693.51,14.472,4.94,50.385,24.503,16.01,13.746,3.458,43.853,13.831,15.591,15.565,5.922,0,2949.027,0.56,1.558,42.462,10.451,0,77.953,5404.934,0,10627.732
"DOM_C13T15",0.005,0,0.006,0,0,0,0,0,0.685,4.901,0.011,0.13,0.232,0.782,0.112,0.065,0.06,0.056,0.023,0.1,0.827,0.053,0.384,0.065,0.161,0.045,2.778,0.286,0.203,1.278,8.625,0.067,0.351,0.092,0.594,0.191,1.051,0.212,0.124,0.983,0.44,0.386,0.854,0.416,3.904,0.305,0.66,0.673,0.847,0,185.219,0.012,0.051,0.542,0.801,0,6.087,387.144,0,613.88
"DOM_C16",0.013,0,0.004,0,0,0,0,0,1.252,0.103,6.157,1.303,0.197,4.2,0.253,0.148,0.531,0.098,0.109,0.746,3.322,0.314,1.496,0.219,2.231,0.182,73.349,0.672,0.198,95.394,19.713,0.165,0.708,0.106,3.696,0.042,1.407,0.749,0.166,1.55,0.717,4.601,2.284,0.458,0.937,0.345,0.313,0.315,1.442,0,11.501,0.001,0.019,1.278,0.058,0,3.104,36.25,0,284.415
"DOM_C17_18",0.007,0,0.004,0,0,0,0,0,4.764,0.257,0.091,10.739,0.979,5.186,1.759,0.429,0.327,0.441,0.238,0.682,10.055,0.517,2.618,0.205,0.416,0.298,5.62,0.728,2.535,4.927,59.81,0.375,3.303,0.379,3.329,1.262,2.051,51.064,2.693,35.131,24.004,3.493,12.933,2.148,19.521,4.861,1.673,1.791,1.61,0,62.922,0.003,0.061,5.476,3.861,0,5.786,1131.668,0,1495.03
"DOM_C19",0.955,0,1.536,0,0,0,0,0,31.013,1.371,1.995,6.183,2717.408,1485.731,9.087,1.409,11.387,30.538,6.002,9.45,31.306,6.277,22.55,2.522,4.756,1.818,39.351,344.455,33.436,244.793,1305.112,199.25,6949.462,1384.952,320.252,32.048,34.336,20.928,16.28,161.68,114.019,37.923,61.584,25.964,218.211,18.121,15.451,14.699,18.47,0,0,0,0,0,35.658,0,0,15181.292,0,31211.026
"DOM_C20",5.029,0,0.216,0,0,0,0,0,101.204,19.762,10.132,71.196,521.43,6245.877,268.42,153.425,34.543,23.172,15.609,47.83,664.271,37.088,123.523,13.904,55.564,15.336,424.354,22.414,71.939,374.006,514.099,8.847,123.009,23.385,80.162,2.929,51.73,85.247,8.037,167.521,45.732,86.552,103.326,31.27,85.539,23.412,57.281,14.422,76.24,0,668.925,0.109,4.41,81.897,0.365,0,16.392,29950.102,0,41631.182
"DOM_C21",0.4,0,0.064,0,0,0,0,0,15.938,0.547,0.105,0.478,9.048,66.157,588.601,0.599,0.392,0.876,0.325,1.008,41.997,0.784,10.077,0.318,1.966,3.091,18.093,1.894,4.067,11.121,83.785,1.889,25.074,4.834,6.243,0.727,4.376,5.248,1.484,12.086,5.603,4.024,40.135,1.257,99.307,7.556,388.06,5.632,4.73,0,617.6,0.179,268.054,32.564,11.669,0,12.65,10167.309,0,12590.019
"DOM_C22",0.078,0,0.032,0,0,0,0,0,23.954,1.359,0.502,4.392,6.022,49.419,11.594,11.776,1.461,0.867,0.771,6.1,104.762,7.589,34.431,5.166,4.411,3.709,50.576,1.199,4.416,103.711,182.343,4.532,14.943,1.891,12.434,0.87,4.534,4.774,1.593,11.713,7.49,9.454,9.674,2.964,7.653,1.758,2.597,1.304,2.837,0,98.366,0.004,0.302,20.086,2.128,0,0.459,611.578,0,1456.578
"DOM_C23",0.026,0,0.006,0,0,0,0,0,4.64,0.063,0.219,0.162,7.196,15.519,2.405,0.642,14.473,2.328,0.557,1.828,25.372,1.416,4.009,0.676,1.869,0.299,8.571,1.5,1.675,346.719,24.378,0.632,20.268,3.107,2.989,0.159,2.577,0.305,0.197,1.399,1.621,20.152,4.236,0.529,3.141,1.058,0.576,0.414,1.014,0,37.052,0.001,0.018,8.137,1.452,0,0.108,559.968,0,1137.66
"DOM_C24A",0.013,0,0.003,0,0,0,0,0,1.019,0.134,0.285,0.402,3.811,5.521,0.45,1.423,2.981,196.457,6.866,193.81,118.731,18.106,307.81,13.256,53.788,17.847,61.098,3.44,12.352,350.463,56.069,0.447,9.219,0.152,7.806,0.062,0.224,0.122,0.076,0.552,0.665,7.158,13.838,0.439,2.258,0.455,0.139,0.483,0.979,0,0.003,0,0.001,0.368,0,0,0,546.199,0,2017.784
"DOM_C24B",0.001,0,0,0,0,0,0,0,0.705,0.028,0.043,0.159,0.712,8.442,0.375,0.21,0.252,6.088,30.306,18.081,64.096,9.57,25.075,1.437,2.861,1.757,21.322,0.392,2.238,16.878,10.754,0.071,1.735,0.172,0.486,0.006,0.158,0.119,0.022,0.199,0.175,0.76,0.571,0.033,0.311,0.011,0.041,0.065,0.21,0,0.616,0,0,0.303,0,0,0,1221.499,0,1449.347
"DOM_C25",0.086,0,0.028,0,0,0,0,0,18.489,0.765,1.44,1.796,10.367,39.272,4.217,2.053,2.841,16.231,4.996,104.55,190.936,16.057,245.203,10.679,51.488,12.414,94.309,5.736,20.698,453.391,169.604,1.578,20.677,1.439,16.552,0.527,7.012,3.313,3.787,23.549,7.267,30.528,30.167,4.618,52.495,3.069,2.504,2.163,5.136,0,92.398,0.011,2.283,62.614,6.211,0,0.546,1993.484,0,3851.576
"DOM_C26",0.192,0,0.098,0,0,0,0,0,18.25,1.51,0.643,5.484,49.084,117.446,19.094,3.951,3.49,11.038,5.01,25.413,13856.797,107.504,392.513,15.578,87.616,26.562,129.165,31.242,51.411,286.467,886.659,8.642,131.668,27.251,80.057,8.935,23.903,94.271,319.297,1771.019,121.821,43.579,259.443,26.705,173.58,32.357,51.617,17.977,51.972,0,2708.17,0.233,21.714,4052.732,502.402,0,16.489,106628.14,0,133306.191
"DOM_C27",0.007,0,0.005,0,0,0,0,0,0.625,0.05,0.024,0.2,1.405,3.371,0.577,0.13,0.146,1.05,0.38,1.53,65.622,12.589,17.041,1.289,2.154,1.293,3.91,4.347,2.625,35.859,25.717,0.479,6.065,0.733,2.261,0.14,1.096,1.25,3.633,12.628,1.54,2.211,5.528,0.742,5.535,0.565,0.778,0.718,1.204,0,40.192,0.033,3.546,44.413,5.124,0,1.042,2454.641,0,2778.046
"DOM_C28",0.175,0,0.147,0,0,0,0,0,23.477,1.211,1.136,5.213,46.815,55.507,7.535,2.764,9.595,13.468,4.543,30.457,263.77,29.311,1108.305,17.584,98.188,19.08,78.861,35.758,30.874,385.271,344.91,5.996,45.299,5.965,46.636,2.731,7.451,12.112,10.85,95.187,46.623,18.886,67.099,15.446,66.488,6.949,7.901,6.87,8.56,0,147.473,0.135,11.538,1439.667,199.683,0,2.521,21695.055,0,26587.076
