"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",3.708,0.004,0.082,0,0,0,0.001,0,1.414,0.09,0.001,0,0,0.002,0.004,0.001,0,0,0,0,0.001,0,0,0,0,0,0.012,0.081,0.03,0.105,0.265,0.03,0,0.002,0.015,0.003,1.516,0.008,0.006,0.004,0.052,0.005,0.013,0.003,0.115,0.023,0.106,0.032,0.035,0,20.08,0.008,0.199,3.176,0.067,0,0.291,9.313,0,40.909
"DOM_A02",0.004,0,0.004,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.006,0.002,0.004,0.003,0,0,0.001,0,0.005,0.001,0,0,0.004,0,0,0,0.002,0.001,0.001,0,0,0,0.074,0,0.017,0.023,0,0,0.003,0.026,0,0.19
"DOM_A03",0.065,0.001,7.503,0,0,0,0.001,0,1.85,0.005,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.002,0.008,0.012,0.023,0.253,0.021,0.001,0.004,0.011,0.002,5.863,0.014,0.007,0.012,0.094,0.009,0.004,0.001,0.359,0.023,0.133,0.02,0.023,0,36.663,0,0.002,0.137,0.04,0,0.049,0.159,0,53.375
"DOM_B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.003,0.005,0.001,0.001,0,0,0,0,0.001,0,0,0,0.002,0,0,0,0.001,0,0,0,0,0,0.011,0,0,0.014,0,0,0,0,0,0.047
"DOM_B06",0.004,0,0.004,0,0.001,0,0.001,0,0.002,0.001,0,0,0.018,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0.159,0.01,0.049,0.021,0.037,0.001,0.02,0.018,0.003,0.006,0.002,0.004,0.002,0.019,0.001,0.001,0,0.01,0.001,0.003,0.001,0.002,0,0.363,0,0.005,0.097,0.003,0,0.005,0.058,0,0.938
"DOM_B07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.006,0.001,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.006,0,0,0.013,0,0,0.001,0.009,0,0.04
"DOM_B08",0.007,0,0.003,0,0,0,0.005,0.001,0.002,0.001,0,0,0.002,0.001,0,0,0.006,0,0,0,0,0,0,0,0,0,0.002,0.033,0.008,0.245,0.01,0.022,0,0.013,0.005,0.002,0.006,0.002,0.001,0.001,0.009,0.001,0.001,0,0.007,0.001,0.002,0.001,0.001,0,0.148,0,0.001,0.121,0.002,0,0.014,0.045,0,0.731
"DOM_B09",0.002,0,0.002,0,0,0,0.001,0,0.001,0.001,0,0,0.002,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0.016,0.003,0.035,0.012,0.015,0,0.006,0.012,0.002,0.003,0.001,0.001,0.001,0.006,0,0,0,0.003,0,0.001,0,0,0,0.075,0,0.002,0.2,0,0,0.004,0.045,0,0.457
"DOM_C10T12",0.177,0,0.044,0,0,0,0.002,0,1.454,0.007,0,0.001,0.001,0.001,0.001,0,0.002,0,0,0,0.001,0,0,0,0,0,0.005,0.055,0.021,0.098,0.19,0.03,0.002,0.007,0.016,0.003,0.953,0.025,0.023,0.016,0.187,0.008,0.005,0.001,0.056,0.017,0.034,0.031,0.012,0,10.378,0,0.007,0.376,0.099,0,0.232,5.343,0,19.923
"DOM_C13T15",0.011,0,0.004,0,0,0,0,0,0.005,0.009,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.002,0.051,0.012,0.012,0.018,0.009,0,0.002,0.003,0.001,0.012,0.003,0.005,0.002,0.017,0.002,0.001,0,0.009,0.002,0.005,0.002,0.002,0,0.667,0,0.001,0.342,0.011,0,0.289,0.074,0,1.587
"DOM_C16",0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.005,0.001,0.001,0.001,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0.019,0,0.001,0.023,0,0,0.002,0.002,0,0.064
"DOM_C17_18",0.001,0,0.001,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.002,0.003,0.003,0.001,0,0,0,0,0.001,0.001,0.001,0,0.003,0,0,0,0.001,0,0.001,0,0,0,0.04,0,0,0.073,0.001,0,0.014,0.014,0,0.169
"DOM_C19",0.01,0,0.007,0,0,0,0.001,0,0.003,0.001,0,0,0.005,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0.002,0.082,0.014,0.057,0.021,0.07,0.002,0.049,0.01,0.003,0.01,0.003,0.004,0.003,0.028,0.002,0.002,0.001,0.016,0.002,0.005,0.002,0.003,0,0.185,0,0.002,0.099,0.001,0,0.006,0.071,0,0.786
"DOM_C20",0.004,0,0.003,0,0,0,0,0,0.004,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.015,0.007,0.015,0.004,0.006,0,0.004,0.001,0,0.007,0.001,0.001,0.001,0.005,0.001,0,0,0.003,0.001,0.002,0,0.001,0,0.106,0,0.001,0.041,0.001,0,0.004,0.024,0,0.268
"DOM_C21",0.002,0,0.001,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.003,0.001,0,0,0,0,0.007,0.001,0,0,0.002,0,0,0,0.001,0,0.001,0,0.001,0,0.092,0,0.001,0.046,0.001,0,0.015,0.038,0,0.224
"DOM_C22",0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.002,0.002,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0.039,0,0,0.062,0.001,0,0.013,0.004,0,0.135
"DOM_C23",0.003,0,0.007,0,0,0,0.001,0,0.002,0.001,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0.012,0.003,0.034,0.005,0.012,0,0.009,0.002,0,0.006,0.001,0.001,0.001,0.004,0,0,0,0.003,0,0.001,0,0.001,0,0.075,0,0,0.226,0.006,0,0.009,0.021,0,0.45
"DOM_C24A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0.004,0,0,0,0,0,0.015
"DOM_C24B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.002,0,0,0,0,0,0.009
