"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",307.038,6.171,0.054,0.105,0,0.017,0.813,0.563,651.936,8.895,3.266,2.063,2.005,5.659,0.355,6.756,3.078,3.309,0.606,2.934,1.797,1.634,3.039,8.109,0.002,0.264,2.269,19.139,1.741,13.092,40.035,4.808,0.047,0.202,5.58,0.507,64.553,0.764,0.844,2.302,2.036,4.365,6.827,14.093,7.706,3.392,6.697,7.771,1.893,0,1089.955,0.323,6.77,180.809,12.882,0,12.371,1666.515,0,4200.757
"DOM_A02",33.666,283.97,0.012,0.327,0,0.012,0.425,0.059,30.188,2.199,453.91,51.646,1.017,3.793,0.137,31.777,3.008,3.064,0.523,3.385,3.009,2.364,3.859,9.337,0.003,0.305,20.357,88.173,0.451,18.272,24.357,2.513,0.019,0.094,2.242,0.219,4.607,0.418,0.487,1.187,0.486,2.308,2.61,3.827,5.546,1.283,2.242,6.025,0.931,0,117.765,0.293,8.425,15.796,0.753,0,1.5,203.245,0,1458.429
"DOM_A03",0.062,0.005,0.003,0.001,0,0,0.003,0.001,0.91,0.016,0.012,0.02,0.019,0.026,0.002,0.043,0.02,0.038,0.006,0.052,0.053,0.037,0.056,0.164,0,0.007,0.025,0.102,0.008,0.099,0.223,0.042,0.002,0.002,0.059,0.004,0.186,0.012,0.016,0.052,0.041,0.041,0.183,0.076,0.05,0.016,0.04,0.04,0.015,0,2.028,0.001,0.039,0.299,0.038,0,0.148,2.282,0,7.726
"DOM_B05",0.321,0.015,0.001,0.234,0.001,0.015,0.754,1.01,0.715,0.031,0.03,0.19,3.934,0.193,0.002,0.123,0.894,4.352,0.338,0.1,0.046,0.065,0.162,0.333,0,0.013,0.049,67.859,0.21,0.772,0.627,0.357,0.004,0.022,0.499,0.034,0.11,0.028,0.026,0.064,0.054,0.1,0.21,0.19,0.226,0.069,0.144,0.087,0.032,0,7.036,0.018,1.466,0.404,0,0,0.337,31.693,0,126.598
"DOM_B06",0.002,0,0,0.002,0,0,0.014,0.019,0.003,0.001,0.001,0.002,0.053,0.002,0,0.003,0.015,0.009,0.002,0.003,0.002,0.002,0.003,0.009,0,0,0.001,0.097,0.001,0.026,0.015,0.01,0,0.001,0.011,0.001,0.001,0.001,0.001,0.002,0.001,0.004,0.005,0.004,0.004,0.001,0.001,0.002,0,0,0.019,0,0.005,0.021,0.001,0,0.001,0.074,0,0.458
"DOM_B07",0.026,0.001,0.001,0.138,0.001,0.022,1.053,1.468,0.025,0.002,0.004,0.075,2.513,0.018,0,0.053,0.478,0.429,0.145,0.073,0.01,0.023,0.037,0.079,0,0.003,0.008,4.717,0.011,0.675,0.041,0.076,0.001,0.002,0.052,0.011,0.005,0.01,0.003,0.007,0.008,0.034,0.066,0.022,0.024,0.006,0.005,0.007,0.003,0,0.185,0.001,0.004,0.016,0,0,0.006,11.795,0,24.482
"DOM_B08",1.903,0.133,0.003,0.174,0,0.047,9.444,0.899,2.078,0.193,0.203,1.236,5.881,6.848,0.028,1.191,77.226,23.267,3.305,2.017,0.621,0.999,1.1,3.187,0.001,0.08,0.903,22.577,1.21,71.549,2.297,0.932,0.007,0.021,0.81,0.074,0.321,0.138,0.125,0.32,0.575,2.697,1.58,3.167,1.657,0.342,0.417,0.63,0.847,0,9.871,10.267,1.191,5.631,0.061,0,0.13,130.744,0,413.156
"DOM_B09",0.485,0.019,0.026,2.983,0.021,0.407,22.776,31.754,0.43,0.01,0.064,1.58,54.324,0.233,0.002,0.948,10.385,6.475,1.981,0.151,0.024,0.09,0.17,0.078,0,0.006,0.039,100.442,0.157,13.733,0.153,1.39,0.009,0.037,0.912,0.206,0.066,0.151,0.004,0.007,0.056,0.42,0.83,0.193,0.294,0.06,0.04,0.012,0.023,0,0.06,0,0.016,0.059,0.01,0,0.002,2.536,0,257.341
"DOM_C10T12",164.453,1.487,0.168,0.086,0,0.016,0.493,0.158,406.554,8.505,3.18,5.406,3.136,13.312,0.709,8.328,3.565,6.599,1.106,8.562,8.097,6.228,9.703,23.533,0.006,0.802,4.453,15.091,1.609,14.245,59.45,6.537,0.103,0.293,5.972,0.693,188.717,2.379,1.657,4.448,2.689,4.635,10.157,12.182,13.132,8.636,14.722,16.331,3.145,0,2875.287,2.366,6.076,22.224,6.79,0,26.004,2158.61,0,6172.82
"DOM_C13T15",1.806,0.425,0.005,0.042,0,0.009,0.153,0.067,3.49,71.546,2.799,2.094,0.78,1.589,0.112,4.062,2.922,2.638,0.403,4.858,3.331,2.67,4.573,23.232,0.004,0.421,7.392,5.331,0.592,13.625,10.664,1.731,0.011,0.062,1.464,0.289,1.164,0.491,0.5,1.421,0.99,1.826,4.354,6.148,3.985,1.271,2.809,3.188,1.438,0,186.789,0.028,1.984,9.379,2.489,0,2.038,1318.464,0,1725.953
"DOM_C16",11.621,11.38,0.012,0.322,0,0.038,0.941,0.271,17.918,4.653,272.366,43.216,1.627,8.332,0.223,14.493,17.696,6.102,1.969,21.869,6.888,10.473,14,76.964,0.048,1.664,126.268,40.351,2.238,360.961,44.765,8.129,0.039,0.205,16.382,0.702,4.682,1.863,1.248,2.392,1.734,30.89,23.039,18.236,8.443,3.483,5.132,8.914,5.764,0,142.982,0.081,4.885,68.273,2.879,0,2.813,707.825,0,2190.688
"DOM_C17_18",3.364,0.268,0.008,0.045,0,0.015,0.274,0.095,34.143,4.505,4.778,243.734,1.262,5.947,0.641,12.348,9.245,3.28,1.045,8.617,6.277,6.971,8.244,22.714,0.004,0.772,8.934,18.038,1.801,10.428,57.819,4.911,0.037,0.122,6.73,2.921,3.924,25.905,3.379,17.317,13.505,4.704,63.541,46.068,23.511,15.039,8.801,13.8,4.96,0,310.084,0.104,1.652,48.15,18.27,0,5.351,1475.76,0,2594.166
"DOM_C19",81.249,10.56,0.401,2.131,0.002,0.546,11.893,4.236,40.958,8.874,11.809,25.627,506.698,200.51,1.149,70.414,41.663,95.248,9.785,30.129,10.891,22.944,21.887,106.519,0.018,2.378,22.263,852.367,22.821,101.98,202.983,573.633,7.814,56.09,108.326,15.86,11.273,4.856,6.033,18.102,16.223,15.012,50.838,70.046,71.08,13.729,19.887,18.833,10.893,0,308.425,0.169,5.434,17.56,1.052,0,4.758,2194.134,0,6140.991
"DOM_C20",45.427,0.602,0.011,0.295,0,0.08,2.644,0.452,18.963,11.02,7.314,21.826,22.523,134.248,1.677,150.905,22.869,13.946,3.535,20.107,10.508,13.37,13.679,63.28,0.017,1.34,12.213,25.028,5.386,30.494,16.501,5.679,0.053,0.33,5.177,0.37,4.207,1.678,0.585,2.485,1.342,5.457,9.981,17.397,5.061,2.566,8.866,3.976,4.058,0,181.517,0.132,5.322,8.999,1.447,0,1.61,2013.856,0,2962.417
"DOM_C21",1.48,0.016,0.001,0.008,0,0.002,0.025,0.01,0.792,0.142,0.078,0.186,0.18,1.24,2.337,1.049,0.14,0.177,0.038,0.225,0.181,0.169,0.311,0.8,0,0.021,0.261,0.401,0.153,0.423,0.894,0.264,0.003,0.016,0.366,0.022,0.1,0.032,0.026,0.081,0.041,0.105,1.723,0.268,1.519,0.256,17.75,0.304,0.167,0,3.559,0.047,1.49,2.722,0.272,0,0.037,178.107,0,221.015
"DOM_C22",10.904,0.846,0.016,0.3,0,0.045,0.976,0.321,47.314,13.622,5.125,18.779,3.217,16.116,0.99,166.145,10.532,8.118,2.389,34.204,24.108,38.783,44.02,302.859,0.02,5.352,21.228,13.497,4.822,82.216,65.473,23.82,0.053,0.198,8.188,0.892,3.071,1.944,1.312,2.543,2.131,8.215,14.926,19.504,6.199,2.851,6.128,5.067,2.351,0,129.064,0.071,3.677,23.967,7.422,0,1.119,4330.263,0,5547.31
"DOM_C23",10.859,0.962,0.009,0.275,0.001,0.116,4.345,0.823,32.601,2.215,5.912,3.768,5.228,10.904,0.662,26.547,241.087,42.903,5.086,27.23,19.76,22.795,19.482,123.684,0.024,1.838,12.105,34.711,5.026,685.323,29.929,9.284,0.093,0.327,8.253,0.747,4.721,0.79,1.271,1.872,1.844,47.533,15.395,12.805,9.676,4.744,5.161,5.585,2.594,0,212.561,0.023,4.348,66.357,1.751,0,0.941,1160.673,0,2955.559
"DOM_C24A",2.09,0.28,0.002,0.674,0.002,0.129,0.695,0.692,2.528,0.82,2.96,1.921,2.633,2.158,0.048,26.356,22.512,1407.35,23.394,1046.984,34.094,110.009,464.57,982.728,0.274,39.934,41.624,33.219,19.813,305.596,16.61,3.032,0.039,0.005,6.235,0.07,0.156,0.049,0.059,0.115,0.186,5.854,11.274,2.254,1.698,0.739,0.314,1.486,0.873,0,0.014,0,1.166,0.011,0,0,0,2479.254,0,7107.583
"DOM_C24B",0.291,0.058,0,0.017,0,0.013,0.092,0.024,2.669,0.295,0.683,1.151,0.454,5.119,0.062,5.997,2.923,67.331,154.413,150.89,28.446,89.867,58.458,164.569,0.023,6.083,18.03,5.297,5.736,22.691,5.002,0.53,0.006,0.003,0.558,0.004,0.163,0.054,0.024,0.06,0.077,0.894,0.789,0.286,0.338,0.023,0.141,0.292,0.295,0,2.057,0,0.011,1.062,0,0,0.001,736.478,0,1540.83
"DOM_C25",22.766,4.135,0.033,1.802,0.002,0.266,4.27,2.88,60.602,8.685,20.354,13.151,10.865,20.829,0.689,47.33,30.354,112.879,15.573,618.453,54.53,107.924,404.968,867.058,0.283,29.395,79.036,100.493,12.655,461.756,82.818,23.519,0.213,1.44,23.711,1.41,6.597,2.173,5.037,9.173,4.629,38.508,42.583,45.908,45.257,6.873,8.452,12.272,6.097,0,170.472,0.169,7.395,269.606,76.523,0,1.02,4677.942,0,8683.815
"DOM_C26",1.542,0.259,0.004,0.091,0,0.018,0.323,0.195,2.4,0.656,0.599,1.882,1.644,2.172,0.157,3.428,1.852,3.171,0.866,15.364,574.758,86.131,65.209,137.657,0.052,4.3,18.444,35.045,2.054,28.352,40.26,4.009,0.051,0.362,7.266,1.255,1.155,5.372,33.041,49.448,4.066,3.097,34.342,25.81,13.127,5.93,13.575,9.321,5.51,0,294.253,0.027,1.023,288.098,109.271,0,1.558,2488.597,0,4428.45
"DOM_C27",9.636,1.055,0.02,0.368,0.001,0.071,1.835,0.762,10.392,2.246,2.368,5.023,4.312,4.83,0.252,8.665,6.574,14.439,2.502,32.604,53.309,174.903,70.828,227.104,0.032,5.678,25.64,136.523,4.612,95.109,40.255,16.173,0.151,1.319,12.391,0.904,2.759,1.993,8.574,11.494,3.792,13.584,26.959,26.377,16.984,4.011,6.293,9.667,3.138,0,116.727,0.125,3.814,102.515,20.694,0,1.102,4016.924,0,5370.411
"DOM_C28",8.357,1.386,0.019,0.753,0.001,0.114,2.265,1.183,10.955,2.068,3.172,5.303,5.414,4.731,0.202,8.907,9.28,17.92,2.618,47.853,14.735,26.638,149.053,167.087,0.052,5.103,25.146,69.285,4.335,57.754,27.933,12.249,0.1,0.987,9.26,0.681,1.851,1.032,2.617,5.469,3.035,6.598,17.511,13.558,10.539,2.3,3.811,4.784,1.589,0,44.514,0.168,2.709,396.291,142.733,0,0.52,6160.45,0,7524.973
"DOM_C29",3.577,0.667,0.007,0.173,0,0.034,0.625,0.338,8.776,2.28,1.847,3.908,2.223,3.702,0.207,14.677,3.857,11.806,2.184,29.268,22.072,24.472,36.723,775.166,0.019,3.068,10.793,23.303,5.898,32.937,50.46,16.854,0.077,0.348,8.137,0.696,2.035,1.273,2.643,5.176,14.572,5.913,17.851,12.538,7.827,2.34,4.513,4.912,1.548,0,187.706,0.538,10.357,127.995,39.678,0,2.831,34243.273,0,35796.699
"DOM_C301",0.003,0,0,0,0,0,0.001,0,0.003,0.001,0.001,0.002,0.002,0.002,0,0.006,0.005,0.228,0.004,0.175,0.014,0.023,0.087,0.201,0.004,0.055,0.028,0.021,0.005,0.066,0.015,0.016,0.005,0.005,0.018,0,0.001,0.001,0.002,0.003,0.001,0.005,0.008,0.006,0.043,0.001,0.002,0.004,0.001,0,0.567,0,0.001,2.136,0.787,0,0,0.664,0,5.23
"DOM_C302T309",0.027,0.083,0.007,0.013,0,0.001,0.009,0.01,0.112,0.008,0.018,0.01,0.004,0.019,0,0.066,0.041,0.318,0.042,0.965,0.32,0.585,1.45,49.199,0.044,69.986,6.34,0.202,0.034,0.493,3.594,12.819,0.078,2.305,1.619,0.037,0.01,0.002,0.004,0.031,0.03,0.036,0.287,0.84,7.569,0.059,0.281,0.135,0.266,0,75.644,0,0.004,177.869,68.238,0,0,267.959,0,750.124
