"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",67.791,2.673,0.116,0.231,0,0.016,0.274,0.019,280.676,6.788,4.333,5.199,0.001,6.393,5.888,7.405,3.105,4.504,3.6,11.165,4.093,12.531,8.545,8.988,0.141,0.267,4.5,2.912,2.466,17.961,33.595,6.91,0.149,0.168,3.853,0.225,54.393,1.033,1.575,1.428,1.865,1.362,8.434,3.233,3.296,2.355,6.104,2.503,1.609,0,587.016,1.3,10.029,48.886,2.424,0,22.098,527.41,0,1805.832
"DOM_A02",2.558,34.263,0.01,0.128,0,0.003,0.059,0.002,5.251,0.41,78.999,5.12,0,0.625,0.448,2.062,0.413,0.433,0.37,0.953,0.304,1.031,0.711,0.755,0.012,0.021,2.12,1.95,0.275,2.946,4.01,1.331,0.013,0.013,0.724,0.084,1.987,0.087,0.117,0.101,0.102,0.17,0.514,0.249,0.496,0.264,0.457,0.334,0.175,0,166,0.017,0.657,3.437,0.82,0,1.09,205.333,0,530.811
"DOM_A03",0.047,0.003,0.023,0.001,0,0,0.001,0,1.266,0.012,0.013,0.018,0,0.022,0.021,0.023,0.012,0.016,0.014,0.04,0.013,0.044,0.03,0.031,0.001,0.001,0.017,0.016,0.017,0.234,0.109,0.03,0.001,0.001,0.021,0.001,0.55,0.004,0.007,0.004,0.005,0.025,0.033,0.009,0.03,0.018,0.024,0.01,0.006,0,4.72,0.193,0.273,0.502,0.018,0,0.649,7.683,0,16.861
"DOM_B05",0.315,0.072,0.001,5.204,0,0.034,0.445,0.037,1.167,0.254,0.207,1.422,0.01,2.148,0.051,0.436,8.133,44.378,12.618,0.317,0.063,0.627,0.341,0.285,0.012,0.02,0.148,157.985,0.442,7.03,1.129,0.688,0.003,0.003,0.485,0.02,0.443,0.04,0.153,0.372,0.157,0.598,0.616,0.125,0.773,0.5,0.09,0.086,0.237,0,12.753,0,0.029,9.182,0.05,0,0.016,3.377,0,276.127
"DOM_B06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07",0.003,0.001,0,0.002,0,0.001,0.003,0,0.006,0.001,0.003,0.003,0,0.008,0.001,0.006,0.02,0.263,0.622,0.307,0.02,0.221,0.115,0.102,0.001,0.003,0.026,0.033,0.024,0.227,0.027,0.009,0,0,0.012,0,0.006,0.001,0.003,0.002,0.004,0.018,0.029,0.003,0.013,0.005,0.001,0.002,0.002,0,0.015,0,0.002,0.291,0,0,0.002,9.094,0,11.564
"DOM_B08",0.588,0.08,0.011,0.202,0,0.022,3.249,0.029,1.058,0.08,0.085,0.516,0.002,2.746,0.059,0.237,28.808,6.147,4.172,0.819,0.087,0.811,0.334,0.287,0.004,0.006,0.381,2.632,0.791,37.392,0.852,1.351,0.085,0.118,0.389,0.023,0.431,0.018,0.06,0.03,0.055,0.519,0.379,0.37,0.482,0.121,0.066,0.074,0.056,0,7.509,0.001,0.03,1.722,0,0,0.092,66.533,0,172.996
"DOM_B09",0.005,0.001,0.002,0.107,0,0.005,0.186,0.051,0.011,0.001,0.004,0.02,0,0.005,0.002,0.009,0.103,0.045,0.064,0.017,0.002,0.013,0.012,0.01,0,0,0.005,0.239,0.009,0.234,0.029,0.038,0.001,0.001,0.031,0.002,0.006,0.003,0.003,0.002,0.003,0.006,0.039,0.004,0.009,0.003,0.002,0.002,0.002,0,0.038,0,0.28,6.366,0,0,0.006,1.348,0,9.386
"DOM_C10T12",30.176,0.123,0.308,0.015,0,0.001,0.035,0.001,125.113,1.257,0.118,0.683,0,2.152,0.509,0.2,0.094,0.044,0.153,0.16,0.04,0.247,0.168,0.094,0.002,0.004,0.288,0.138,0.397,0.386,11.887,0.567,0.061,0.011,0.687,0.055,143.916,0.365,0.196,0.31,0.269,0.224,0.671,0.68,1.635,2.572,1.768,2.584,0.757,0,1412.67,0.369,2.581,0.379,3.848,0,51.409,1166.085,0,2969.464
"DOM_C13T15",0.446,0.224,0.034,0.063,0,0.005,0.065,0.007,1.402,24.129,0.922,1.907,0,0.712,0.436,1.502,0.647,0.52,0.513,1.502,0.83,2.573,1.578,3.644,0.059,0.058,8.453,0.558,1.236,5.425,7.086,1.666,0.025,0.027,1.349,0.202,3.458,0.304,0.411,0.623,0.866,0.333,3.251,1.584,2.208,2.414,1.801,2.665,1.279,0,136.854,0.004,6.222,17.701,8.572,0,9.992,646.22,0,916.568
