"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",1052.378,215.28,2.303,0.925,0.204,4.602,4.163,0.061,3162.534,15.312,189.858,51.548,14.689,23.892,41.784,14.023,9.322,17.158,7.484,11.991,3.385,6.065,16.93,24.868,0.591,2.289,20.384,89.602,18.572,180.373,219.895,29.544,1.895,1.907,40.142,2.812,429.351,10.944,16.165,33.182,16.483,149.429,97.994,63.49,50.136,13.688,36.059,34.597,20.575,0,3823.796,4.364,30.684,367.524,4.178,0,109.813,885.18,0,11696.398
"DOM_A02",120.107,3529.259,0.675,1.742,0.036,1.462,1.606,0.003,116.666,2.136,3316.658,511.392,0.489,11.233,5.509,50.714,4.716,1.924,1.407,1.829,0.234,0.69,2.58,3.711,0.264,0.271,76.043,110.82,0.785,89.235,87.257,1.683,0.325,0.126,2.228,0.114,38.409,1.555,1.006,3.546,0.421,10.94,7.242,4.309,14.951,2.237,4.339,13.016,5.135,0,293.761,0.026,1.93,303.941,4.97,0,0.666,338.518,0,9106.843
"DOM_A03",0.47,0.147,1.898,0.004,0.002,0.028,0.024,0.001,32.331,0.013,0.139,0.179,0.147,0.117,0.298,0.051,0.051,0.094,0.042,0.131,0.047,0.076,0.223,0.278,0.033,0.036,0.091,0.161,0.068,0.774,1.294,0.16,0.264,0.031,0.323,0.011,9.499,0.129,0.122,0.306,0.118,0.685,1.435,0.358,0.52,0.09,0.286,0.384,0.141,0,47.025,0.216,2.965,3.296,0.541,0,0.477,167.941,0,276.571
"DOM_B05",0.431,0.108,0.004,1.918,0.014,1.295,0.89,0.016,1.26,0.085,0.686,3.692,26.152,2.635,0.229,0.281,6.299,47.776,8.306,0.319,0.049,0.171,0.439,0.479,0.022,0.107,0.206,201.505,3.871,4.724,1.205,0.359,0.011,0.011,0.257,0.014,0.449,0.046,0.06,0.079,0.043,1.084,0.485,0.181,1.157,0.23,0.237,0.158,0.298,0,36.625,0.009,0.011,0.365,0.042,0,0.026,21.863,0,379.273
"DOM_B06",0.021,0.004,0,0.034,0.022,0.108,0.223,0.003,0.199,0.008,0.033,0.482,73.661,1.354,0.034,0.066,0.822,1.083,0.609,0.173,0.008,0.022,0.069,0.123,0.003,0.016,0.044,18.726,0.061,0.766,0.379,0.079,0.005,0.004,0.132,0.005,0.031,0.009,0.005,0.018,0.01,0.16,0.168,0.048,0.09,0.016,0.011,0.012,0.01,0,0.091,0,0.015,0.059,0.002,0,0.002,1.268,0,101.405
"DOM_B07",0.38,0.016,0.006,0.967,0.073,92.838,13.873,0.137,2.021,0.071,0.059,0.25,19.242,15.693,0.649,0.256,31.592,734.81,872.489,21.034,0.197,1.146,3.916,2.173,0.016,0.029,1.048,21.355,0.459,41.251,0.791,0.491,0.01,0.029,0.252,0.007,0.36,0.028,0.012,0.009,0.003,0.548,1.153,0.318,0.17,0.03,0.034,0.106,0.289,0,0.001,0,0,0.001,0,0,0,4140.001,0,6022.689
"DOM_B08",11.012,1.695,0.216,1.255,0.133,14.024,104.819,0.236,13.102,0.333,0.28,17.397,0.002,56.955,2.053,1.885,410.843,127.779,43.096,7.538,0.534,2.83,4.656,2.845,0.059,0.242,3.853,45.632,7.005,676.446,3.652,1.331,0.02,0.013,0.811,0.012,1.47,0.014,0.061,0.022,0.009,19.535,2.108,6.626,5.034,0.145,0.138,0.466,0.518,0,70.629,0,0.003,0.004,0.22,0,0.005,106.079,0,1777.679
"DOM_B09",0.005,0.001,0,0.001,0.001,0.008,0.046,0,0.007,0,0.001,0.009,0.044,0.024,0.002,0.001,0.162,0.052,0.018,0.007,0.001,0.002,0.006,0.006,0,0.001,0.002,0.031,0.003,0.281,0.009,0.004,0,0.001,0.004,0,0.001,0.001,0.001,0.001,0,0.014,0.009,0.004,0.004,0,0.001,0.001,0.001,0,0.037,0,0.368,4.827,0,0,0.001,196.719,0,202.729
"DOM_C10T12",440.675,2.743,6.428,0.06,0.013,0.292,0.677,0.007,1335.813,2.104,1.04,15.073,2.473,29.833,42.989,1.415,0.798,0.554,0.947,1.172,0.346,0.717,2.142,1.466,0.045,0.211,2.316,1.929,2.852,4.654,115.743,3.315,2.987,0.571,5.289,0.347,1092.989,7.871,2.549,7.625,2.335,13.374,18.843,9.891,21.612,12.456,39.926,38.204,10.736,0,13551.12,4.254,91.426,5.53,16.771,0,266.194,5313.962,0,22557.701
"DOM_C13T15",2.335,1.42,0.408,0.123,0.016,0.557,0.441,0.009,5.159,69.985,2.877,19.572,1.649,3.575,4.317,5.525,2.676,2.058,0.861,3.936,1.242,1.99,6.834,28.532,0.36,1.343,12.55,1.674,1.988,14.202,26.483,2.489,0.324,0.514,2.178,0.464,11.765,1.423,0.82,1.921,0.538,3.365,14.116,8.883,11.027,1.406,7.781,10.396,8.003,0,140.961,0.007,1.831,10.639,2.114,0,5.236,947.929,0,1420.828
