"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",1295.321,7.262,16.408,0.027,0.05,0,0.06,0.024,1442.598,43.854,0.415,0.166,0,3.376,2.468,1.144,0.039,0.001,0.002,0.021,0.091,0.083,0.127,0.053,0.004,0.009,0.603,0.12,0.257,2.567,32.413,1.13,0.068,0.016,0.597,0.062,341.57,0.076,0.126,0.026,0.197,0.255,1.766,2.894,13.885,5.722,0.698,0.588,0.318,0,2785.669,0.391,41.683,60.552,2.283,0,10.587,550.663,0,6671.389
"DOM_A02",71.039,199.535,2.312,0.872,0.241,0.002,0.131,0.004,26.75,3.551,89.981,14.257,0,1.104,0.182,3.537,0.497,0.021,0.02,0.055,0.008,0.068,0.071,0.026,0.013,0.006,7.632,1.19,0.042,5.121,10.708,0.212,0.016,0.007,0.114,0.026,14.014,0.083,0.225,0.08,0.063,0.218,0.151,0.313,8.876,1.49,0.055,0.304,0.091,0,276.282,0.494,6.436,5.657,0.058,0,0.018,6.551,0,760.812
"DOM_A03",2.248,0.152,229.95,0.01,0.003,0,0.009,0.001,310.296,0.116,0.001,0.007,0.001,0.047,0.033,0.004,0.012,0.001,0.002,0.014,0.013,0.03,0.014,0.005,0.002,0.001,0.011,0.003,0.016,0.061,3.918,0.085,0.035,0.007,0.055,0.002,162.804,0.035,0.048,0.035,0.115,0.062,0.063,0.044,5.884,0.769,0.097,0.052,0.033,0,446.74,0.137,1.675,0.069,0.712,0,0.927,150.19,0,1317.653
"DOM_B05",14.468,0.343,0.167,68.926,7.189,0.165,4.926,4.307,16.106,8.232,0.264,6.046,2.245,20.353,0.356,1.246,58.113,46.233,8.875,0.571,0.389,2.982,0.953,0.659,0.147,0.38,0.32,153.006,0.758,20.174,5.012,4.886,0.02,0.063,1.257,0.11,5.996,0.078,0.483,0.078,0.178,0.977,0.387,0.355,21.49,8.248,0.065,0.041,0.296,0,79.112,0,0.012,0.056,0.026,0,0.01,0.2,0,578.333
"DOM_B06",0.378,0.005,0.042,1.161,11.511,0.012,0.782,0.584,2.763,0.563,0.058,0.929,6.351,9.274,0.075,0.305,4.024,0.838,0.674,0.788,0.13,0.403,0.198,0.263,0.022,0.066,0.304,14.216,0.322,0.907,3.628,1.265,0.016,0.023,1.142,0.146,0.733,0.049,0.094,0.055,0.194,0.279,0.462,0.283,3.479,0.726,0.009,0.016,0.013,0,3.553,0,0.26,0.083,0,0,0.004,1769.547,0,1844.007
"DOM_B07",0.06,0.002,0.011,0.088,0.15,0.025,0.185,0.092,0.09,0.022,0.001,0.006,0.005,0.24,0.006,0.004,0.612,1.318,2.12,0.216,0.015,0.064,0.032,0.016,0.001,0.001,0.021,0.06,0.009,0.584,0.08,0.062,0.001,0.005,0.023,0.007,0.045,0.005,0.02,0.006,0.024,0.008,0.033,0.019,0.077,0.018,0.001,0.002,0.001,0,0.227,0.001,0.016,0.074,0,0,0.016,1.042,0,7.869
"DOM_B08",7.97,0.118,1.044,0.793,1.26,0.032,11.277,1.054,3.257,0.458,0.011,0.608,0.068,7.19,0.093,0.164,64.258,1.981,0.927,0.654,0.185,1.134,0.299,0.129,0.01,0.021,0.529,0.625,0.578,73.63,0.637,0.446,0.002,0.006,0.136,0.012,0.685,0.003,0.026,0.002,0.007,0.734,0.102,0.827,3.756,0.134,0.003,0.012,0.01,0,16.174,0,0.012,0.201,0.058,0,0.04,132.065,0,336.445
"DOM_B09",0.803,0.012,4.013,5.941,86.089,0.103,8.632,25.941,0.393,0.038,0.011,0.316,0.226,0.068,0.011,0.079,2.578,0.171,0.174,0.031,0.016,0.071,0.035,0.012,0.001,0.003,0.015,0.966,0.074,4.922,0.219,0.956,0.041,0.101,0.438,0.149,0.202,0.023,0.017,0.004,0.055,0.086,0.203,0.033,0.46,0.081,0.001,0.002,0.003,0,0.344,0,3.642,36.571,0,0,0.01,2.576,0,187.959
"DOM_C10T12",39.767,0.055,3.998,0.021,0.063,0,0.024,0.015,62.414,1.317,0.018,0.121,0.003,0.545,0.261,0.039,0.082,0.012,0.008,0.085,0.092,0.159,0.08,0.059,0.005,0.011,0.09,0.022,0.058,0.351,4.559,0.747,0.078,0.104,0.302,0.07,104.675,0.147,0.323,0.118,0.468,0.146,0.287,0.288,3.468,1.876,0.102,0.243,0.06,0,1855.764,0.354,2.082,0.541,5.467,0,37.221,2672.06,0,4801.328
"DOM_C13T15",1.8,0.094,3.998,0.055,0.135,0.001,0.046,0.032,0.965,299.603,0.075,1.623,0.001,0.718,0.188,1.029,0.693,0.018,0.012,0.343,0.338,0.746,0.393,2.425,0.085,0.158,3.936,0.01,0.099,1.688,5.676,0.357,0.014,0.028,0.315,0.147,8.916,0.082,0.157,0.072,0.243,0.171,0.676,0.981,6.244,1.096,0.13,0.269,0.351,0,409.967,0.046,0.135,1.317,5.985,0,10.254,2824.05,0,3598.986
