"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",19706.004,34.142,18.778,0.745,0.33,0.343,5.905,0.11,31746.205,5631.743,64.052,24.174,0.958,110.702,50.85,140.756,12.875,1.187,0.449,3.03,1.692,5.681,9.504,33.316,1.036,0.947,154.333,109.433,15.566,431.985,1056.956,58.677,2.806,1.087,8.369,0.927,3769.897,7.204,5.179,0.785,3.894,13.288,23.656,113.772,280.179,185.204,259.481,84.828,179.441,0,29614.561,9.902,28.204,3650.887,307.075,0,343.967,9127.511,0,107454.569
"DOM_A02",130.114,109.373,0.318,2.075,0.159,0.24,1.473,0.008,58.97,29.277,1172.275,102.495,0.144,4.264,0.463,47.197,5.922,0.935,0.288,0.368,0.043,0.339,0.525,0.414,0.108,0.032,139.593,129.086,0.368,100.875,22.081,1.757,0.101,0.155,0.237,0.05,18.737,0.608,0.919,0.132,0.216,1.502,1.123,1.746,21.177,5.777,2.65,4.489,4.123,0,954.588,0.001,0.063,2.493,0.806,0,0.457,21.265,0,3104.996
"DOM_A03",2.381,0.049,17.824,0.013,0.001,0.014,0.054,0,521.073,0.485,0.008,0.02,0.022,0.104,0.047,0.026,0.071,0.015,0.01,0.039,0.011,0.054,0.045,0.016,0.007,0.001,0.098,0.103,0.05,0.597,13.76,0.286,0.099,0.022,0.052,0.001,128.184,0.129,0.08,0.026,0.125,0.207,0.101,0.217,8.021,1.731,3.014,0.483,0.984,0,912.236,0,0.001,0.142,2.295,0,22.148,603.793,0,2241.374
"DOM_B05",2.8,0.02,0.002,17.189,0.426,1.587,5.618,0.179,4.476,8.499,0.361,4.481,89.565,8.252,0.092,1.755,72.152,216.721,13.085,0.341,0.066,1.091,0.64,0.761,0.117,0.141,0.512,1749.817,0.472,40.313,1.93,3.113,0.01,0.04,0.208,0.016,0.866,0.032,0.15,0.01,0.048,0.569,0.173,0.13,5.176,3.283,0.721,0.062,1.335,0,964.44,0,23.548,0.036,7.293,0,0,246.032,0,3500.754
"DOM_B06",0.432,0.001,0.003,1.32,3.051,0.54,4.09,0.114,3.323,2.97,0.366,3.18,1118.377,17.088,0.093,1.988,22.698,17.871,4.529,2.182,0.108,0.689,0.597,1.402,0.08,0.113,1.878,717.639,0.966,8.341,7.201,3.627,0.028,0.044,0.829,0.101,0.527,0.109,0.146,0.033,0.268,0.762,0.872,0.526,3.843,1.349,0.552,0.137,0.37,0,0.916,0,0.026,0.909,0,0,0.026,196.01,0,2155.237
"DOM_B07",1.246,0.002,0.009,2.737,0.746,36.91,30.872,0.457,2.849,2.435,0.098,0.318,28.458,14.68,0.152,0.796,111.84,964.053,489.995,23.547,0.388,4.742,4.817,4.447,0.171,0.186,5.616,60.557,0.816,172.132,1.233,2.13,0.012,0.079,0.157,0.018,0.643,0.049,0.12,0.007,0.044,0.339,0.582,0.378,0.847,0.411,0.286,0.154,0.751,0,2.811,0,0.033,2.849,4.035,0,0.031,3168.464,0,5152.538
"DOM_B08",25.577,0.107,0.219,2.782,1.049,4.574,178.853,0.613,18.305,13.239,0.447,7.11,38.167,41.778,0.547,4.537,1116.15,136.048,21.972,6.566,0.752,6.927,4.113,3.755,0.202,0.214,15.198,99.073,6.037,2068.586,3.936,5.782,0.076,0.346,0.388,0.039,2.793,0.16,0.299,0.024,0.097,6.307,0.898,5.528,13.343,1.147,1.726,0.447,1.403,0,27.966,0,0.742,24.936,5.122,0,0.882,1736.567,0,5664.447
"DOM_B09",0.273,0.001,0.102,2.75,9.543,1.848,18.297,2.004,0.144,0.018,0.021,0.431,16.626,0.043,0.004,0.201,5.882,1.468,0.473,0.022,0.002,0.037,0.032,0.005,0,0.001,0.021,20.417,0.075,18.075,0.032,0.957,0.026,0.078,0.088,0.039,0.047,0.072,0.001,0,0.013,0.093,0.182,0.015,0.179,0.053,0.033,0.003,0.016,0,0.007,0,3.861,445.582,0,0,0.001,4.456,0,554.653
"DOM_C10T12",5052.024,0.876,34.786,0.759,0.554,0.527,6.792,0.098,7210.77,272.783,3.849,33.019,12.033,125.208,40.291,13.635,12.185,3.316,2.373,4.523,1.492,8.181,6.301,5.55,0.386,0.478,45.004,22.873,13.294,78.443,782.329,52.331,8.25,5.467,10.765,2.599,5462.94,32.352,22.82,4.508,17.111,23.237,28.232,48.807,308.685,347.95,316.843,137.382,125.547,0,48961.135,0,0.269,4.004,105.343,0,1367.295,17331.705,0,88520.31
"DOM_C13T15",210.299,1.099,4.729,4.625,2.842,4.223,16.133,0.37,289.062,16281.378,26.252,226.857,53.497,73.084,16.926,206.903,145.118,87.287,14.302,71.217,25.033,102.313,87.89,317.113,9.575,10.387,623.09,235.739,30.611,926.691,340.989,164.289,3.838,18.15,12.991,6.259,179.779,25.406,25.17,3.26,13.677,29.271,62.683,76.831,282.866,105.578,229.373,69.625,229.933,0,31642.618,0.009,433.946,2444.377,1115.028,0,963.318,28115.329,0,86699.239
