"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",10167.248,83.738,2.591,0.672,0.545,0.044,1.931,0.757,10139.518,29.294,5.656,1.486,0.008,15.817,18.328,12.059,0.21,0.051,0.018,0.065,0.062,0.059,0.426,0.05,0.008,0.07,4.225,0.685,0.397,1.345,444.095,6.362,1.248,0.162,5.191,0.069,367.08,1.333,0.399,0.922,1.722,5.95,26.917,17.329,82.426,25.246,113.729,17.009,16.895,0,7040.812,5.518,315.72,263.689,32.565,0,5.953,9882.368,0,39168.074
"DOM_A02",391.31,1624.499,0.253,14.972,1.835,0.26,2.959,0.078,117.24,1.648,861.78,94.143,0.007,3.628,0.943,26.213,1.855,0.654,0.11,0.117,0.003,0.033,0.163,0.016,0.018,0.032,35.898,4.758,0.041,1.88,101.132,0.769,0.193,0.037,0.659,0.019,10.344,0.82,0.488,1.927,0.367,3.991,1.691,1.326,36.981,4.593,6.41,6.064,3.738,0,429.283,3.978,26.433,15.217,0.294,0,0.001,13.199,0,3857.298
"DOM_A03",0.26,0.016,0.225,0.013,0.014,0.001,0.018,0.009,11.232,0.003,0.004,0.007,0.003,0.009,0.006,0.006,0.015,0.023,0.001,0.005,0.002,0.003,0.005,0.002,0,0.002,0.008,0.003,0.001,0.005,0.448,0.048,0.036,0.009,0.039,0.001,0.954,0.011,0.008,0.027,0.015,0.024,0.041,0.012,0.226,0.026,0.108,0.013,0.015,0,68.123,0.001,0.188,0.32,0.014,0,0.099,1.711,0,84.416
"DOM_B05",76.318,2.647,0.017,1219.13,52.47,16.567,106.921,91.456,77.966,3.67,2.407,37.271,108.394,64.156,1.771,8.834,208.376,1436.204,46.972,1.179,0.177,1.432,2.135,0.413,0.19,1.937,1.637,631.134,0.654,7.106,46.135,18.403,0.247,0.467,7.3,0.079,3.901,0.609,1.022,1.827,1.089,14.461,4.662,1.37,85.807,24.478,9.548,0.774,13.111,0,279.074,0,23.725,0.087,0.401,0,0,0.644,0,4748.757
"DOM_B06",15.596,0.197,0.031,156.434,709.795,10.076,139.067,101.092,102.141,2.054,4.3,47.418,1648.072,240.167,3.015,17.736,118.259,213.753,29.381,13.457,0.473,1.553,3.438,1.332,0.226,2.744,14.02,456.864,2.372,2.56,270.144,37.388,1.069,0.472,51.752,0.865,4.09,3.24,1.544,10.3,9.829,34.935,41.712,9.189,113.523,17.61,11.428,2.654,3.671,0,1212.701,0,481.152,0.132,1.415,0,0.001,40.917,0,6419.358
"DOM_B07",2.144,0.013,0.004,14.302,7.037,30.838,46.967,18.661,3.433,0.058,0.027,0.131,1.756,9.074,0.209,0.233,25.77,508.13,140.634,5.42,0.045,0.32,0.729,0.081,0.004,0.02,0.988,1.566,0.061,2.304,1.765,0.852,0.014,0.058,0.342,0.005,0.174,0.038,0.018,0.028,0.022,0.46,1.032,0.216,0.762,0.116,0.126,0.086,0.361,0,0.032,0.001,0.013,0.051,0,0,0.001,2486.583,0,3314.115
"DOM_B08",245.966,5.277,0.647,74.906,51.738,18.842,1439.439,129.732,84.306,1.142,0.502,22.267,12.01,132.981,2.64,6.685,1354.185,357.377,28.077,7.836,0.472,3.132,3.473,0.42,0.064,0.561,14.058,13.434,3.406,152.466,32.411,9.238,0.118,0.117,4.342,0.033,2.801,0.07,0.283,0.175,0.145,67.858,6.852,17.642,87.721,2.209,1.935,1.494,2.147,0,42.478,0,0.006,0.131,0.067,0,0.001,107.394,0,4555.707
"DOM_B09",5.586,0.094,0.59,135.445,879.463,14.425,260.374,767.614,2.111,0.01,0.108,2.683,9.644,0.258,0.053,0.76,12.731,7.293,1.272,0.066,0.005,0.038,0.086,0.003,0,0.011,0.076,5.114,0.078,2.385,0.659,4.237,0.492,0.627,2.3,0.142,0.177,0.553,0.008,0.009,0.358,1.89,3.406,0.1,2.242,0.297,0.256,0.028,0.139,0,0.098,0,22.422,134.095,0,0,0.001,513.08,0,2795.986
"DOM_C10T12",1772.037,1.77,3.526,0.745,1.024,0.077,1.793,0.687,2101.176,4.214,0.387,4.061,0.128,12.913,10.126,1.127,0.711,0.372,0.13,0.355,0.093,0.203,0.415,0.056,0.012,0.129,1.866,0.131,0.275,0.288,249.105,5.21,4.159,1.242,6.614,0.173,517.683,8.555,2.763,13.387,10.767,10.633,12.32,5.833,86.534,39.177,91.601,32.128,13.584,0,13408.832,13.209,39.387,1.726,21.106,0,15.053,7183.152,0,25714.757
"DOM_C13T15",10.185,0.835,0.465,1.25,1.244,0.173,1.215,0.9,5.266,142.036,0.78,10.695,0.025,2.463,1.065,7.816,2.746,0.698,0.079,0.825,0.184,0.422,1.018,1.66,0.122,0.886,19.524,0.056,0.152,0.688,64.666,1.869,0.209,0.296,2.332,0.178,6.701,1.15,0.497,2.204,1.761,3.088,9.308,5.364,35.411,4.354,24.085,7.486,11.44,0,928.3,0.467,0.945,3.506,1.92,0,2.575,133.276,0,1468.859
"DOM_C16",38.181,7.624,0.078,4.638,1.547,0.394,3.179,1.283,25.442,1.316,182.214,27.172,0.016,3.681,0.825,3.395,8.377,1.212,0.378,2.902,0.347,1.331,1.772,1.218,0.522,0.953,90.929,0.536,0.19,24.287,72.772,4.935,0.167,0.183,11.948,0.041,4.195,2.641,0.734,2.455,1.643,64.732,19.082,4.948,7.949,4.303,7.907,2.842,10.84,0,118.587,0,0.011,18.908,4.609,0,0.733,1205.694,0,2008.799
"DOM_C17_18",25.921,0.628,0.139,0.817,2.334,0.319,1.694,1.217,211.881,3.543,4.649,440.015,0.101,6.918,13.363,8.093,10.548,1.767,0.467,2.986,1.248,2.419,3.172,0.751,0.058,1.04,13.084,0.382,0.513,0.978,262.285,10.178,1.399,1.065,13.229,1.698,9.539,211.594,12.451,91.928,79.912,13.523,133.106,36.312,163.302,64.443,55.138,14.772,23.778,0,397.195,0.003,10.027,2.171,1.492,0,2.48,228.079,0,2602.146
"DOM_C19",251.11,17.804,3.07,31.013,30.918,6.198,43.754,33.187,51.805,1.416,4.927,10.268,34.649,83.9,3.203,2.936,15.613,35.275,1.848,3.231,0.35,2.385,2.473,1.233,0.097,1.103,13.868,16.692,2.987,5.36,379.537,602.281,162.786,382.853,92.189,3.692,9.292,7.219,8.622,30.676,35.688,16.85,47.417,30.772,186.319,21.051,37.7,11.538,17.382,0,0.186,0.001,0.027,0.095,0.371,0,0.001,164.885,0,2962.101
"DOM_C20",875.276,3.191,0.219,18.394,15.887,4.166,29.048,13.999,105.975,21.569,16.383,71.051,6.605,368.234,61.369,210.552,30.544,15.009,2.922,10.151,4.079,8.597,7.387,3.983,0.687,2.978,33.616,0.831,3.298,4.784,81.114,7.047,1.029,1.749,12.007,0.114,7.923,17.471,0.783,14.702,4.302,39.039,55.961,16.912,32.946,15.182,79.317,6.304,29.059,0,254.431,0.002,0.202,0.095,0.488,0,0.332,473.157,0,3102.455
"DOM_C21",61.888,0.051,0.064,0.842,1.081,0.253,0.504,0.164,11.655,0.202,0.064,0.085,0.011,2.508,183.071,0.16,0.055,0.166,0.023,0.036,0.015,0.007,0.264,0.01,0.001,0.017,0.99,0.032,0.17,0.038,10.552,1.062,0.19,0.199,0.502,0.031,0.128,0.455,0.027,0.073,0.367,0.391,27.132,0.515,51.493,4.97,559.499,2.504,3.519,0,666.029,0.003,1.075,0.03,1.094,0,0.358,88.24,0,1684.868
"DOM_C22",156.638,4.165,0.485,18.024,17.722,1.977,14.237,8.065,357.533,16.632,10.15,53.59,0.568,30.919,32.555,221.542,15.894,5.907,1.814,16.204,8.756,23.942,28.986,21.302,0.632,14.638,56.091,0.45,2.944,18.814,587.599,108.241,2.952,2.472,27.551,0.758,8.333,11.054,4.726,11.511,13.175,60.087,51.933,23.686,41.13,14.283,38.709,7.488,14.933,0,73.667,0,0.007,0.183,0.351,0,0.001,156.31,0,2422.32
"DOM_C23",279.801,6.707,0.189,21.157,48.502,11.175,82.473,23.741,476.551,3.305,27.466,6.709,0.785,31.953,41.118,58.373,1091.369,137.008,8.469,32.583,14.831,28.201,22.604,17.465,1.989,8.458,60.931,2.644,5.608,411.442,344.927,28.695,8.796,0.736,32.632,0.467,34.121,2.216,3.16,4.814,17.606,799.619,121.745,21.328,105.504,60.823,57.769,15.373,36.757,0,561.729,0,0.009,0.133,0.845,0,0.001,158.814,0,5382.223
"DOM_C24A",57.397,3.375,0.103,70.831,200.92,10.593,18.45,38.759,29.092,2.322,11.734,9.81,1.082,7.217,2.637,49.248,67.924,3802.198,35.197,1103.503,22.088,114.566,562.149,107.989,18.27,180.267,216.509,3.925,18.578,127.756,226.318,21.647,4.778,0.191,37.31,0.113,0.95,0.701,0.655,1.699,3.072,74.746,102.101,7.576,31.849,8.779,5.5,6.363,12.023,0,0.052,0,6.409,0.073,0,0,0,4001.324,0,11448.72
"DOM_C24B",4.713,0.414,0.003,1.065,6.021,0.615,1.43,0.802,18.469,0.514,1.591,3.494,0.11,10.056,1.995,6.582,5.179,105.957,136.574,93.351,10.818,54.941,41.526,10.616,0.881,16.109,50.607,0.367,3.07,5.57,38.896,2.215,0.47,0.074,1.96,0.004,0.614,0.656,0.16,0.521,0.807,6.025,6.842,0.477,3.701,0.162,1.403,0.757,2.422,0,13.448,0,0.013,2.918,0.022,0,0.001,184.33,0,862.335
"DOM_C25",101.561,6.465,0.223,45.82,55.063,4.903,20.592,37.328,165.341,3.937,17.551,9.601,0.721,14.302,6.13,19.952,18.476,78.5,5.984,196.522,8.725,29.837,135.096,26.482,5.341,36.826,100.296,1.493,2.142,50.482,214.393,17.974,2.767,0.882,20.314,0.169,7.211,3.749,6.314,12.251,3.713,91.102,69.297,21.406,177.034,12.339,14.183,6.529,16.823,0,164.849,0.002,0.099,477.705,59.517,0,0.001,196.544,0,2802.859
"DOM_C26",0.984,0.116,0.009,0.394,1.08,0.069,0.285,0.473,1.029,0.054,0.069,0.483,0.033,0.369,0.264,0.272,0.236,0.269,0.075,0.76,34.592,5.966,5.176,0.966,0.232,1.254,7.066,0.232,0.151,0.632,32.889,1.204,0.323,0.676,2.593,0.13,0.469,4.058,25.841,49.924,3.905,1.431,18.836,3.318,15.52,4.743,14.756,1.786,5.338,0,116.753,0.002,0.053,79.143,9.959,0,0.245,119.316,0,576.802
"DOM_C27",11.68,0.377,0.08,4.242,3.273,0.865,5.548,5.617,6.118,0.22,0.432,2.108,0.085,1.221,0.79,1.908,1.73,3.024,0.611,4.915,11.072,111.949,27.396,9.814,0.584,8.321,43.739,6.701,0.678,12.182,127.567,14.426,2.129,1.745,7.623,0.157,2.883,4.248,30.004,33.877,3.372,12.26,43.503,10.201,50.902,6.695,15.099,7.915,11.599,0,195.314,0.002,0.055,98.502,12.186,0,0.144,401.737,0,1381.426
"DOM_C28",32.496,5.535,0.224,36.682,42.718,4.088,20.188,26.937,27.487,0.911,2.162,6.122,0.645,2.877,1.51,3.909,9.836,10.196,0.902,8.091,2.053,8.994,114.08,7.015,1.555,8.439,63.031,1.957,1.356,6.364,104.166,12.438,0.727,0.962,9.857,0.224,0.753,2.669,3.866,11.96,9.405,4.09,29.179,13.118,36.856,5.237,11.522,3.879,4.213,0,33.359,0,0.08,1040.054,129.235,0,0.001,648.621,0,2574.831
"DOM_C29",2.096,1.157,0.015,0.204,0.76,0.176,0.866,0.602,0.907,0.044,0.101,0.101,0.018,0.158,0.059,0.226,0.506,0.386,0.094,0.35,0.104,0.388,1.56,42.442,0.028,1.466,2.987,0.059,0.131,0.215,212.68,30.188,0.889,1.468,4.414,0.078,0.081,0.183,0.267,1.29,0.626,0.632,2.792,2.857,4.589,0.79,1.007,0.541,0.499,0,211.822,0.001,20.944,134.912,16.954,0,0.073,295.641,0,1004.423
"DOM_C301",0.032,0.002,0,0.007,0.011,0.001,0.007,0.007,0.023,0.001,0.002,0.003,0,0.003,0.002,0.003,0.004,0.009,0.001,0.011,0.01,0.014,0.017,0.008,0.021,0.015,0.026,0.002,0.001,0.005,0.096,0.021,0.042,0.017,0.013,0,0.002,0.004,0.012,0.023,0.005,0.011,0.021,0.008,0.077,0.005,0.011,0.004,0.005,0,2.034,0,0.004,5.18,0.663,0,0,91.024,0,99.527
"DOM_C302T309",0.587,0.822,0.316,1.075,0.342,0.096,0.186,0.467,1.018,0.017,0.057,0.033,0.001,0.047,0.013,0.094,0.091,0.209,0.024,0.685,0.17,0.477,1.37,4.433,2.407,262.684,35.205,0.018,0.024,0.151,49.213,75.25,7.873,76.595,7.949,0.049,0.053,0.015,0.034,0.309,0.369,0.245,1.94,4.61,116.853,0.568,3.659,0.431,3.135,0,192.905,0,0.057,308.484,38.536,0,0,186.482,0,1388.735
"DOM_C31T33",202.333,9.21,1.005,24.865,42.694,3.65,39.844,25.844,59.794,3.959,4.29,14.85,1.349,8.431,5.592,5.697,12.674,24.402,1.886,6.702,1.773,3.255,8.556,2.11,0.31,5.09,95.472,5.742,3.372,3.626,164.816,90.793,16.479,62.371,46.239,0.849,8.764,6.766,19.421,47.494,27.455,24.069,58.428,27.403,119.497,32.197,101.633,21.669,14.665,0,655.204,0.22,31.482,274.963,14.629,0,5.87,968.119,0,3469.876
"DOM_D",429.423,9.257,1.231,92.521,152.998,15.044,109.237,24.31,299.958,15.771,14.974,89.414,8.241,62.927,18.6,41.693,69.206,128.506,13.627,23.213,5.355,8.94,15.137,5.548,0.676,7.799,32.798,79.103,15.825,4.069,970.938,180.276,2.539,3.373,97.785,3.2,96.828,32.819,72.59,99.757,117.152,236.15,129.272,39.148,489.3,184.046,251.265,80.919,75.903,0,2224.976,0.045,1030.006,0.112,0.811,0,0.002,238.151,0,8452.765
"DOM_E",15.166,0.197,0.023,1.27,1.378,0.104,1.231,0.47,8.075,0.232,0.161,1.035,0.425,0.975,0.434,0.463,0.77,1.809,0.18,0.267,0.061,0.12,0.181,0.062,0.009,0.144,0.597,0.328,2.283,0.142,16.744,2.143,0.243,0.088,2.254,0.064,3.653,0.433,0.334,1.07,3.135,7.029,3.676,1.018,22.376,9.256,9.767,2.347,2.622,0,241.036,0.546,395.877,1.358,0.008,0,0.01,1.067,0,766.747
"DOM_F",8.572,1.027,0.027,1.114,0.999,0.114,0.835,1.35,1.105,0.067,0.134,0.258,0.04,0.173,0.096,0.155,0.4,0.474,0.066,0.279,0.03,0.091,0.161,0.04,0.012,0.073,1.337,0.426,0.438,6.109,17.787,2.939,0.143,0.113,5.443,0.067,0.909,0.501,2.185,1.337,3.396,91.667,9.228,1.157,41.446,4.634,5.124,1.1,1.047,0,37.028,0.003,0.047,3467.906,0.004,0,0.009,0.428,0,3721.651
"DOM_G",3931.895,243.761,6.935,238.174,193.141,33.988,345.665,151.265,3229.836,162.323,180.437,276.43,54.426,331.624,213.814,297.86,501.103,857.589,41.505,255.527,71.246,119.695,243.843,202.391,7.971,111.106,309.965,74.921,21.847,183.628,5725.819,1685.073,107.496,225.26,317.742,13.26,281.339,177.404,142.175,399.775,209.133,415.497,490.94,423.18,892.652,174.66,826.296,122.855,151.372,0,14170.712,7.052,356.943,2927.313,0.02,0,19.111,5149.133,0,48306.122
"DOM_H49",751.932,107.342,1.402,248.122,194.541,19.091,311.285,118.139,711.193,21.754,65.432,90.319,36.843,82.537,37.766,56.764,242.018,345.064,21.42,67.872,12.241,28.421,53.835,16.558,1.736,23.795,83.603,55.27,8.892,54.588,2625.595,1062.732,23.532,28.905,589.599,35.216,48.618,75.796,33.211,93.996,132.94,117.561,234.775,105.118,461.989,133.249,224.09,39.376,66.556,0,3280.005,3.213,636.27,195.012,0,0,42.482,1557.141,0,15716.749
"DOM_H50",102.465,17.698,0.718,24.152,27.211,1.897,33.319,9.372,79.262,5.572,8.44,12.693,11.724,17.512,6.374,12.886,31.999,56.163,4.101,10.877,3.013,7.017,10.096,3.903,0.345,4.845,15.046,11.021,0.712,8.871,294.306,71.681,238.645,10.51,149.483,0.769,5.738,4.287,4.52,11.358,6.039,15.453,25.415,14.699,42.315,6.225,22.702,4.054,5.474,0,300.717,0.151,9.585,110.267,0,0,8.575,617.294,0,2519.569
"DOM_H51",96.672,10.382,0.243,9.26,26.245,1.037,10.226,6.918,69.848,5.093,6.948,10.506,6.074,12.818,7.331,11.175,15.034,13.814,1.625,4.782,2.776,6.247,7.655,3.04,0.228,3.177,13.11,4.068,0.754,6.792,233.94,40.713,4.955,115.103,101.075,5.628,7.369,10.398,10.208,47.664,75.205,25.643,69.934,75.637,134.261,18.552,40.657,11.096,14.098,0,757.964,0.145,11.031,85.804,0,0,31.785,806.474,0,3109.216
