"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",68954.368,680.732,44.32,2.991,26.806,1.364,7.554,2.311,224829.578,1143.136,728.865,93.42,2.089,894.63,688.758,514.496,6.667,1.029,1.668,5.576,6.313,2.476,29.879,21.125,1.019,5.424,159.842,148.865,50.698,621.493,8678.418,101.595,13.027,2.941,59.218,6.483,48009.086,71.062,16.836,13.851,66.311,358.789,961.463,1390.357,2461.742,1197.285,4756.826,545.638,769.066,0,194624.357,496.316,0.326,20.243,202.612,0,426.017,65992.048,0,630919.405
"DOM_A02",522.694,1989.854,0.749,9.662,16.865,1.445,2.232,0.05,494.247,10.228,6378.382,584.871,0.371,40.482,7.037,213.792,10.069,2.141,1.752,1.721,0.051,0.251,2.219,1.296,0.397,0.46,259.351,183.969,0.967,170.279,387.951,2.43,0.391,0.119,1.531,0.335,257.119,5.954,3.389,4.47,2.626,35.29,10.844,20.806,215.058,42.683,54.043,32.781,29.165,0,12968.462,133.152,0.054,38.622,4.503,0,0.025,1290.846,0,26450.533
"DOM_A03",4.102,0.392,21.987,0.026,0.026,0.039,0.037,0,1801.273,0.05,0.018,0.04,0.038,0.424,0.322,0.047,0.052,0.011,0.024,0.091,0.026,0.026,0.095,0.03,0.019,0.01,0.077,0.062,0.048,0.433,37.53,0.24,0.238,0.036,0.186,0.002,839.065,0.669,0.175,0.513,1.176,3.208,1.168,0.6,36.979,5.731,26.285,1.456,2.791,0,1319.975,8.303,0,0.171,6.375,0,10.609,2385.951,0,6519.255
"DOM_B05",50.033,2.304,0.147,411.192,471.37,39.737,39.123,37.722,134.311,11.149,7.702,92.647,2007.118,285.467,5.842,29.881,452.895,1874.147,298.757,10.26,1.867,4.926,13.325,15.873,1.887,11.986,5.582,12719.322,9.859,702.388,127.497,30.972,0.477,1.192,16.825,1.635,45.762,4.997,15.155,4.206,21.326,487.404,47.983,21.513,399.183,125.811,81.327,6.253,49.587,0,4.445,0.7,0.002,5840.634,0,0,0.01,13417.78,0,40501.495
"DOM_B06",1233.904,75.459,32.822,439.355,34773.527,358.477,622.079,730.456,1980.447,85.639,218.27,1039.625,329406.407,9258.019,156.639,529.017,2184.261,2348.759,1406.512,717.49,57.542,101.011,273.915,660.408,22.562,172.271,283.946,69707.496,387.085,2760.573,7727.017,6697.393,665.602,2533.373,1017.982,267.446,997.945,255.411,235.655,320.136,919.755,1941.958,1654.349,1656.461,5525.776,1123.083,1637.707,222.783,527.274,0,14822.959,3.294,0.325,23523.614,0,0,115.74,177625.119,0,714042.128
"DOM_B07",15.742,0.42,0.091,41.488,343.539,790.687,157.814,52.456,66.827,2.783,1.075,3.63,399.814,446.55,6.991,8.525,618.456,7375.023,9909.592,351.128,3.855,10.843,43.743,28.988,0.489,1.337,27.991,271.293,7.455,1058.725,49.014,14.39,0.21,0.95,6.877,0.712,23.633,2.194,4.769,1.081,6.812,167.968,35.451,19.803,89.397,17.197,19.99,3.272,15.45,0,1.358,0.257,0.001,2020.019,0,0,0.007,9919.664,0,34467.828
"DOM_B08",509.976,9.895,2.711,69.972,1197.225,143.093,1462.46,132.923,548.489,26.432,15.052,207.393,844.727,2114.309,57.444,185.156,9536.487,1523.815,584.421,165.912,19.997,37.809,72.397,78.115,3.437,15.763,142.502,701.522,115.945,18293.664,261.038,50.394,0.994,1.661,27.347,2.336,128.111,12.877,18.14,6.097,26.45,1524.726,124.03,424.357,912.499,82.733,136.013,17.099,50.186,0,406.155,1.014,0.029,7598.324,0.72,0,1.317,2273.556,0,52907.245
"DOM_B09",52.483,3.56,2.693,124.295,11218.192,114.341,280.58,636.079,64.159,2.717,10.174,33.561,721.593,33.181,6.749,23.651,148.636,55.935,37.738,118.559,11.808,12.125,79.807,94.15,5.433,26.391,25.189,325.524,19.021,1809.409,226.338,51.905,3.172,7.227,39.149,6.83,67.062,21.098,39.583,13.185,60.904,1221.062,147.825,59.671,640.503,113.759,143.249,15.6,27.777,0,298.439,2.351,0.174,42496.589,8.829,0,0.716,1828.476,0,63639.207
"DOM_C10T12",21057.924,18.383,91.225,6.063,105.73,7.307,15.081,5.25,65593.394,135.43,52.576,267.613,114.502,1526.053,716.668,235.617,55.586,36.575,29.492,90.271,50.044,29.084,97.809,126.042,7.259,51.742,132.096,56.283,64.292,357.155,7400.598,167.866,59.263,39.835,112.774,28.255,85399.386,480.978,156.111,245.812,382.067,914.747,653.614,665.597,3487.332,2821.867,6662.287,917.242,737.86,0,854440.434,872.689,1.602,800.762,389.189,0,2628.502,63542.457,0,1125141.674
"DOM_C13T15",311.76,6.167,7.36,5.921,84.003,9.29,9.119,4.194,218.333,3911.94,57.625,437.728,66.067,767.178,133.567,689.004,115.163,26.965,17.522,102.542,41.409,33.068,103.28,772.547,18.046,85.145,738.789,17.075,28.451,435.112,1269.21,42.802,3.696,9.12,30.801,11.571,709.29,78.511,19.357,35.387,66.125,235.566,331.55,371.641,834.238,195.32,1271.491,158.355,417.801,0,39683.736,16.287,1.252,2247.623,244.843,0,370.502,14412.892,0,72323.338
