"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",4056.843,56.265,7.915,12.125,1.06,7.007,4.225,1.8,5678.262,58.437,35.293,19.592,13.429,49.597,18.244,20.769,5.765,5.891,2.716,17.112,5.403,7.296,18.507,31.539,2.041,2.169,27.593,39.27,41.797,50.987,498.985,29.394,0.558,4.366,36.269,5.461,378.495,65.753,82.93,20.17,20.794,85.34,206.498,152.222,795.086,739.461,217.721,550.032,77.204,0,5319.122,27.708,2.619,685.695,36.783,0,27.464,7220.474,0,27585.555
"DOM_A02",63.917,241.055,0.274,10.25,0.114,3.715,0.647,0.006,32.043,1.113,302.918,40.257,0.061,3.143,0.3,10.264,0.643,0.273,0.092,0.098,0.003,0.026,0.167,0.121,0.023,0.007,17.193,26.789,0.139,6.901,14.409,0.124,0.003,0.006,0.146,0.014,3.65,0.048,0.215,0.077,0.012,0.842,0.194,0.525,11.617,4.273,2.029,0.23,0.179,0,140.898,0.145,0.023,0.742,0.249,0,0.002,89.013,0,1032.215
"DOM_A03",24.552,0.285,41.063,0.194,0.005,0.657,0.088,0.004,542.73,0.205,0.013,0.127,0.11,0.994,0.314,0.038,0.03,0.018,0.014,0.041,0.01,0.023,0.06,0.039,0.006,0.002,0.076,0.095,0.127,0.183,9.302,0.118,0.012,0.017,0.181,0.01,71.536,0.057,0.129,0.079,0.047,0.438,0.201,0.259,12.766,5.484,8.391,0.146,0.166,0,276.275,0.053,0.002,1.656,0.429,0,2.035,126.182,0,1128.073
"DOM_B05",7.586,0.224,0.142,48.868,2.285,56.814,46.222,3.257,5.393,0.447,0.196,2.415,46.048,19.067,0.272,0.791,69.118,50.894,5.303,1.314,0.196,0.607,0.967,1.657,0.048,0.07,1.175,175.396,2.362,89.622,3.394,1.351,0.006,0.09,1.101,0.129,0.537,0.036,0.386,0.042,0.058,7.939,0.97,1.332,9.53,3.409,2.094,0.043,0.105,0,20.247,0.003,0.003,253.802,0,0,0.156,8663.587,0,9609.106
"DOM_B06",0.435,0.021,0.012,7.65,2.968,10.571,2.189,0.516,1.973,0.134,0.124,1.465,932.949,14.655,0.085,0.513,2.903,6.33,1.73,0.839,0.046,0.114,0.33,0.849,0.023,0.048,0.29,172.452,0.68,1.512,3.335,0.789,0.008,0.14,1.212,0.074,0.153,0.025,0.146,0.049,0.038,1.116,0.533,0.335,3.187,1.434,0.763,0.017,0.031,0,1.232,0,0,29.668,0.047,0,0.024,15.523,0,1224.289
"DOM_B07",19.31,0.646,0.271,256.838,12.384,11233.29,275.285,34.488,31.879,2.326,1.167,4.647,385.471,217.142,3.319,6.558,247.57,5457.229,3093.691,173.765,8.635,36.927,51.392,77.122,1.088,2.864,24.058,233.573,17.165,287.751,33.809,9.632,0.071,1.191,8.776,0.892,3.684,0.811,6.172,1.497,1.469,32.78,22.478,8.008,43.233,17.659,16.44,0.533,1.314,0,37.82,0.018,0.004,1173.722,0,0,0.953,25861.313,0,49482.131
"DOM_B08",27.277,0.568,0.495,32.968,3.481,163.205,182.876,6.857,15.732,0.828,0.259,5.932,63.998,68.417,0.733,2.157,270.054,86.524,13.585,4.223,0.454,1.748,2.794,3.536,0.09,0.122,4.062,46.065,7.404,331.092,5.577,2.699,0.027,0.65,1.568,0.153,1.596,0.045,0.466,0.058,0.067,13.454,1.437,4.582,20.492,3.464,3.041,0.089,0.194,0,42.6,0.003,0.006,238.705,1.318,0,0.772,2229.323,0,3919.921
"DOM_B09",1.704,0.048,0.932,135.777,79.502,301.883,83.21,80.838,1.218,0.062,0.092,1.764,119.148,0.491,0.06,0.493,6.509,4.625,1.59,0.387,0.046,0.121,0.422,0.546,0.015,0.024,0.126,42.298,0.59,14.528,1.298,1.421,0.018,0.256,1.414,0.198,0.175,0.085,0.191,0.041,0.042,1.687,1.354,0.24,2.448,0.921,0.754,0.015,0.025,0,2.176,0.001,0.001,48.947,0.07,0,0.04,19.285,0,962.151
"DOM_C10T12",2727.686,4.354,32.147,4.343,0.54,9.756,3.326,0.424,4135.352,21.545,1.462,14.247,9.085,96.922,28.461,4.378,1.85,2.02,1.067,2.087,0.621,1.238,3.119,3.234,0.105,0.215,6.267,6.468,10.219,8.619,272.972,6.562,0.428,1.31,11.366,1.097,1429.854,3.89,8.882,4.177,2.656,17.304,11.616,19.277,222.473,297.65,290.73,13.502,7.767,0,16979.396,0.547,0.229,55.385,39.046,0,71.606,5498.714,0,32409.594
"DOM_C13T15",52.108,1.032,3.032,14.991,1.023,27.74,3.063,0.998,66.901,577.663,2.16,18.645,4.406,11.584,2.994,11.191,5.245,4.363,1.002,5.757,1.819,3.06,8.425,61.694,0.834,1.082,42.4,6.708,12.374,21.231,98.735,5.239,0.035,0.891,6.918,3.297,35.033,0.988,4.731,1.341,0.822,5.383,17.435,31.862,216.127,72.186,171.917,5.861,12.954,0,2549.006,0.051,0.019,6.46,10.156,0,26.781,897.762,0,5157.515
