typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","293202171.31","276776559.199","293202171.31","0","false","true",
"C","A","20250101","2025","52","2025","64","BTN","Bhutan","M","Import","0","W00","World","0","W00","World","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","43544019.492",,"43544019.492","0","false","true",
"C","A","20250101","2025","52","2025","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2823827089","2590058369","2823827089","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","44","Wood and articles of wood; wood charcoal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","1940228965.988","1793182681.7","1940228965.988","0","false","true",
"C","A","20250101","2025","52","2025","64","BTN","Bhutan","M","Import","0","W00","World","0","W00","World","H6","HS","true","44","Wood and articles of wood; wood charcoal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","44575475.769",,"44575475.769","4","false","true",
"C","A","20250101","2025","52","2025","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H6","HS","true","44","Wood and articles of wood; wood charcoal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","180128972","162668073","180128972","4","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2132322206.972","1967879086.371","2132322206.972","4","false","true",
"C","A","20250101","2025","52","2025","64","BTN","Bhutan","M","Import","0","W00","World","0","W00","World","H6","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","82523549.426",,"82523549.426","4","false","true",
"C","A","20250101","2025","52","2025","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H6","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","5276827484","4892297545","5276827484","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","84","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","44489897656.215","42985297771.564","44489897656.215","0","false","true",
"C","A","20250101","2025","52","2025","64","BTN","Bhutan","M","Import","0","W00","World","0","W00","World","H6","HS","true","84","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","681021867.733",,"681021867.733","0","false","true",
"C","A","20250101","2025","52","2025","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H6","HS","true","84","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","48755219675","47051690512","48755219675","4","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","35290101471.122","34435580375.359","35290101471.122","0","false","true",
"C","A","20250101","2025","52","2025","64","BTN","Bhutan","M","Import","0","W00","World","0","W00","World","H6","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","226429561.905",,"226429561.905","0","false","true",
"C","A","20250101","2025","52","2025","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H6","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","31399839664","30138444296","31399839664","4","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","41207502001.263","39507171485.697","41207502001.263","0","false","true",
"C","A","20250101","2025","52","2025","64","BTN","Bhutan","M","Import","0","W00","World","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","105538965.098",,"105538965.098","0","false","true",
"C","A","20250101","2025","52","2025","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","24069291520","23080103626","24069291520","4","false","true",
"C","A","20250101","2025","52","2025","328","GUY","Guyana","M","Import","0","W00","World","0","W00","World","H5","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","39148646.6",,"39148646.6","0","false","true",
"C","A","20250101","2025","52","2025","328","GUY","Guyana","M","Import","0","W00","World","0","W00","World","H5","HS","true","44","Wood and articles of wood; wood charcoal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","20531837.948",,"20531837.948","0","false","true",
"C","A","20250101","2025","52","2025","328","GUY","Guyana","M","Import","0","W00","World","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","195215031.715",,"195215031.715","0","false","true",
"C","A","20250101","2025","52","2025","328","GUY","Guyana","M","Import","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1748944538.094",,"1748944538.094","4","false","true",
"C","A","20250101","2025","52","2025","328","GUY","Guyana","M","Import","0","W00","World","0","W00","World","H5","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","516429745.326",,"516429745.326","4","false","true",
"C","A","20250101","2025","52","2025","328","GUY","Guyana","M","Import","0","W00","World","0","W00","World","H5","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","684628197.852",,"684628197.852","0","false","true",
"C","A","20250101","2025","52","2025","348","HUN","Hungary","M","Import","0","W00","World","0","W00","World","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","381393885.546",,"381393885.546","4","false","true",
"C","A","20250101","2025","52","2025","352","ISL","Iceland","M","Import","0","W00","World","0","W00","World","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","24888349.307","20582926.801","24888349.307","0","false","true",
"C","A","20250101","2025","52","2025","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","3748025174.485",,"3748025174.485","0","false","true",
"C","A","20250101","2025","52","2025","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","6415101138.096",,"6415101138.096","4","false","true",
"C","A","20250101","2025","52","2025","428","LVA","Latvia","M","Import","0","W00","World","0","W00","World","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","191335070.877",,"191335070.877","0","false","true",
