"Reporter","ReporterName","Partner","PartnerName","Year","TL","TrfLineDescription","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","DutyTypeDescription","Duty Nature","AvMethod","Note"
"028","Antigua and Barbuda","000"," World",2016,101100000,"Pure-bred breeding horses and asses",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,101901000,"Live horses, asses, mules and hinnies (excl. pure-bred for breeding): Race horses not for breeding",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,101909000,"Live horses, asses, mules and hinnies (excl. pure-bred for breeding): Other",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,102101000,"Pure-bred breeding bovines: Bulls; pure-bred breeding animals",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,102102000,"Pure-bred breeding bovines: Cows: pure-bred breeding animals",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,102901000,"Live bovine animals (excl. pure-bred for breeding): Bulls, for breeding",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,102902000,"Live bovine animals (excl. pure-bred for breeding): Bulls, for rearing, weighing not more than 270 kg",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,102903000,"Live bovine animals (excl. pure-bred for breeding): Other, bulls",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,102904000,"Live bovine animals (excl. pure-bred for breeding): Cows, for breeding",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,102905000,"Live bovine animals (excl. pure-bred for breeding): Cows, for rearing, weighing not more than 270 kg",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,102906000,"Live bovine animals (excl. pure-bred for breeding): Other, cows",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,103100000,"Pure-bred breeding swine",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,103911000,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding): Other: swine for breeding weighing less than 50kg",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,103919000,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding): Other: swine weighing less than 50kg",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,103921000,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding): Other swine for breeding weighing 50kg or more",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,103929000,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding): Other live swine weighing 50kg or more",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,104101000,"Live sheep: Sheep: for breeding",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,104102000,"Live sheep: Sheep: for rearing",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,104109000,"Live sheep: Other: live sheep",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,104201000,"Live goats: Goats: for breeding",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,104202000,"Live goats: Goats: for rearing",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,104209000,"Live goats: Other live goats",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,105111000,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls): Fowls: for breeding weighing not more than 185g",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,105112000,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls): Fowls for rearing weighing not more than 185g",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,105121000,"Live domestic turkeys, weighing <= 185 g: Turkeys: for breeding weighing not more than 185g",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,105122000,"Live domestic turkeys, weighing <= 185 g: Turkeys: for rearing weighing not more than 185g",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,105191000,"Live domestic ducks, geese and guinea fowls, weighing <= 185 g: Other poultry for breeding weighing not more than 185g",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,105192000,"Live domestic ducks, geese and guinea fowls, weighing <= 185 g: Other: poultry for rearing weighing not more than 185g",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,105199000,"Live domestic ducks, geese and guinea fowls, weighing <= 185 g: Other: poultry weighing not more than 185g",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,105941000,"Live fowls of the species Gallus domesticus, weighing > 185: Cocks: for breeding weighing not more than 185g",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,105942000,"Live fowls of the species Gallus domesticus, weighing > 185: Cocks: for rearing weighing not more than 185g",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,105943000,"Live fowls of the species Gallus domesticus, weighing > 185: Hens: for breeding weighing not more than 185g",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,105944000,"Live fowls of the species Gallus domesticus, weighing > 185: Hens: for rearing weighing not more than 185g",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,105949000,"Live fowls of the species Gallus domesticus, weighing > 185: Other fowls of the species gallus domesticus",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,105991000,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g: Other: poultry for breeding weighing not more than 185g",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,105992000,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g: Other: poultry for rearing weighing not more than 185g",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,105999000,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g: Other live poultry that is to say fowls of species gallus domesticus etc",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,106111000,"Live primates: Monkeys",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,106119000,"Live primates: Other",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,106120000,"Live whales, dolphins and purpoises mammals of the order Cetacea"" and manatees and dugongs ""mammals of the order Sirenia""",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,106190000,"Live mammals (excl. primates, whales, dolphins and purpoises mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"" and horses, asses, mules, hinnies, bovines, pigs, sheep and goats)""",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,106201000,"Live reptiles e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"": Turtles",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,106209000,"Live reptiles e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"": Other reptiles (including snakes and turtles)",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,106310000,"Live birds of prey",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,106320000,"Live psittaciformes incl. parrots, parrakeets, macaws and cockatoos""",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,106391000,"Live birds (excl. birds of prey and psittaciformes incl. parrots, parrakeets, macaws and cockatoos"")"": Pigeons",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,106399000,"Live birds (excl. birds of prey and psittaciformes incl. parrots, parrakeets, macaws and cockatoos"")"": Other birds",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,106901000,"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.): Bees: for breeding",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,106903000,"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.): Dogs",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,106904000,"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.): Cats",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,106909010,"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.): Other animals considered as pets",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,106909090,"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.): Other animals not considered as pets",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,201100000,"Carcases or half-carcases of bovine animals, fresh or chilled",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,201201000,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases): Brisket with bone in, fresh or chilled",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,201209000,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases): Other: cuts with bone, fresh or chilled",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,201301000,"Fresh or chilled bovine meat, boneless: Boneless: tenderloin, fresh or chilled",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,201302000,"Fresh or chilled bovine meat, boneless: Boneless: sirloin, fresh or chilled",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,201303000,"Fresh or chilled bovine meat, boneless: Boneless: minced (ground) fresh or chilled",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,201309000,"Fresh or chilled bovine meat, boneless: Other boneless meat of bovine animals fresh or chilled",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,202100000,"Frozen bovine carcases and half-carcases",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,202201000,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases): Brisket with bone, frozen",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,202209000,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases): Other cuts with bone, frozen",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,202301000,"Frozen, boneless meat of bovine animals: Boneless: tenderloin, frozen",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,202302000,"Frozen, boneless meat of bovine animals: Boneless: sirloin, frozen",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,202303000,"Frozen, boneless meat of bovine animals: Boneless: minced (ground), frozen",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,202309000,"Frozen, boneless meat of bovine animals: Other boneless meat of bovine animals frozen",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,203110000,"Fresh or chilled carcases and half-carcases of swine",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,203120000,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,203190000,"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,203210000,"Frozen carcases and half-carcases of swine",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,203220000,"Frozen hams, shoulders and cuts thereof of swine, boneless",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,203290000,"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, boneless)",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,204100000,"Fresh or chilled lamb carcases and half-carcases",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,204210000,"Fresh or chilled sheep carcases and half-carcases (excl. lambs)",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,204220000,"Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,204230000,"Fresh or chilled boneless cuts of sheep",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,204300000,"Frozen lamb carcases and half-carcases",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,204410000,"Frozen sheep carcases and half-carcases (excl. lambs)",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,204420000,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,204430000,"Frozen boneless cuts of sheep",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,204500000,"Fresh, chilled or frozen meat of goats",,0,2,30,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,2.05e+08,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",,0,2,40,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,206100000,"Fresh or chilled edible offal of bovine animals",,0,2,5,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,206210000,"Frozen edible bovine tongues",,0,2,5,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,206220000,"Frozen edible bovine livers",,0,2,5,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,206290000,"Frozen edible bovine offal (excl. tongues and livers)",,0,2,5,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,206300000,"Fresh or chilled edible offal of swine",,0,2,5,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,206410000,"Frozen edible livers of swine",,0,2,5,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,206491000,"Edible offal of swine, frozen (excl. livers): Pig trotters, frozen",,0,2,5,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,206499000,"Edible offal of swine, frozen (excl. livers): Other edible offal of swine frozen",,0,2,5,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,206800000,"Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies",,0,2,5,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,206900000,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",,0,2,5,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,207110000,"Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,207120000,"Frozen fowls of the species Gallus domesticus, not cut in pieces",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,207130000,"Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus",,0,2,0,,"MFN duties (Applied)","A",,""
"028","Antigua and Barbuda","000"," World",2016,207141000,"Frozen cuts and edible offal of fowls of the species Gallus domesticus: Fowl backs and necks frozen",,0,2,0,,"MFN duties (Applied)","A",,""
