"Reporter","ReporterName","Partner","PartnerName","Year","TL","TrfLineDescription","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","DutyTypeDescription","Duty Nature","AvMethod","Note"
"032","Argentina","000"," World",2023,1012100,"--Reproductores de raza pura",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1012900,"--Los demás",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1013000,"-Asnos",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1019000,"-Los demas",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1022110,"Preñadas o con cría al pie",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1022190,"Los demás",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1022911,"Preñadas o con cría al pie",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1022919,"Los demás",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1022990,"Los demás",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1023110,"Preñadas o con cría al pie",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1023190,"Los demás",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1023911,"Preñadas o con cría al pie",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1023919,"Los demás",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1023990,"Los demás",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1029000,"-Los demás",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1031000,"-Reproductores de raza pura",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1039100,"--De peso inferior a 50 kg",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1039200,"--De peso superior o igual a 50 kg",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1041011,"Preñadas o con cría al pie",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1041019,"Los demás",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1041090,"Los demás",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1042010,"Reproductores de raza pura",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1042090,"Los demás",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1051110,"De líneas puras o híbridas, para reproducción",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1051190,"Los demás",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1051200,"--Pavos (gallipavos)",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1051300,"--Patos",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1051400,"--Gansos",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1051500,"--Pintadas",,0,2,2,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1059400,"--Aves de la especie Gallus domesticus",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1059900,"--Los demás",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1061100,"--Primates",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1061200,"--Ballenas, delfines y marsopas (mamíferos delorden Cetácea); manatíes y dugones o dugongos(mamíferos del orden Sirenia); otarios y focas,leones marinos y morsas (mamíferos del subordenPinnipedia)",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1061300,"--Camellos y demás camelidos (Camelidae)",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1061400,"--Conejos y liebres",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1061900,"--Los demás",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1062000,"-Reptiles (incluidas las serpientes y tortugas demar)",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1063100,"--Aves de rapiña",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1063200,"--Psitaciformes (incluidos los loros, guacamayos,cacatúas y demás papagayos)",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1063310,"Avestruces (Struthio camelus), parareproducción (R.359/99 MEOYSP)",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1063390,"Las demás",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1063900,"--Las demás",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1064100,"--Abejas",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1064900,"--Los demás",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,1069000,"-Los demás",,0,2,4,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2011000,"-En canales o medias canales",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2012010,"Cuartos delanteros",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2012020,"Cuartos traseros",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2012090,"Los demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2013000,"-Deshuesada",,0,2,12,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2021000,"-En canales o medias canales",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2022010,"Cuartos delanteros",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2022020,"Cuartos traseros",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2022090,"Los demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2023000,"-Deshuesada",,0,2,12,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2031100,"--En canales o medias canales",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2031200,"--Piernas, paletas, y sus trozos, sin deshuesar",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2031900,"--Las demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2032100,"--En canales o medias canales",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2032200,"--Piernas, paletas, y sus trozos, sin deshuesar",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2032900,"--Las demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2041000,"-Canales o medias canales de cordero, frescas orefrigeradas",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2042100,"--En canales o medias canales",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2042200,"--Los demás cortes (trozos) sin deshuesar",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2042300,"--Deshuesadas",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2043000,"-Canales o medias canales de cordero, congeladas",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2044100,"--En canales o medias canales",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2044200,"--Los demás cortes (trozos) sin deshuesar",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2044300,"--Deshuesadas",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2045000,"-Carne de animales de la especie caprina",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2050000,"CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNALO MULAR, FRESCA, REFRIGERADA O CONGELADA.",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2061000,"-De la especie bovina, frescos o refrigerados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2062100,"--Lenguas",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2062200,"--Hígados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2062910,"Colas (rabos)",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2062990,"Los demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2063000,"-De la especie porcina, frescos o refrigerados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2064100,"--Hígados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2064900,"--Los demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2068000,"-Los demás, frescos o refrigerados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2069000,"-Los demás, congelados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2071100,"--Sin trocear, frescos o refrigerados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2071200,"--Sin trocear, congelados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2071300,"--Trozos y despojos, frescos o refrigerados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2071400,"--Trozos y despojos, congelados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2072400,"--Sin trocear, frescos o refrigerados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2072500,"--Sin trocear, congelados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2072600,"--Trozos y despojos, frescos o refrigerados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2072700,"--Trozos y despojos, congelados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2074100,"--Sin trocear, frescos o refrigerados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2074200,"--Sin trocear, congelados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2074300,"--Hígados grasos, frescos o refrigerados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2074400,"--Los demás, frescos o refrigerados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2074500,"--Los demás, congelados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2075100,"--Sin trocear, frescos o refrigerados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2075200,"--Sin trocear, congelados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2075300,"--Hígados grasos, frescos o refrigerados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2075400,"--Los demás, frescos o refrigerados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2075500,"--Los demás, congelados",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2076000,"-De pintada",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2081000,"-De conejo o liebre",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2083000,"-De primates",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2084000,"-De ballenas, delfines y marsopas (mamíferos delorden Cetacea); de manatíes y dugones o dugongos(mamíferos del orden Sirenia); de otarios yfocas, leones marinos y morsas (mamíferos delsuborden Pinnipedia)",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2085000,"-De reptiles (incluidas las serpientes y tortugasde mar)",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2086000,"-De camello y demás camelidos (Camelidae)",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2089000,"-Los demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2091011,"Fresco, refrigerado o congelado",,0,2,6,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2091019,"Los demás",,0,2,6,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2091021,"Fresca, refrigerada o congelada",,0,2,6,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2091029,"Las demás",,0,2,6,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2099000,"-Los demás",,0,2,6,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2101100,"--Jamones, paletas, y sus trozos, sin deshuesar",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2101200,"--Tocino entreverado de panza (panceta) y sustrozos",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2101900,"--Las demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2102000,"-Carne de la especie bovina",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2109100,"--De primates",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2109200,"--De ballenas, delfines y marsopas (mamíferos delorden Cetacea); de manatíes y dugones o dugongos(mamíferos del orden Sirenia); de otarios yfocas, leones marinos y morsas (mamíferos delsuborden Pinnipedia)",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2109300,"--De reptiles (incluidas las serpientes y tortugasde mar)",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2109911,"De gallos y de gallinas",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2109919,"Los demas",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2109920,"Carne de la especie ovina",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2109930,"Carne de la especie caballar",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2109940,"Despojos comestibles",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,2109990,"Los demas",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3011110,"Arawanas (Osteoglossum bicirrhosum)",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3011190,"Los demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3011900,"--Los demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019110,"Para reproducción",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019190,"Las demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019210,"Para reproducción",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019290,"Las demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019310,"Para reproducción",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019390,"Las demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019410,"Para reproducción",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019490,"Los demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019510,"Para reproducción",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019590,"Los demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019911,"Tilapias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; sus híbridos)",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019912,"Esturiones (Acipenser baeri, Acipensergueldenstaedtii, Acipenser persicus, Acipenserstellatus)",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019919,"Los demás",,0,2,0,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019991,"Tilapias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; sus híbridos)",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019992,"Esturiones (Acipencer baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenserstellatus)",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3019999,"Los demás",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3021100,"--Truchas (Salmo trutta, Oncorhynchus mykiss,Oncorhynchus clarki, Oncorhynchus aguabonita,Oncorhynchus gilae, Oncorhynchus apache yOncorhynchus chrysogaster)",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3021300,"--Salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus)",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3021400,"--Salmones del Atlántico (Salmo salar) y salmonesdel Danubio (Hucho hucho)",,0,2,10,,"MFN applied duty rates","A","",""
"032","Argentina","000"," World",2023,3021900,"--Los demás",,0,2,10,,"MFN applied duty rates","A","",""
