"Reporter","ReporterName","Partner","PartnerName","Year","TL","TrfLineDescription","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","DutyTypeDescription","Duty Nature","AvMethod","Note"
"051","Armenia","000"," World",2018,101210000,"- - Pure-bred breeding animals",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,101291000,"- - - For slaughter",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,101299000,"- - - Other",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,101300000,"- Asses",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,101900000,"- Other",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102211000,"- - - Heifers (female bovines that have never calved)",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102213000,"- - - Cows",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102219000,"- - - Other",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102290500,"- - - Of the genus Bibos or of the sub-genus Poephagus",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102291000,"- - - - Of a weight not exceeding 80 kg",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102292100,"- - - - - For slaughter",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102292900,"- - - - - Other",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102294100,"- - - - - For slaughter",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102294900,"- - - - - Other",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102295100,"- - - - - - For slaughter",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102295900,"- - - - - - Other",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102296100,"- - - - - - For slaughter",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102296900,"- - - - - - Other",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102299100,"- - - - - - For slaughter",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102299900,"- - - - - - Other",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102310000,"- - Pure-bred breeding animals",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102391000,"- - - Domestic species",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102399000,"- - - Other",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102902000,"- - Pure-bred breeding animals",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102909100,"- - - Domestic species",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,102909900,"- - - Other",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,103100000,"- - Pure-bred breeding animals",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,103911000,"- - - Domestic species",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,103919000,"- - - Other",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,103921100,"- - - -  Sows having farrowed at least once, of a weight of not less than 160 kg",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,103921900,"- - - - Other",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,103929000,"- - - Other",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,104101000,"- - Pure-bred breeding animals",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,104103000,"- - - Lambs (up to a year old)",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,104108000,"- - - Other",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,104201000,"- - Pure-bred breeding animals",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,104209000,"- - Other",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,105111100,"- - - - Laying stocks",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,105111900,"- - - - Other",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,105119100,"- - - - Laying stocks",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,105119900,"- - - - Other",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,105120000,"- - Turkeys",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,105130000,"- - Ducks",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,105140000,"- - Geese",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,105150000,"- - Guinea fowls",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,105940000,"- - Fowls of the species Gallus domesticus",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,105991000,"- - - Ducks",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,105992000,"- - - Geese",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,105993000,"- - - Turkeys",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,105995000,"- - - Guinea fowls",,0,2,5,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,106110010,"- - - For scientific and research purposes",,0,2,0,"","MFN applied duty rates","A",,""
"051","Armenia","000"," World",2018,106110090,"- - - Other",,0,2,5,"","MFN applied duty rates","A",,""
