"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"044","Bahamas, The","000"," World",2002,1011100,,0,2,15,"","-- Pure-bred breeding animals","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1011900,,0,2,15,"","-- Other","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1012000,,0,2,15,"","- Asses, mules and hinnies","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1021010,,0,2,15,"","--- Bulls","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1021020,,0,2,15,"","--- Cows","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1029010,,0,2,15,"","--- For dairy purposes","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1029020,,0,2,15,"","--- Bulls for breeding","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1029030,,0,2,15,"","--- Cows for breeding","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1029090,,0,2,15,"","--- Other","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1031000,,0,2,10,"","- Pure-bred breeding animals","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1039100,,0,2,10,"","-- Weighing less than 50 kg (110 lb.)","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1039200,,0,2,10,"","-- Weighing 50 kg (110 lb.)or more","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1041000,,0,2,10,"","- Sheep","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1042000,,0,2,10,"","- Goats","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1051100,,0,2,15,"","-- Fowls of the species Gallus domesticus","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1051200,,0,2,25,"","-- Turkeys","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1051910,,0,2,15,"","--- Ducks","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1051920,,0,2,15,"","--- Geese","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1051930,,0,2,15,"","--- Guinea fowls","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1059200,,0,2,15,"","-- Fowls of the species Gallus domesticus, weighing not more than 2,000 g (4.41 lb.)","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1059300,,0,2,15,"","-- Fowls of the species Gallus domesticus, weighing more than 2,000 g (4.41 lb.)","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1059910,,0,2,15,"","--- Turkeys","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1059920,,0,2,15,"","--- Ducks","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1059930,,0,2,15,"","--- Geese","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1059940,,0,2,15,"","--- Guinea Fowls","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1060010,,0,2,30,"","--- Of a kind used mainly for human food","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1060020,,0,2,10,"","--- Dogs","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1060030,,0,2,10,"","--- Cats","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,1060090,,0,2,30,"","--- Other","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2011000,,0,2,0,"","- Carcasses and half-carcasses","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2012000,,0,2,0,"","- Other cuts with bone in","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2013000,,0,2,0,"","- Boneless","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2021000,,0,2,0,"","- Carcasses and half-carcasses","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2022000,,0,2,0,"","- Other cuts with bone in","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2023000,,0,2,0,"","- Boneless","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2031100,,0,2,0,"","-- Carcasses and half-carcasses","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2031200,,0,2,0,"","-- Hams, shoulders and cuts thereof, with bone in","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2031900,,0,2,0,"","-- Other","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2032100,,0,2,0,"","-- Carcasses and half-carcasses","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2032200,,0,2,0,"","-- Hams, shoulders and cuts thereof, with bone in","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2032900,,0,2,0,"","-- Other","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2041000,,0,2,0,"","- Carcasses and half-carcasses of lamb, fresh or chilled","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2042100,,0,2,0,"","-- Carcasses and half-carcasses","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2042200,,0,2,0,"","-- Other cuts with bone in","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2042300,,0,2,0,"","-- Boneless","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2043000,,0,2,0,"","- Carcasses and half-carcasses of lamb, frozen","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2044100,,0,2,0,"","-- Carcasses and half-carcasses","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2044200,,0,2,0,"","-- Other cuts with bone in","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2044300,,0,2,0,"","-- Boneless","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2045010,,0,2,0,"","--- Carcasses and half-carcasses","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2045090,,0,2,0,"","--- Other cuts","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2050000,,0,2,0,"","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2061000,,0,2,0,"","- Of bovine animals, fresh or chilled","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2062100,,0,2,0,"","-- Tongues","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2062200,,0,2,0,"","-- Livers","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2062900,,0,2,0,"","-- Other","MFN Applied Duty","A",,""
"044","Bahamas, The","000"," World",2002,2063000,,0,2,0,"","- Of swine, fresh or chilled","MFN Applied Duty","A",,""
