"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"048","Bahrain","000"," World",2023,1012110,,0,2,0,"","- - - Of Arab breed","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1012190,,0,2,0,"","- - - Other","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1012910,,0,2,0,"","- - - Horses for sport","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1012920,,0,2,0,"","- - - ponies","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1012990,,0,2,0,"","- - - Other","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1013000,,0,2,0,"","- Asses","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1019000,,0,2,0,"","- Other","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1022100,,0,2,0,"","- - Pure-bred breeding animals","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1022900,,0,2,0,"","- - Other","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1023100,,0,2,0,"","- - Pure-bred breeding animals","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1023900,,0,2,0,"","- - Other","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1029000,,0,2,0,"","- Other","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1031000,,0,2,,"","- Pure-bred breeding animals","MFN duties (Applied)","P",,""
"048","Bahrain","000"," World",2023,1039100,,0,2,,"","- - Weighing less than 50 kg","MFN duties (Applied)","P",,""
"048","Bahrain","000"," World",2023,1039200,,0,2,,"","- - Weighing 50 kg or more","MFN duties (Applied)","P",,""
"048","Bahrain","000"," World",2023,1041010,,0,2,0,"","- - - Pure- bred breeding","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1041090,,0,2,0,"","- - - Other","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1042010,,0,2,0,"","- - - Pure- bred breeding","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1042090,,0,2,0,"","- - - Other","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1051100,,0,2,0,"","- - Fowls of the species Gallus domesticus","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1051200,,0,2,0,"","- - Turkeys","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1051300,,0,2,0,"","- - Ducks","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1051400,,0,2,0,"","-- Geese","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1051500,,0,2,0,"","-- Guinea fowls","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1059410,,0,2,0,"","- - - Layers","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1059420,,0,2,0,"","- - - Broilers","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1059430,,0,2,0,"","- - - As mothers","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1059490,,0,2,0,"","- - - Other","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1059910,,0,2,0,"","- - - Tame ducks and geesse","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1059920,,0,2,0,"","- - - Turkeys","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1059990,,0,2,0,"","- - - Other","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1061100,,0,2,0,"","- - Primates","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1061200,,0,2,0,"","- - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia) ; seals, sealions and walruses (mammals of the suborder Pinnipedia)”.","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1061310,,0,2,0,"","- - - Pure-bred breeding","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1061320,,0,2,0,"","- - - For domestic competitions and racing","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1061390,,0,2,0,"","- - - Other","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1061400,,0,2,0,"","- -Rabbits and hares","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1061930,,0,2,0,"","- - - Gazelles and deer","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1061940,,0,2,0,"","- - - Dogs","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1061950,,0,2,0,"","- - - Foxes, minks and other fur animals","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1061960,,0,2,0,"","- - - Animals for zoos, fairs, and imported animals for scientific experiment and research labs","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1061990,,0,2,0,"","- - - Other","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1062000,,0,2,0,"","- Reptiles (including snakes and turtles)","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1063100,,0,2,0,"","- - Birds of prey","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1063200,,0,2,0,"","- - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1063300,,0,2,0,"","-- Ostriches; emus (Dromaius novaehollandiae)","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1063910,,0,2,0,"","- - - Tame and wild pigeons, partridges, pheasants, quail, snipe, sand grouse, wild ducks","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1063920,,0,2,0,"","- - - Ornamental birds","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1063990,,0,2,0,"","- - - Other","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1064100,,0,2,0,"","- - Bees","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1064900,,0,2,0,"","- - Other","MFN duties (Applied)","A",,""
"048","Bahrain","000"," World",2023,1069000,,0,2,0,"","- Other","MFN duties (Applied)","A",,""
