"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"050","Bangladesh","000"," World",2018,1012100,,0,2,5,"","Pure-Bred Breeding Animals Of Horses..","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1012900,,0,2,5,"","Other Horses","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1013000,,0,2,5,"","Asses","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1019000,,0,2,5,"","Live Horses,Asses,Mules And Hinnies,Nes","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1022100,,0,2,0,"","Pure-Bred Breeding Animals Of Cattle","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1022900,,0,2,0,"","Other Cattle","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1023100,,0,2,0,"","Pure-Bred Breeding Animals Of Buffalo","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1023900,,0,2,0,"","Other Buffalo","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1029010,,0,2,0,"","Other Pure-Bred Breeding Animals","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1029090,,0,2,0,"","Other Live Bovine Animal","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1031000,,0,2,5,"","Live Pure-Bred Breeding Swine","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1039100,,0,2,5,"","Live Swine Weighing <50Kg (Excl. Pure-Bred Breeding)","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1039200,,0,2,5,"","Live Swine Weighing >=50Kg (Excl. Pure-Bred Breeding)","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1041000,,0,2,5,"","Live Sheep","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1042000,,0,2,5,"","Live Goats","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1051110,,0,2,0,"","Fowls Of The Species Gallus Domestic(Parent Stock One Day Chick)","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1051190,,0,2,25,"","Live Fowls Gallus,Domesticus<=185G, Excl.Parent Stock Of One Day Chick","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1051210,,0,2,0,"","Live Turkeys Weighing <=185G, (Parent Stock Of One Day Chick)","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1051290,,0,2,25,"","Live Turkeys Weighing <=185G, (Excl.Parent Stock Of One Day Chick)","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1051310,,0,2,0,"","Parent Stock Of One Day Chick Of Ducks","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1051390,,0,2,25,"","Other Ducks","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1051410,,0,2,0,"","Parent Stock Of One Day Chick Of Geese","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1051490,,0,2,25,"","Other Geese","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1051510,,0,2,0,"","Parent Stock Of One Day Chick Of Guinea Fowls","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1051590,,0,2,25,"","Other Fowls","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1059400,,0,2,25,"","Fowls Of The Species Gallus Domesticus","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1059900,,0,2,25,"","Live Ducks, Geese, Turkeys And Guinea Fowls Weighing >185G","MFN duties (Applied)","A",,
"050","Bangladesh","000"," World",2018,1061100,,0,2,5,"","Mammals, Primates","MFN duties (Applied)","A",,
