"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"052","Barbados","000"," World",2022,1012100000,,0,2,0,,"Purebred breeding animals","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1012910000,,0,2,45,,"Race horses, not for breeding","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1012990000,,0,2,40,,"Other","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1013010000,,0,2,0,,"Purebred breeding animals","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1013090000,,0,2,40,,"Other","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1019000100,,0,2,45,,"Mule","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1019000900,,0,2,40,,"Other","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1022110000,,0,2,0,,"Bulls","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1022120000,,0,2,0,,"Cows","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1022910000,,0,2,0,,"Bulls, for breeding","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1022920000,,0,2,0,,"Bulls, for rearing, weighing not more than 270 kg","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1022930000,,0,2,40,,"Other bulls","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1022940000,,0,2,0,,"Cows, for breeding","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1022950000,,0,2,0,,"Cows, for rearing, weighing not more than 270 kg","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1022960000,,0,2,40,,"Other Cows","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1023100000,,0,2,0,,"Purebred breeding animals","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1023900000,,0,2,40,,"Other","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1.029e+09,,0,2,40,,"Other","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1.031e+09,,0,2,0,,"Pure bred breeding animals","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1039110000,,0,2,0,,"For breeding","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1039190000,,0,2,40,,"Other","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1039210000,,0,2,0,,"For breeding","MFN applied duty rates","A",,""
"052","Barbados","000"," World",2022,1039290000,,0,2,40,,"Other","MFN applied duty rates","A",,""
