"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"112","Belarus","000"," World",2001,10111000,,0,2,0,"","– – pure-bred (pure-blooded) breeding animals","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10119100,,0,2,5,"","– – – for slaughter","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10119900,,0,2,5,"","– – – other","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10120100,,0,2,5,"","– – asses","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10120900,,0,2,5,"","– – mules and hinnies","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10210100,,0,2,0,"","– – – heifers (female bovines that have never calved)","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10210300,,0,2,0,"","– –  cows","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10210900,,0,2,0,"","– – other","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10290050,,0,2,5,"","– – – weighing not more than  80 kg","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10290210,,0,2,5,"","– – – – for slaughter","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10290290,,0,2,5,"","– – – – other","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10290410,,0,2,5,"","– – – – for slaughter","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10290490,,0,2,5,"","– – – – other","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10290510,,0,2,5,"","– – – – – for slaughter","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10290590,,0,2,5,"","– – – – – other","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10290610,,0,2,5,"","– – – – – for slaughter","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10290690,,0,2,5,"","– – – – – other","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10290710,,0,2,5,"","– – – – – for slaughter","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10290790,,0,2,5,"","– – – – – other","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10290900,,0,2,5,"","– – other","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10310000,,0,2,0,"","– pure-bred breeding animals","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10391100,,0,2,5,"","– – – domestic species","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10391900,,0,2,5,"","– – – other","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10392110,,0,2,5,"","– – – – sows, having farrowed at least once,  weighing no less than 160kg","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10392190,,0,2,5,"","– – – – other","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10392900,,0,2,5,"","– – – other","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10410100,,0,2,0,"","– – pure-bred breeding animals","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10410300,,0,2,5,"","– – – lambs (no older than one year)","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10410800,,0,2,5,"","– – other","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10420100,,0,2,0,"","– – pure-bred breeding animals","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10420900,,0,2,5,"","– – other","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10511110,,0,2,5,"","– – – – layer-type","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10511190,,0,2,5,"","– – – – other","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10511910,,0,2,5,"","– – – – layer-type","MFN applied duty","A","",
"112","Belarus","000"," World",2001,10511990,,0,2,5,"","– – – – other:","MFN applied duty","A","",
