"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"084","Belize","000"," World",2023,101210000,,0,2,0,"","--Pure-bred breeding animals","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,101291000,,0,2,45,"","---Race horses, not for breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,101299000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,101301000,,0,2,0,"","---Pure-bred breeding animals","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,101309000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,101900000,,0,2,40,"","-Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,102211000,,0,2,0,"","---Bulls","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,102212000,,0,2,0,"","---Cows","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,102291000,,0,2,0,"","---Bulls, for breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,102292000,,0,2,0,"","---Bulls, for rearing, weighing not more than 270 kg","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,102293000,,0,2,40,"","---Other bulls","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,102294000,,0,2,0,"","---Cows, for breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,102295000,,0,2,0,"","---Cows, for rearing, weighing not more than 270 kg","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,102296000,,0,2,40,"","---Other cows","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,102310000,,0,2,0,"","--Pure-bred breeding animals","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,102390000,,0,2,40,"","--Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,102900000,,0,2,40,"","-Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,103100000,,0,2,0,"","-Pure-bred breeding animals","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,103911000,,0,2,0,"","---For breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,103919000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,103921000,,0,2,0,"","---For breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,103929000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,104101000,,0,2,0,"","---For breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,104102000,,0,2,40,"","---For rearing","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,104109000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,104201000,,0,2,0,"","---For breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,104202000,,0,2,40,"","---For rearing","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,104209000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105111000,,0,2,0,"","---For breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105112000,,0,2,40,"","---For rearing","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105119000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105121000,,0,2,0,"","---For breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105122000,,0,2,40,"","---For rearing","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105129000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105131000,,0,2,0,"","---For breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105132000,,0,2,40,"","---For rearing","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105139000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105141000,,0,2,0,"","---For breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105142000,,0,2,40,"","---For rearing","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105149000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105151000,,0,2,0,"","---For breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105152000,,0,2,40,"","---For rearing","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105159000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105941000,,0,2,0,"","---Cocks for breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105942000,,0,2,40,"","---Cocks for rearing","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105943000,,0,2,0,"","---Hens for breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105944000,,0,2,40,"","---Hens for rearing","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105949000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105991000,,0,2,0,"","---For breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105992000,,0,2,40,"","---For rearing","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,105999000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106111000,,0,2,40,"","---Monkeys","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106119000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106120000,,0,2,40,"","--Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (m","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106130000,,0,2,40,"","--Camels and other camelids (camelidae)","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106140000,,0,2,40,"","--Rabbits and hares","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106191000,,0,2,40,"","---Dogs","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106192000,,0,2,40,"","---Cats","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106199000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106201000,,0,2,40,"","---Turtles","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106209000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106310000,,0,2,40,"","--Birds of prey","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106320000,,0,2,40,"","--Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106330000,,0,2,40,"","--Ostriches; emus (Dromaius novaehollandiae)","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106391000,,0,2,40,"","---Pigeons","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106399000,,0,2,40,"","---Other birds","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106411000,,0,2,0,"","---Bees for breeding","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106419000,,0,2,40,"","---Other bees","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106490000,,0,2,40,"","--Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,106900000,,0,2,40,"","-Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,201100000,,0,2,40,"","-Carcasses and half-carcasses","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,201201000,,0,2,40,"","---Brisket","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,201209000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,201301000,,0,2,40,"","---Tenderloin","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,201302000,,0,2,40,"","---Sirloin","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,201303000,,0,2,40,"","---Minced (Ground)","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,201309000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,202100000,,0,2,40,"","-Carcasses and half-carcasses","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,202201000,,0,2,40,"","---Brisket","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,202209000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,202301000,,0,2,40,"","---Tenderloin","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,202302000,,0,2,40,"","---Sirloin","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,202303000,,0,2,40,"","---Minced (ground)","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,202309000,,0,2,40,"","---Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,203110000,,0,2,40,"","--Carcasses and half-carcasses","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,203120000,,0,2,40,"","--Hams, shoulders and cuts thereof with bone in","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,203190000,,0,2,40,"","--Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,203210000,,0,2,40,"","--Carcasses and half-carcasses","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,203220000,,0,2,40,"","--Hams, shoulders and cuts thereof with bone in","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,203290000,,0,2,40,"","--Other","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,204100000,,0,2,40,"","-Carcasses and half-carcasses of lamb, fresh or chilled","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,204210000,,0,2,40,"","--Carcasses and half-carcasses","MFN applied duty rates","A",,""
"084","Belize","000"," World",2023,204220000,,0,2,40,"","--Other cuts with bone in","MFN applied duty rates","A",,""
