"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"064","Bhutan","000"," World",2012,1012100,,0,2,30,"","-- Pure-bred breeding animals","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1012900,,0,2,30,"","-- Other","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1013000,,0,2,30,"","- Asses","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1019000,,0,2,30,"","- Other","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1022100,,0,2,30,"","-- Pure-bred breeding animals","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1022900,,0,2,30,"","-- Other","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1023100,,0,2,30,"","-- Pure-bred breeding animals","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1023900,,0,2,30,"","-- Other","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1029000,,0,2,30,"","- Other","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1031000,,0,2,30,"","- Pure-bred breeding animals","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1039100,,0,2,30,"","-- Weighing less than 50 kg","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1039200,,0,2,30,"","-- Weighing 50 kg or more","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1041000,,0,2,30,"","- Sheep","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1042000,,0,2,30,"","- Goats","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1051100,,0,2,30,"","-- Fowls of the species Gallus domesticus","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1051200,,0,2,30,"","-- Turkeys","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1051300,,0,2,30,"","-- Ducks","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1051400,,0,2,30,"","-- Geese","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1051500,,0,2,30,"","-- Guinea fowls","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1059400,,0,2,30,"","-- Fowls of the species Gallus domesticus","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1059900,,0,2,30,"","-- Other","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1061100,,0,2,30,"","-- Primates","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1061200,,0,2,30,"","-- Whales, dolphins and porpoises (mammals of the order cetacea); manatees and dugongs (mammals of the order sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1061300,,0,2,30,"","-- Camels and other camelids (Camelidae)","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1061400,,0,2,30,"","-- Rabbits and hares","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1061900,,0,2,30,"","-- Other","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1062000,,0,2,30,"","- Reptiles (including snakes and turtles)","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1063100,,0,2,30,"","-- Birds of prey","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1063200,,0,2,30,"","-- Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1063300,,0,2,30,"","-- Ostriches; emus (Dromaius novaehollandiae)","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1063900,,0,2,30,"","-- Other","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1064100,,0,2,30,"","-- Bees","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1064900,,0,2,30,"","-- Other","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,1069000,,0,2,30,"","- Other","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2011000,,0,2,30,"","- Carcasses and half-carcasses","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2012000,,0,2,30,"","- Other cuts with bone in","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2013000,,0,2,30,"","- Boneless","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2021000,,0,2,30,"","- Carcasses and half-carcasses","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2022000,,0,2,30,"","- Other cuts with bone in","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2023000,,0,2,30,"","- Boneless","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2031100,,0,2,30,"","-- Carcasses and half-carcasses","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2031200,,0,2,30,"","-- Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2031900,,0,2,30,"","-- Other","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2032100,,0,2,30,"","-- Carcasses and half-carcasses","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2032200,,0,2,30,"","-- Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2032900,,0,2,30,"","-- Other","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2041000,,0,2,30,"","- Carcasses and half-carcasses of lamb, fresh or chilled","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2042100,,0,2,30,"","-- Carcasses and half-carcasses","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2042200,,0,2,30,"","-- Other cuts with bone in","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2042300,,0,2,30,"","-- Boneless","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2043000,,0,2,30,"","- Carcasses and half-carcasses of lamb, frozen","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2044100,,0,2,30,"","-- Carcasses and half-carcasses","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2044200,,0,2,30,"","-- Other cuts with bone in","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2044300,,0,2,30,"","-- Boneless","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2045000,,0,2,30,"","- Meat of goats","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2050000,,0,2,30,"","- Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2061000,,0,2,30,"","- Of bovine animals, fresh or chilled","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2062100,,0,2,30,"","-- Tongues","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2062200,,0,2,30,"","-- Livers","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2062900,,0,2,30,"","-- Other","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2063000,,0,2,30,"","- Of swine, fresh or chilled","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2064100,,0,2,30,"","-- Livers","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2064900,,0,2,30,"","-- Other","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2068000,,0,2,30,"","- Other, fresh or chilled","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2069000,,0,2,30,"","- Other, frozen","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2071100,,0,2,30,"","-- Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2071200,,0,2,30,"","-- Not cut in pieces, frozen","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2071300,,0,2,30,"","-- Cuts and offal, fresh or chilled","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2071400,,0,2,30,"","-- Cuts and offal, frozen","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2072400,,0,2,30,"","-- Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2072500,,0,2,30,"","-- Not cut in pieces, frozen","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2072600,,0,2,30,"","-- Cuts and offal, fresh or chilled","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2072700,,0,2,30,"","-- Cuts and offal, frozen","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2074100,,0,2,30,"","-- Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2074200,,0,2,30,"","-- Not cut in pieces, frozen","MFN applied duty rates","A",,
"064","Bhutan","000"," World",2012,2074300,,0,2,30,"","-- Fatty livers, fresh or chilled","MFN applied duty rates","A",,
