"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"076","Brazil","000"," World",2023,1012100,,0,2,0,,"Reproductores de raza pura","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1012900,,0,2,0,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1013000,,0,2,3.2,,"Asnos","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1019000,,0,2,3.2,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1022110,,0,2,0,,"Preñadas o con cría al pie","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1022190,,0,2,0,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1022911,,0,2,0,,"Preñadas o con cría al pie","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1022919,,0,2,0,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1022990,,0,2,0,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1023110,,0,2,0,,"Preñadas o con cría al pie","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1023190,,0,2,0,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1023911,,0,2,0,,"Preñadas o con cría al pie","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1023919,,0,2,0,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1023990,,0,2,0,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1029000,,0,2,0,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1031000,,0,2,0,,"Reproductores de raza pura","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1039100,,0,2,0,,"De peso inferior a 50 kg","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1039200,,0,2,0,,"De peso superior o igual a 50 kg","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1041011,,0,2,0,,"Preñadas o con cría al pie","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1041019,,0,2,0,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1041090,,0,2,0,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1042010,,0,2,0,,"Reproductores de raza pura","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1042090,,0,2,0,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1051110,,0,2,0,,"De líneas puras o híbridas, para reproducción","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1051190,,0,2,0,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1051200,,0,2,0,,"Pavos (gallipavos)","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1051300,,0,2,0,,"Patos","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1051400,,0,2,0,,"Gansos","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1051500,,0,2,0,,"Pintadas","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1059400,,0,2,3.2,,"Aves de la especie Gallus domesticus","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1059900,,0,2,3.2,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1061100,,0,2,3.2,,"Primates","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1061200,,0,2,3.2,,"Ballenas, delfines y marsopas (mamíferos del orden Cetacea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1061300,,0,2,3.2,,"Camellos y demás camélidos (Camelidae)","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1061400,,0,2,3.2,,"Conejos y liebres","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1061900,,0,2,3.2,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1062000,,0,2,3.2,,"Reptiles (incluidas las serpientes y tortugas de mar)","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1063100,,0,2,3.2,,"Aves de rapiña","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1063200,,0,2,3.2,,"Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos)","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1063310,,0,2,0,,"Avestruces (Struthio camelus), para reproducción","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1063390,,0,2,3.2,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1063900,,0,2,3.2,,"Las demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1064100,,0,2,3.2,,"Abejas","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1064900,,0,2,3.2,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,1069000,,0,2,3.2,,"Las demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2011000,,0,2,8,,"En canales o medias canales","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2012010,,0,2,8,,"Cuartos delanteros","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2012020,,0,2,8,,"Cuartos traseros","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2012090,,0,2,8,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2013000,,0,2,9.6,,"Deshuesada","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2021000,,0,2,8,,"En canales o medias canales","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2022010,,0,2,8,,"Cuartos delanteros","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2022020,,0,2,8,,"Cuartos traseros","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2022090,,0,2,8,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2023000,,0,2,9.6,,"Deshuesada","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2031100,,0,2,8,,"En canales o medias canales","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2031200,,0,2,8,,"Piernas, paletas, y sus trozos, sin deshuesar","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2031900,,0,2,8,,"Las demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2032100,,0,2,8,,"En canales o medias canales","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2032200,,0,2,8,,"Piernas, paletas, y sus trozos, sin deshuesar","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2032900,,0,2,8,,"Las demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2041000,,0,2,8,,"Canales o medias canales de cordero, frescas o refrigeradas","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2042100,,0,2,8,,"En canales o medias canales","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2042200,,0,2,8,,"Los demás cortes (trozos) sin deshuesar","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2042300,,0,2,8,,"Deshuesadas","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2043000,,0,2,8,,"Canales o medias canales de cordero, congeladas","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2044100,,0,2,8,,"En canales o medias canales","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2044200,,0,2,8,,"Los demás cortes (trozos) sin deshuesar","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2044300,,0,2,8,,"Deshuesadas","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2045000,,0,2,8,,"Carne de animales de la especie caprina","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2050000,,0,2,8,,"Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada.","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2061000,,0,2,8,,"De la especie bovina, frescos o refrigerados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2062100,,0,2,8,,"Lenguas","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2062200,,0,2,8,,"Hígados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2062910,,0,2,8,,"Colas (rabos)","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2062990,,0,2,8,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2063000,,0,2,8,,"De la especie porcina, frescos o refrigerados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2064100,,0,2,8,,"Hígados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2064900,,0,2,8,,"Los demás","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2068000,,0,2,8,,"Los demás, frescos o refrigerados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2069000,,0,2,8,,"Los demás, congelados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2071100,,0,2,8,,"Sin trocear, frescos o refrigerados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2071210,,0,2,8,,"Con despojos","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2071220,,0,2,8,,"Sin despojos","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2071300,,0,2,8,,"Trozos y despojos, frescos o refrigerados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2071400,,0,2,8,,"Trozos y despojos, congelados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2072400,,0,2,8,,"Sin trocear, frescos o refrigerados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2072500,,0,2,8,,"Sin trocear, congelados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2072600,,0,2,8,,"Trozos y despojos, frescos o refrigerados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2072700,,0,2,8,,"Trozos y despojos, congelados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2074100,,0,2,8,,"Sin trocear, frescos o refrigerados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2074200,,0,2,8,,"Sin trocear, congelados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2074300,,0,2,8,,"Hígados grasos, frescos o refrigerados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2074400,,0,2,8,,"Los demás, frescos o refrigerados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2074500,,0,2,8,,"Los demás, congelados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2075100,,0,2,8,,"Sin trocear, frescos o refrigerados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2075200,,0,2,8,,"Sin trocear, congelados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2075300,,0,2,8,,"Hígados grasos, frescos o refrigerados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2075400,,0,2,8,,"Los demás, frescos o refrigerados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2075500,,0,2,8,,"Los demás, congelados","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2076000,,0,2,8,,"De pintada","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2081000,,0,2,8,,"De conejo o liebre","MFN applied duty rates","A",,
"076","Brazil","000"," World",2023,2083000,,0,2,8,,"De primates","MFN applied duty rates","A",,
