"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"096","Brunei","000"," World",2021,101210000,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,101290000,,0,2,0,"","- - Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,101301000,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,101309000,,0,2,0,"","- - Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,101900000,,0,2,0,"","- Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,102210000,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,102291100,,0,2,0,"","- - - - Oxen","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,102291900,,0,2,0,"","- - - - Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,102299000,,0,2,0,"","- - - Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,102310000,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,102390000,,0,2,0,"","- - Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,102901000,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,102909000,,0,2,0,"","- - Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,103100000,,0,2,0,"","- Pure-bred breeding animals","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,103910000,,0,2,0,"","- - Weighing less than 50 kg","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,103920000,,0,2,0,"","- - Weighing 50 kg or more","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,104101000,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,104109000,,0,2,0,"","- - Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,104201000,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,104209000,,0,2,0,"","- - Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105111000,,0,2,0,"","- - - Breeding fowls","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105119000,,0,2,0,"","- - - Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105121000,,0,2,0,"","- - - Breeding turkeys","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105129000,,0,2,0,"","- - - Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105131000,,0,2,0,"","- - - Breeding ducklings","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105139000,,0,2,0,"","- - - Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105141000,,0,2,0,"","- - - Breeding goslings","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105149000,,0,2,0,"","- - - Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105151000,,0,2,0,"","- - - Breeding guinea fowls","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105159000,,0,2,0,"","- - - Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105941000,,0,2,0,"","- - - Breeding fowls, other than fighting cocks","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105944100,,0,2,0,"","- - - - Weighing not more than 2 kg","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105944900,,0,2,0,"","- - - - Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105949100,,0,2,0,"","- - - - Weighing not more than 2 kg","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105949900,,0,2,0,"","- - - - Other","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105991000,,0,2,0,"","- - - Breeding ducks","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105992000,,0,2,0,"","- - - Other ducks","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105993000,,0,2,0,"","- - - Breeding geese, turkeys and guinea fowls","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,105994000,,0,2,0,"","- - - Other geese, turkeys and guinea fowls","MFN applied duty rates","A",,
"096","Brunei","000"," World",2021,106110000,,0,2,0,"","- - Primates","MFN applied duty rates","A",,
