"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"100","Bulgaria","000"," World",2006,10110100,,0,2,0,"","- - Horses","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10110900,,0,2,10,"","- - Other","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10190110,,0,2,10,"","- - - For slaughter","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10190190,,0,2,11.5,"","- - - Other","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10190300,,0,2,10,"","- - Asses","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10190900,,0,2,10.9,"","- - Mules and hinnies","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10210100,,0,2,0,"","- - Heifers (female bovines that have never calved)","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10210300,,0,2,0,"","- - Cows","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10210900,,0,2,0,"","- - Other","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10290050,,0,2,,"5 + 140 eur/t","- - - Of a weight not exceeding 80 kg","MFN applied duty","C",,""
"100","Bulgaria","000"," World",2006,10290210,,0,2,,"5 + 140 eur/t","- - - - For slaughter","MFN applied duty","C",,""
"100","Bulgaria","000"," World",2006,10290290,,0,2,,"5 + 140 eur/t","- - - - Other","MFN applied duty","C",,""
"100","Bulgaria","000"," World",2006,10290410,,0,2,,"5 + 140 eur/t","- - - - For slaughter","MFN applied duty","C",,""
"100","Bulgaria","000"," World",2006,10290490,,0,2,,"5 + 140 eur/t","- - - - Other","MFN applied duty","C",,""
"100","Bulgaria","000"," World",2006,10290510,,0,2,,"5 + 140 eur/t","- - - - - For slaughter","MFN applied duty","C",,""
"100","Bulgaria","000"," World",2006,10290590,,0,2,,"5 + 140 eur/t","- - - - - Other","MFN applied duty","C",,""
"100","Bulgaria","000"," World",2006,10290610,,0,2,,"5 + 140 eur/t","- - - - - For slaughter","MFN applied duty","C",,""
"100","Bulgaria","000"," World",2006,10290690,,0,2,,"5 + 140 eur/t","- - - - - Other","MFN applied duty","C",,""
"100","Bulgaria","000"," World",2006,10290710,,0,2,,"5 + 140 eur/t","- - - - - For slaughter","MFN applied duty","C",,""
"100","Bulgaria","000"," World",2006,10290790,,0,2,,"5 + 140 eur/t","- - - - - Other","MFN applied duty","C",,""
"100","Bulgaria","000"," World",2006,10290900,,0,2,,"5 + 140 eur/t","- - Other","MFN applied duty","C",,""
"100","Bulgaria","000"," World",2006,10310000,,0,2,0,"","- Pure-bred breeding animals","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10391100,,0,2,,"241 eur/t","- - - Domestic species","MFN applied duty","S",,""
"100","Bulgaria","000"," World",2006,10391900,,0,2,,"241 eur/t","- - - Other","MFN applied duty","S",,""
"100","Bulgaria","000"," World",2006,10392110,,0,2,,"241 eur/t",""" - - - - Sows having farrowed at least once, of a weight of not less than 160 kg""","MFN applied duty","S",,""
"100","Bulgaria","000"," World",2006,10392190,,0,2,,"241 eur/t","- - - - Other","MFN applied duty","S",,""
"100","Bulgaria","000"," World",2006,10392900,,0,2,,"241 eur/t","- - - Other","MFN applied duty","S",,""
"100","Bulgaria","000"," World",2006,10410100,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10410300,,0,2,,"278 eur/t","- - - Other: Lambs (up to a year old)","MFN applied duty","S",,""
"100","Bulgaria","000"," World",2006,10410800,,0,2,,"278 eur/t","- - - Other","MFN applied duty","S",,""
"100","Bulgaria","000"," World",2006,10420100,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10420900,,0,2,,"278 eur/t","- - Other","MFN applied duty","S",,""
"100","Bulgaria","000"," World",2006,10511110,,0,2,0,"","- - - - Laying stocks","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10511190,,0,2,0,"","- - - - Other","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10511911,,0,2,0,"","- - - - - Grandparent and parent  male chicks","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10511919,,0,2,0,"","- - - - - Other","MFN applied duty","A",,"Current bound duty higher than applied duty. Current bound duty has been replaced by applied duty"
"100","Bulgaria","000"," World",2006,10511991,,0,2,0,"","- - - - - Grandparent and parent  male chicks","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10511999,,0,2,10,"","- - - - - Other","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10512001,,0,2,0,"","- - - Grandparents and parents","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10512009,,0,2,10,"","- - - Other","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10519201,,0,2,0,"","- - - - Grandparents and parents","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10519209,,0,2,10,"","- - - - Other","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10519901,,0,2,0,"","- - - - Grandparents and parents","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10519909,,0,2,10,"","- - - - Other","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10592001,,0,2,0,"","- - - Grandparents and parents","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10592009,,0,2,50,"","- - - Other","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10593001,,0,2,0,"","- - - Grandparents and parents","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10593009,,0,2,50,"","- - - Other","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10599101,,0,2,0,"","- - - - Grandparents and parents","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10599109,,0,2,10,"","- - - - Other","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10599201,,0,2,0,"","- - - - Grandparents and parents","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10599209,,0,2,10,"","- - - - Other","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10599301,,0,2,0,"","- - - - Grandparents and parents","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10599309,,0,2,10,"","- - - - Other","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10599501,,0,2,0,"","- - - - Grandparents and parents","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10599509,,0,2,10,"","- - - - Other","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10611000,,0,2,0,"","- - Primates","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10612000,,0,2,0,"",""" - - Whales, dolphins and purpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)""","MFN applied duty","A",,""
"100","Bulgaria","000"," World",2006,10619100,,0,2,10,"","- - - Domestic rabbits","MFN applied duty","A",,""
