"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"116","Cambodia","000"," World",2023,1012100,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1012900,,0,2,7,"","- - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1013010,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1013090,,0,2,7,"","- - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1019000,,0,2,7,"","- Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1022100,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1022911,,0,2,7,"","- - - - Oxen","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1022919,,0,2,7,"","- - - - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1022990,,0,2,7,"","- - - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1023100,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1023900,,0,2,7,"","- - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1029010,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1029090,,0,2,7,"","- - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1031000,,0,2,0,"","- Pure-bred breeding animals","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1039100,,0,2,7,"","- - Weighing less than 50 kg","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1039200,,0,2,7,"","- - Weighing 50 kg or more","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1041010,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1041090,,0,2,7,"","- - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1042010,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1042090,,0,2,7,"","- - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1051110,,0,2,0,"","- - - Breeding fowls","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1051190,,0,2,7,"","- - - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1051210,,0,2,0,"","- - - Breeding turkeys","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1051290,,0,2,7,"","- - - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1051310,,0,2,0,"","- - - Breeding ducklings","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1051390,,0,2,7,"","- - - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1051410,,0,2,0,"","- - - Breeding goslings","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1051490,,0,2,7,"","- - - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1051510,,0,2,0,"","- - - Breeding guinea fowls","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1051590,,0,2,15,"","- - - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1059410,,0,2,0,"","- - - Breeding fowls, other than fighting cocks","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1059441,,0,2,7,"","- - - - Weighing not more than 2 kg","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1059449,,0,2,7,"","- - - - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1059491,,0,2,7,"","- - - - Weighing not more than 2 kg","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1059499,,0,2,7,"","- - - - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1059910,,0,2,0,"","- - - Breeding ducks","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1059920,,0,2,7,"","- - - Other ducks","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1059930,,0,2,0,"","- - - Breeding geese, turkeys and guinea fowls","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1059940,,0,2,7,"","- - - Other geese, turkeys and guinea fowls","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1061100,,0,2,0,"","- - Primates","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1061210,,0,2,7,"","- - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1061220,,0,2,7,"","- - - Seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1061300,,0,2,7,"","- - Camels and other camelids (Camelidae)","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1061400,,0,2,7,"","- - Rabbits and hares","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1061900,,0,2,7,"","- - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1062000,,0,2,7,"","- Reptiles (including snakes and turtles)","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1063100,,0,2,7,"","- - Birds of prey","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1063200,,0,2,7,"","- - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1063300,,0,2,7,"","- - Ostriches; emus (Dromaius novaehollandiae)","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1063900,,0,2,7,"","- - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1064100,,0,2,7,"","- - Bees","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1064900,,0,2,7,"","- - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,1069000,,0,2,7,"","- Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2011000,,0,2,15,"","- Carcasses and half-carcasses","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2012000,,0,2,15,"","- Other cuts with bone in","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2013000,,0,2,15,"","- Boneless","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2021000,,0,2,15,"","- Carcasses and half-carcasses","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2022000,,0,2,15,"","- Other cuts with bone in","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2023000,,0,2,15,"","- Boneless","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2031100,,0,2,15,"","- - Carcasses and half-carcasses","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2031200,,0,2,15,"","- - Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2031900,,0,2,15,"","- - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2032100,,0,2,15,"","- - Carcasses and half-carcasses","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2032200,,0,2,15,"","- - Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2032900,,0,2,15,"","- - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2041000,,0,2,15,"","- Carcasses and half-carcasses of lamb, fresh or chilled","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2042100,,0,2,15,"","- - Carcasses and half-carcasses","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2042200,,0,2,15,"","- - Other cuts with bone in","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2042300,,0,2,15,"","- - Boneless","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2043000,,0,2,15,"","- Carcasses and half-carcasses of lamb, frozen","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2044100,,0,2,15,"","- - Carcasses and half-carcasses","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2044200,,0,2,15,"","- - Other cuts with bone in","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2044300,,0,2,15,"","- - Boneless","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2045000,,0,2,15,"","- Meat of goats","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2050000,,0,2,15,"","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2061000,,0,2,15,"","- Of bovine animals, fresh or chilled","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2062100,,0,2,15,"","- - Tongues","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2062200,,0,2,15,"","- - Livers","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2062900,,0,2,15,"","- - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2063000,,0,2,15,"","- Of swine, fresh or chilled","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2064100,,0,2,15,"","- - Livers","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2064900,,0,2,15,"","- - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2068000,,0,2,15,"","- Other, fresh or chilled","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2069000,,0,2,15,"","- Other, frozen","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2071100,,0,2,15,"","- - Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2071200,,0,2,15,"","- - Not cut in pieces, frozen","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2071300,,0,2,15,"","- - Cuts and offal, fresh or chilled","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2071410,,0,2,15,"","- - - Wings","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2071420,,0,2,15,"","- - - Thighs","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2071430,,0,2,15,"","- - - Livers","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2071491,,0,2,15,"","- - - - Mechanically deboned or separated meat","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2071499,,0,2,15,"","- - - - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2072400,,0,2,15,"","- - Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2072500,,0,2,15,"","- - Not cut in pieces, frozen","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2072600,,0,2,15,"","- - Cuts and offal, fresh or chilled","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2072710,,0,2,15,"","- - - Livers","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2072791,,0,2,15,"","- - - - Mechanically deboned or separated meat","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2072799,,0,2,15,"","- - - - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2074100,,0,2,15,"","- - Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2074200,,0,2,15,"","- - Not cut in pieces, frozen","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2074300,,0,2,15,"","- - Fatty livers, fresh or chilled","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2074400,,0,2,15,"","- - Other, fresh or chilled","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2074510,,0,2,15,"","- - - Fatty livers","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2074590,,0,2,15,"","- - - Other","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2075100,,0,2,15,"","- - Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,""
"116","Cambodia","000"," World",2023,2075200,,0,2,15,"","- - Not cut in pieces, frozen","MFN applied duty rates","A",,""
