"Reporter","ReporterName","Partner","PartnerName","Year","TL","TrfLineDescription","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate"
"124","Canada","000"," World",2023,1012100,"Pure-bred breeding animals",,0,2,0,""
"124","Canada","000"," World",2023,1012900,"Other",,0,2,0,""
"124","Canada","000"," World",2023,1013000,"Asses",,0,2,0,""
"124","Canada","000"," World",2023,1019000,"Other",,0,2,0,""
"124","Canada","000"," World",2023,1022100,"Pure-bred breeding animals",,0,2,0,""
"124","Canada","000"," World",2023,1022900,"Other",,0,2,0,""
"124","Canada","000"," World",2023,1023100,"Pure-bred breeding animals",,0,2,0,""
"124","Canada","000"," World",2023,1023900,"Other",,0,2,0,""
"124","Canada","000"," World",2023,1029000,"Other",,0,2,0,""
"124","Canada","000"," World",2023,1031000,"Pure-bred breeding animals",,0,2,0,""
"124","Canada","000"," World",2023,1039100,"Weighing less than 50 kg",,0,2,0,""
"124","Canada","000"," World",2023,1039200,"Weighing 50 kg or more",,0,2,0,""
"124","Canada","000"," World",2023,1041000,"Sheep",,0,2,0,""
"124","Canada","000"," World",2023,1042000,"Goats",,0,2,0,""
"124","Canada","000"," World",2023,1051110,"For breeding purposes",,0,2,0,""
"124","Canada","000"," World",2023,1051121,"Within access commitment",,0,2,,"0.86 ¢each"
"124","Canada","000"," World",2023,1051122,"Over access commitment",,0,2,,"238% but not less than 30.8 ¢each"
"124","Canada","000"," World",2023,1051190,"Other",,0,2,0,""
"124","Canada","000"," World",2023,1051210,"For breeding purposes",,0,2,0,""
"124","Canada","000"," World",2023,1051290,"Other",,0,2,8,""
"124","Canada","000"," World",2023,1051310,"For breeding purposes",,0,2,0,""
"124","Canada","000"," World",2023,1051390,"Other",,0,2,8,""
"124","Canada","000"," World",2023,1051410,"For breeding purposes",,0,2,0,""
"124","Canada","000"," World",2023,1051490,"Other",,0,2,8,""
"124","Canada","000"," World",2023,1051510,"For breeding purposes",,0,2,0,""
"124","Canada","000"," World",2023,1051590,"Other",,0,2,2.5,""
"124","Canada","000"," World",2023,1059410,"For breeding purposes; Spent fowl;Started pullets",,0,2,,"2.82 ¢/kg"
"124","Canada","000"," World",2023,1059491,"Within access commitment",,0,2,,"1.9 ¢"
"124","Canada","000"," World",2023,1059492,"Over access commitment",,0,2,,"238% but not less than $1.25/kg"
"124","Canada","000"," World",2023,1059911,"Within access commitment",,0,2,,"1.9 ¢"
"124","Canada","000"," World",2023,1059912,"Over access commitment",,0,2,,"154.5% but not less than $1.60/kg"
"124","Canada","000"," World",2023,1059990,"Other",,0,2,3,""
"124","Canada","000"," World",2023,1061100,"Primates",,0,2,0,""
"124","Canada","000"," World",2023,1061200,"Whales, dolphins and porpoises (mammals of the order Cetecea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,0,2,0,""
"124","Canada","000"," World",2023,1061300,"Camels and other camelids (Camelidae)",,0,2,0,""
"124","Canada","000"," World",2023,1061400,"Rabbits and hares",,0,2,0,""
"124","Canada","000"," World",2023,1061900,"Other",,0,2,0,""
"124","Canada","000"," World",2023,1062000,"Reptiles (including snakes and turtles)",,0,2,0,""
"124","Canada","000"," World",2023,1063100,"Birds of prey",,0,2,0,""
"124","Canada","000"," World",2023,1063200,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",,0,2,0,""
"124","Canada","000"," World",2023,1063300,"Ostriches; emus (Dromaius novaehollandiae)",,0,2,0,""
"124","Canada","000"," World",2023,1063900,"Other",,0,2,0,""
"124","Canada","000"," World",2023,1064100,"Bees",,0,2,0,""
"124","Canada","000"," World",2023,1064900,"Other",,0,2,0,""
"124","Canada","000"," World",2023,1069000,"Other",,0,2,0,""
"124","Canada","000"," World",2023,2011010,"Within access commitment",,0,2,0,""
"124","Canada","000"," World",2023,2011020,"Over access commitment",,0,2,26.5,""
"124","Canada","000"," World",2023,2012010,"Within access commitment",,0,2,0,""
"124","Canada","000"," World",2023,2012020,"Over access commitment",,0,2,26.5,""
"124","Canada","000"," World",2023,2013010,"Within access commitment",,0,2,0,""
"124","Canada","000"," World",2023,2013020,"Over access commitment",,0,2,26.5,""
"124","Canada","000"," World",2023,2021010,"Within access commitment",,0,2,0,""
"124","Canada","000"," World",2023,2021020,"Over access commitment",,0,2,26.5,""
"124","Canada","000"," World",2023,2022010,"Within access commitment",,0,2,0,""
"124","Canada","000"," World",2023,2022020,"Over access commitment",,0,2,26.5,""
"124","Canada","000"," World",2023,2023010,"Within access commitment",,0,2,0,""
"124","Canada","000"," World",2023,2023020,"Over access commitment",,0,2,26.5,""
"124","Canada","000"," World",2023,2031100,"Carcasses and half-carcasses",,0,2,0,""
"124","Canada","000"," World",2023,2031200,"Hams, shoulders and cuts thereof, with bone in",,0,2,0,""
"124","Canada","000"," World",2023,2031900,"Other",,0,2,0,""
"124","Canada","000"," World",2023,2032100,"Carcasses and half-carcasses",,0,2,0,""
"124","Canada","000"," World",2023,2032200,"Hams, shoulders and cuts thereof, with bone in",,0,2,0,""
"124","Canada","000"," World",2023,2032900,"Other",,0,2,0,""
"124","Canada","000"," World",2023,2041000,"Carcasses and half-carcasses of lamb, fresh or chilled",,0,2,0,""
"124","Canada","000"," World",2023,2042100,"Carcasses and half-carcasses",,0,2,0,""
"124","Canada","000"," World",2023,2042200,"Other cuts with bone in",,0,2,0,""
"124","Canada","000"," World",2023,2042300,"Boneless",,0,2,0,""
"124","Canada","000"," World",2023,2043000,"Carcasses and half-carcasses of lamb, frozen",,0,2,0,""
"124","Canada","000"," World",2023,2044100,"Carcasses and half-carcasses",,0,2,2,""
"124","Canada","000"," World",2023,2044210,"Of lamb",,0,2,0,""
"124","Canada","000"," World",2023,2044220,"Of mutton",,0,2,2,""
"124","Canada","000"," World",2023,2044310,"Of lamb",,0,2,0,""
"124","Canada","000"," World",2023,2044320,"Of mutton",,0,2,2.5,""
"124","Canada","000"," World",2023,2045000,"Meat of goats",,0,2,0,""
"124","Canada","000"," World",2023,2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",,0,2,0,""
"124","Canada","000"," World",2023,2061000,"Of bovine animals, fresh or chilled",,0,2,0,""
"124","Canada","000"," World",2023,2062100,"Tongues",,0,2,0,""
"124","Canada","000"," World",2023,2062200,"Livers",,0,2,0,""
"124","Canada","000"," World",2023,2062900,"Other",,0,2,0,""
"124","Canada","000"," World",2023,2063000,"Of swine, fresh or chilled",,0,2,0,""
"124","Canada","000"," World",2023,2064100,"Livers",,0,2,0,""
"124","Canada","000"," World",2023,2064900,"Other",,0,2,0,""
"124","Canada","000"," World",2023,2068000,"Other, fresh or chilled",,0,2,0,""
"124","Canada","000"," World",2023,2069000,"Other, frozen",,0,2,0,""
"124","Canada","000"," World",2023,2071110,"Spent fowl",,0,2,8,""
"124","Canada","000"," World",2023,2071191,"Within access commitment",,0,2,,"5% but not less than 4.74 ¢/kg or more than 9.48 ¢"
"124","Canada","000"," World",2023,2071192,"Over access commitment",,0,2,,"238% but not less than $1.67/kg"
"124","Canada","000"," World",2023,2071210,"Spent fowl",,0,2,8,""
"124","Canada","000"," World",2023,2071291,"Within access commitment",,0,2,,"5% but not less than 4.74 ¢/kg or more than 9.48 ¢/kg"
"124","Canada","000"," World",2023,2071292,"Over access commitment",,0,2,,"238% but not less than $1.67/kg"
"124","Canada","000"," World",2023,2071310,"Spent fowl",,0,2,4,""
"124","Canada","000"," World",2023,2071391,"Within access commitment",,0,2,,"5% but not less than 4.74 ¢/kg or more than 9.48 ¢/kg"
"124","Canada","000"," World",2023,2071392,"Over access commitment, bone in",,0,2,,"249% but not less than $3.78/kg"
"124","Canada","000"," World",2023,2071393,"Over access commitment, boneless",,0,2,,"249% but not less than $6.74/kg"
"124","Canada","000"," World",2023,2071410,"Spent fowl",,0,2,9,""
"124","Canada","000"," World",2023,2071421,"Within access commitment",,0,2,0,""
"124","Canada","000"," World",2023,2071422,"Over access commitment",,0,2,,"238% but not less than $6.45/kg"
"124","Canada","000"," World",2023,2071491,"Within access commitment",,0,2,,"5% but not less than 4.74 ¢/kg or more than 9.48 ¢/kg"
"124","Canada","000"," World",2023,2071492,"Over access commitment, bone in",,0,2,,"249% but not less than $3.78/kg"
"124","Canada","000"," World",2023,2071493,"Over access commitment, boneless",,0,2,,"249% but not less than $6.74/kg"
"124","Canada","000"," World",2023,2072411,"Within access commitment",,0,2,,"5% but not less than 4.74 ¢/kg or more than 9.48 ¢/kg"
"124","Canada","000"," World",2023,2072412,"Over access commitment",,0,2,,"154.5% but not less than $2.11/kg"
"124","Canada","000"," World",2023,2072491,"Within access commitment",,0,2,,"5% but not less than 4.74 ¢/kg or more than 9.48 ¢/kg"
"124","Canada","000"," World",2023,2072492,"Over access commitment",,0,2,,"154.5% but not less than $1.95/kg"
"124","Canada","000"," World",2023,2072511,"Within access commitment",,0,2,,"5% but not less than 4.74 ¢/kg or more than 9.48 ¢/kg"
"124","Canada","000"," World",2023,2072512,"Over access commitment",,0,2,,"154.5% but not less than $2.11/kg"
"124","Canada","000"," World",2023,2072591,"Within access commitment",,0,2,,"5% but not less than 4.74 ¢/kg or more than 9.48 ¢/kg"
"124","Canada","000"," World",2023,2072592,"Over access commitment",,0,2,,"154.5% but not less than $1.95/kg"
"124","Canada","000"," World",2023,2072610,"Within access commitment",,0,2,,"5% but not less than 4.74 ¢/kg or more than 9.48 ¢/kg"
"124","Canada","000"," World",2023,2072620,"Over access commitment, bone in",,0,2,,"165% but not less than $2.94/kg"
"124","Canada","000"," World",2023,2072630,"Over access commitment, boneless",,0,2,,"165% but not less than $4.82/kg"
"124","Canada","000"," World",2023,2072711,"Within access commitment",,0,2,0,""
"124","Canada","000"," World",2023,2072712,"Over access commitment",,0,2,,"154.5% but not less than $4.51/kg"
