"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"132","Cape Verde","000"," World",2023,101210000,,0,2,5,,"- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,101290000,,0,2,5,,"- - Other","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,101301000,,0,2,5,,"-- Pure-bred breeding animals","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,101309000,,0,2,5,,"-- Other","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,101900000,,0,2,5,,"- Other","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,102210000,,0,2,0,,"- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,102290000,,0,2,5,,"- - Other","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,102310000,,0,2,5,,"- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,102390000,,0,2,5,,"- - Other","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,102900000,,0,2,0,,"- Other","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,103100000,,0,2,0,,"- Pure-bred breeding animals","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,103910000,,0,2,5,,"- - Weighing less than 50 kg","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,103920000,,0,2,5,,"- - Weighing 50 kg or more","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,104101000,,0,2,0,,"-- Pure-bred breeding animals","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,104109000,,0,2,5,,"-- Other","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,104200000,,0,2,5,,"- Goats","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,105110000,,0,2,0,,"- - Fowls of the species Gallus domesticus","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,105120000,,0,2,0,,"- - Turkeys","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,105130000,,0,2,0,,"- - Ducks","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,105140000,,0,2,0,,"- - Geese","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,105150000,,0,2,0,,"- - Guinea fowls","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,105940000,,0,2,5,,"- - Fowls of the species Gallus domesticus","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,105990000,,0,2,5,,"- - Other","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,106110000,,0,2,5,,"- - Primates","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,106120000,,0,2,5,,"- - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,106130000,,0,2,5,,"- - Camels and other camelids (Camelidae)","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,106140000,,0,2,5,,"- - Rabbits and hares","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,106190000,,0,2,5,,"- - Other","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,106200000,,0,2,5,,"- Reptiles (including snakes and turtles)","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,106310000,,0,2,5,,"- - Birds of prey","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,106320000,,0,2,5,,"- - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,106330000,,0,2,5,,"- - Ostriches; emus (Dromaius novaehollandiae)","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,106390000,,0,2,5,,"- - Other","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,106410000,,0,2,5,,"- - Bees","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,106490000,,0,2,5,,"- - Other","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,106900000,,0,2,5,,"- Other","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,201100000,,0,2,20,,"- Carcasses and half-carcasses","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,201200000,,0,2,20,,"- Other cuts with bone in","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,201300000,,0,2,20,,"- Boneless","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,202100000,,0,2,20,,"- Carcasses and half-carcasses","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,202200000,,0,2,20,,"- Other cuts with bone in","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,202300000,,0,2,20,,"- Boneless","MFN applied duty rates","A",,""
"132","Cape Verde","000"," World",2023,203110000,,0,2,20,,"- - Carcasses and half-carcasses","MFN applied duty rates","A",,""
