"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"140","Central African Republic","000"," World",2023,1012100,,0,2,5,,"-- Reproducteurs de race pure","MFN applied duty rates","A",,
"140","Central African Republic","000"," World",2023,1012900,,0,2,30,,"-- Autres","MFN applied duty rates","A",,
"140","Central African Republic","000"," World",2023,1013010,,0,2,5,,"-- Reproducteur de race pure","MFN applied duty rates","A",,
"140","Central African Republic","000"," World",2023,1013090,,0,2,30,,"-- Autres","MFN applied duty rates","A",,
"140","Central African Republic","000"," World",2023,1019000,,0,2,30,,"- Autres","MFN applied duty rates","A",,
"140","Central African Republic","000"," World",2023,1022100,,0,2,5,,"-- Reproducteurs de race pure","MFN applied duty rates","A",,
"140","Central African Republic","000"," World",2023,1022900,,0,2,30,,"-- Autres","MFN applied duty rates","A",,
"140","Central African Republic","000"," World",2023,1023100,,0,2,5,,"-- Reproducteurs de race pure","MFN applied duty rates","A",,
"140","Central African Republic","000"," World",2023,1023900,,0,2,30,,"-- Autres","MFN applied duty rates","A",,
"140","Central African Republic","000"," World",2023,1029010,,0,2,5,,"-- Reproducteur de race pure","MFN applied duty rates","A",,
"140","Central African Republic","000"," World",2023,1029090,,0,2,30,,"-- Autres","MFN applied duty rates","A",,
"140","Central African Republic","000"," World",2023,1031000,,0,2,5,,"- Reproducteurs de race pure","MFN applied duty rates","A",,
"140","Central African Republic","000"," World",2023,1039100,,0,2,30,,"-- D'un poids inférieur à 50 kg","MFN applied duty rates","A",,
"140","Central African Republic","000"," World",2023,1039200,,0,2,30,,"-- D'un poids égal ou supérieur à 50 kg","MFN applied duty rates","A",,
"140","Central African Republic","000"," World",2023,1041000,,0,2,30,,"- De l'espèce ovine","MFN applied duty rates","A",,
"140","Central African Republic","000"," World",2023,1042000,,0,2,30,,"- De l'espèce caprine","MFN applied duty rates","A",,
