"Reporter","ReporterName","Partner","PartnerName","Year","TL","TrfLineDescription","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate"
"156","China","000"," World",2023,1012100,"--Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1012900,"--Other",,0,2,10,""
"156","China","000"," World",2023,1013010,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1013090,"---Other",,0,2,10,""
"156","China","000"," World",2023,1019000,"-Other",,0,2,10,""
"156","China","000"," World",2023,1022100,"--Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1022900,"--Other",,0,2,10,""
"156","China","000"," World",2023,1023100,"--Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1023900,"--Other",,0,2,10,""
"156","China","000"," World",2023,1029010,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1029090,"---Other",,0,2,10,""
"156","China","000"," World",2023,1031000,"-Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1039110,"---Weighing less than 10kg",,0,2,10,""
"156","China","000"," World",2023,1039120,"---Weighing 10kg or more, but less than 50kg",,0,2,10,""
"156","China","000"," World",2023,1039200,"--Weighing 50kg or more",,0,2,10,""
"156","China","000"," World",2023,1041010,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1041090,"---Other",,0,2,10,""
"156","China","000"," World",2023,1042010,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1042090,"---Other",,0,2,10,""
"156","China","000"," World",2023,1051110,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1051190,"---Other",,0,2,10,""
"156","China","000"," World",2023,1051210,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1051290,"---Other",,0,2,10,""
"156","China","000"," World",2023,1051310,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1051390,"---Other",,0,2,10,""
"156","China","000"," World",2023,1051410,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1051490,"---Other",,0,2,10,""
"156","China","000"," World",2023,1051510,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1051590,"---Other",,0,2,10,""
"156","China","000"," World",2023,1059410,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1059490,"---Other",,0,2,10,""
"156","China","000"," World",2023,1059910,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1059991,"----Ducks",,0,2,10,""
"156","China","000"," World",2023,1059992,"----Geese",,0,2,10,""
"156","China","000"," World",2023,1059993,"----Guinea fowls",,0,2,10,""
"156","China","000"," World",2023,1059994,"----Turkeys",,0,2,10,""
"156","China","000"," World",2023,1061110,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1061190,"---Other",,0,2,10,""
"156","China","000"," World",2023,1061211,"----Pure-bred breeding",,0,2,10,""
"156","China","000"," World",2023,1061219,"----Other",,0,2,10,""
"156","China","000"," World",2023,1061221,"----Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1061229,"----Other",,0,2,10,""
"156","China","000"," World",2023,1061310,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1061390,"---Other",,0,2,10,""
"156","China","000"," World",2023,1061410,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1061490,"---Other",,0,2,10,""
"156","China","000"," World",2023,1061910,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1061990,"---Other",,0,2,10,""
"156","China","000"," World",2023,1062011,"----Crocodiles for cultivation",,0,2,0,""
"156","China","000"," World",2023,1062019,"----Other",,0,2,0,""
"156","China","000"," World",2023,1062020,"---For human consumption",,0,2,10,""
"156","China","000"," World",2023,1062090,"---Other",,0,2,10,""
"156","China","000"," World",2023,1063110,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1063190,"---Other",,0,2,10,""
"156","China","000"," World",2023,1063210,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1063290,"---Other",,0,2,10,""
"156","China","000"," World",2023,1063310,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1063390,"---Other",,0,2,10,""
"156","China","000"," World",2023,1063910,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1063921,"----Squabs",,0,2,10,""
"156","China","000"," World",2023,1063923,"----Teals",,0,2,10,""
"156","China","000"," World",2023,1063929,"----Other",,0,2,10,""
"156","China","000"," World",2023,1063990,"---Other",,0,2,10,""
"156","China","000"," World",2023,1064110,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1064190,"---Other",,0,2,10,""
"156","China","000"," World",2023,1064910,"---Pure-bred breeding",,0,2,0,""
"156","China","000"," World",2023,1064990,"---Other",,0,2,10,""
"156","China","000"," World",2023,1069011,"----Tadpole and young frogs",,0,2,0,""
"156","China","000"," World",2023,1069019,"----Other",,0,2,0,""
"156","China","000"," World",2023,1069090,"---Other",,0,2,10,""
"156","China","000"," World",2023,2011000,"-Carcasses and half-carcasses",,0,2,20,""
"156","China","000"," World",2023,2012000,"-Other cuts with bone in",,0,2,12,""
"156","China","000"," World",2023,2013000,"-Boneless",,0,2,12,""
"156","China","000"," World",2023,2021000,"-Carcasses and half-carcasses",,0,2,25,""
"156","China","000"," World",2023,2022000,"-Other cuts with bone in",,0,2,12,""
"156","China","000"," World",2023,2023000,"-Boneless",,0,2,12,""
"156","China","000"," World",2023,2031110,"---Sucking pig",,0,2,20,""
"156","China","000"," World",2023,2031190,"---Other",,0,2,20,""
"156","China","000"," World",2023,2031200,"--Hams, shoulders and cuts thereof, with bone in",,0,2,20,""
"156","China","000"," World",2023,2031900,"--Other",,0,2,20,""
"156","China","000"," World",2023,2032110,"---Sucking pig",,0,2,12,""
"156","China","000"," World",2023,2032190,"---Other",,0,2,12,""
"156","China","000"," World",2023,2032200,"--Hams, shoulders and cuts thereof, with bone in",,0,2,12,""
"156","China","000"," World",2023,2032900,"--Other",,0,2,12,""
"156","China","000"," World",2023,2041000,"-Carcasses and half-carcasses of lamb, fresh or chilled",,0,2,15,""
"156","China","000"," World",2023,2042100,"--Carcasses and half-carcasses",,0,2,23,""
"156","China","000"," World",2023,2042200,"--Other cuts with bone in",,0,2,15,""
"156","China","000"," World",2023,2042300,"--Boneless",,0,2,15,""
"156","China","000"," World",2023,2043000,"-Carcasses and half-carcasses of lamb, frozen",,0,2,15,""
"156","China","000"," World",2023,2044100,"--Carcasses and half-carcasses",,0,2,23,""
"156","China","000"," World",2023,2044200,"--Other cuts with bone in",,0,2,12,""
"156","China","000"," World",2023,2044300,"--Boneless",,0,2,15,""
"156","China","000"," World",2023,2045000,"-Meat of goats",,0,2,20,""
"156","China","000"," World",2023,2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",,0,2,20,""
"156","China","000"," World",2023,2061000,"-Of bovine animals, fresh or chilled",,0,2,12,""
"156","China","000"," World",2023,2062100,"--Tongues",,0,2,12,""
"156","China","000"," World",2023,2062200,"--Livers",,0,2,12,""
"156","China","000"," World",2023,2062900,"--Other",,0,2,12,""
"156","China","000"," World",2023,2063000,"-Of swine, fresh of chilled",,0,2,20,""
"156","China","000"," World",2023,2064100,"--Livers",,0,2,20,""
"156","China","000"," World",2023,2064900,"--Other",,0,2,12,""
"156","China","000"," World",2023,2068000,"-Other, fresh or chilled",,0,2,20,""
"156","China","000"," World",2023,2069000,"-Other, frozen",,0,2,18,""
"156","China","000"," World",2023,2071100,"--Not cut in pieces, fresh or chilled",,0,2,20,""
"156","China","000"," World",2023,2071200,"--Not cut in pieces, frozen",,0,2,20,""
"156","China","000"," World",2023,2071311,"----With bone",,0,2,20,""
"156","China","000"," World",2023,2071319,"----Other",,0,2,20,""
"156","China","000"," World",2023,2071321,"----Midjoint wing",,0,2,20,""
"156","China","000"," World",2023,2071329,"----Other",,0,2,20,""
"156","China","000"," World",2023,2071411,"----With bone",,0,2,,"0.6¥/kg"
"156","China","000"," World",2023,2071419,"----Other",,0,2,10,""
"156","China","000"," World",2023,2071421,"----Midjoint wing",,0,2,,"0.8¥/kg"
"156","China","000"," World",2023,2071422,"----Chicken claw",,0,2,,"1¥/kg"
"156","China","000"," World",2023,2071429,"----Other",,0,2,,"0.5¥/kg"
"156","China","000"," World",2023,2072400,"--Not cut in pieces, fresh or chilled",,0,2,20,""
"156","China","000"," World",2023,2072500,"--Not cut in pieces, frozen",,0,2,20,""
"156","China","000"," World",2023,2072600,"--Cuts and offal, fresh or chilled",,0,2,20,""
"156","China","000"," World",2023,2072700,"--Cuts and offal, frozen",,0,2,10,""
"156","China","000"," World",2023,2074100,"--Not cut in pieces, fresh or chilled",,0,2,20,""
"156","China","000"," World",2023,2074200,"--Not cut in pieces, frozen",,0,2,20,""
"156","China","000"," World",2023,2074300,"--Fatty livers, fresh or chilled",,0,2,20,""
"156","China","000"," World",2023,2074400,"--Other, fresh or chilled",,0,2,20,""
"156","China","000"," World",2023,2074500,"--Other, frozen",,0,2,20,""
"156","China","000"," World",2023,2075100,"--Not cut in pieces, fresh or chilled",,0,2,20,""
"156","China","000"," World",2023,2075200,"--Not cut in pieces, frozen",,0,2,20,""
"156","China","000"," World",2023,2075300,"--Fatty livers, fresh or chilled",,0,2,20,""
"156","China","000"," World",2023,2075400,"--Other, fresh or chilled",,0,2,20,""
"156","China","000"," World",2023,2075500,"--Other, frozen",,0,2,20,""
"156","China","000"," World",2023,2076000,"-Of guinea fowls",,0,2,20,""
"156","China","000"," World",2023,2081010,"---Meat of rabbits, fresh or chilled, excluding head",,0,2,20,""
"156","China","000"," World",2023,2081020,"---Meat of rabbits, frozen, excluding head",,0,2,20,""
"156","China","000"," World",2023,2081090,"---Other",,0,2,20,""
"156","China","000"," World",2023,2083000,"-Of primates",,0,2,23,""
"156","China","000"," World",2023,2084000,"-Of whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,0,2,23,""
"156","China","000"," World",2023,2085000,"-Of reptiles (including snakes and turtles)",,0,2,23,""
"156","China","000"," World",2023,2086000,"-Of camels and other camelids (Camelidae)",,0,2,23,""
"156","China","000"," World",2023,2089010,"---Squabs",,0,2,20,""
