"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"170","Colombia","000"," World",2023,101210000,,0,2,5,"","- - Reproductores de raza pura","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,101291000,,0,2,10,"","- - - Para carrera","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,101299000,,0,2,10,"","- - - Los demás","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,101300000,,0,2,10,"","- Asnos","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,101900000,,0,2,10,"","- Los demás","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,102210010,,0,2,5,"","- - - Hembras","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,102210020,,0,2,5,"","- - - Machos","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,102291000,,0,2,10,"","- - - Para lidia","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,102299010,,0,2,10,"","- - - - Hembras","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,102299020,,0,2,10,"","- - - - Machos","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,102310010,,0,2,5,"","- - - Hembras","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,102310020,,0,2,5,"","- - - Machos","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,102390010,,0,2,10,"","- - - Hembras","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,102390020,,0,2,10,"","- - - Machos","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,102900010,,0,2,10,"","- - Hembras","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,102900020,,0,2,10,"","- - Machos","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,103100000,,0,2,5,"","- Reproductores de raza pura","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,103910000,,0,2,10,"","- - De peso inferior a 50 kg","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,103920000,,0,2,10,"","- - De peso superior o igual a 50 kg","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,104101000,,0,2,5,"","- - Reproductores de raza pura","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,104109000,,0,2,10,"","- - Los demás","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,104201000,,0,2,5,"","- - Reproductores de raza pura","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,104209000,,0,2,10,"","- - Los demás","Arancel Aplicado por Colombia para el Año 2022","A",,""
"170","Colombia","000"," World",2023,105110000,,0,2,5,"","- - Aves de la especie Gallus domesticus","Arancel Aplicado por Colombia para el Año 2022","A",,""
