"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"174","Comoros","000"," World",2019,1012100,,0,2,20,"","-- Reproducteurs de race pure","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1012900,,0,2,20,"","-- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1013010,,0,2,20,"","--- Reproducteurs de race pure","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1013090,,0,2,20,"","--- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1019000,,0,2,20,"","- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1022100,,0,2,5,"","-- Reproducteurs de race pure","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1022900,,0,2,5,"","-- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1023100,,0,2,5,"","-- Reproducteurs de race pure","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1023900,,0,2,5,"","-- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1029000,,0,2,5,"","- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1031000,,0,2,20,"","- Reproducteurs de race pure","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1039100,,0,2,20,"","-- D'un poids inférieur à 50 kg","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1039200,,0,2,20,"","-- D'un poids égal ou supérieur à 50 kg","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1041010,,0,2,5,"","--- Reproducteurs de race pure","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1041090,,0,2,5,"","---Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1042010,,0,2,5,"","--- Reproducteurs de race pure","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1042090,,0,2,5,"","---Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1051100,,0,2,5,"","-- Coqs et poules","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1051200,,0,2,5,"","-- Dindes et dindons","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1051300,,0,2,5,"","-- Canards","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1051400,,0,2,5,"","-- Oies","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1051500,,0,2,5,"","-- Pintades","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1059410,,0,2,5,"","--- Coqs et poules d'un poids n'excédant pas 2.000 g","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1059420,,0,2,5,"","--- Coqs et poules d'un poids excédant 2.000 g","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1059900,,0,2,5,"","-- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1061100,,0,2,5,"","-- Primates","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1061200,,0,2,5,"","-- Baleines,dauphins et moursoins(mammifères de l'ordre des cétacés);lamantings et dugon","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1061300,,0,2,5,"","-- Chameaux et autres camélidés (Camelidés)","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1061400,,0,2,5,"","-- Lapins et lièvres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1061900,,0,2,5,"","-- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1062000,,0,2,5,"","- Reptiles (y compris les serpents et les tortues de mer)","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1063100,,0,2,5,"","-- Oiseaux de proie","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1063200,,0,2,5,"","-- Psittaciformes (y compris les perroquets, perruches, aras et cacatoès)","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1063300,,0,2,5,"","-- Autruches; émeus (Dromaius novaehollandiae)","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1063900,,0,2,5,"","-- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1064100,,0,2,5,"","-- Abeilles","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1064900,,0,2,5,"","-- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,1069000,,0,2,5,"","- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2011000,,0,2,0,"","- En carcasses ou demi-carcasses","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2012000,,0,2,0,"","- Autres morceaux non désossés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2013000,,0,2,0,"","- Désossées","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2021000,,0,2,0,"","- En carcasses ou demi-carcasses","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2022000,,0,2,0,"","- Autres morceaux non désossés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2023000,,0,2,0,"","- Désossées","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2031100,,0,2,20,"","-- En carcasses ou demi-carcasses","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2031200,,0,2,20,"","-- Jambons, épaules et leurs morceaux, non désossés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2031900,,0,2,20,"","-- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2032100,,0,2,20,"","-- En carcasses ou demi-carcasses","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2032200,,0,2,20,"","-- Jambons, épaules et leurs morceaux, non désossés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2032900,,0,2,20,"","-- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2041000,,0,2,0,"","- Carcasses et demi-carcasses d'agneau, fraðches ou réfrigérées","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2042100,,0,2,0,"","-- En carcasses ou demi-carcasses","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2042200,,0,2,0,"","-- En autres morceaux non désossés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2042300,,0,2,0,"","-- Désossées","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2043000,,0,2,0,"","- Carcasses et demi-carcasses d'agneau, congelées","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2044100,,0,2,0,"","-- En carcasses ou demi-carcasses","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2044200,,0,2,0,"","-- En autres morceaux non désossés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2044300,,0,2,0,"","-- Désossées","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2045000,,0,2,0,"","- Viandes des animaux de l'espèce caprine","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2050000,,0,2,0,"","Viandes des animaux des espèces chevaline, asine ou mulassière, fraðches, réfrigérées ou","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2061000,,0,2,0,"","- De l'espèce bovine, frais ou réfrigérés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2062100,,0,2,0,"","-- Langues","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2062200,,0,2,0,"","-- Foies","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2062900,,0,2,0,"","-- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2063000,,0,2,0,"","- De l'espèce porcine, frais ou réfrigérés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2064100,,0,2,0,"","-- Foies","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2064900,,0,2,0,"","-- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2068000,,0,2,0,"","- Autres, frais ou réfrigérés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2069010,,0,2,0,"","-- Filets ,langues, rognons et foies","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2069090,,0,2,0,"","-- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2071100,,0,2,0,"","-- Non découpés en morceaux, frais ou réfrigérés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2071200,,0,2,0,"","-- Non découpés en morceaux, congelés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2071300,,0,2,0,"","-- Morceaux et abats, frais ou réfrigérés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2071410,,0,2,0,"","--- Ailes de coqs ou poules, congelés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2071420,,0,2,0,"","--- Cuisses de coqs ou poules, congelés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2071490,,0,2,0,"","--- Autres","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2072400,,0,2,0,"","-- Non découpés en morceaux, frais ou réfrigérés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2072500,,0,2,0,"","-- Non découpés en morceaux, congelés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2072600,,0,2,0,"","-- Morceaux et abats, frais ou réfrigérés","droit de douane proprement dit/spécifique","A",,""
"174","Comoros","000"," World",2019,2072700,,0,2,0,"","-- Morceaux et abats, congelés","droit de douane proprement dit/spécifique","A",,""
