"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"192","Cuba","000"," World",2022,1012100,,0,2,5,,"--Reproductores de raza pura","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1012900,,0,2,5,,"--Los demás","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1013000,,0,2,5,,"-Asnos","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1019000,,0,2,5,,"-Los demás","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1022100,,0,2,0,,"--Reproductores de raza pura","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1022900,,0,2,5,,"--Los demás","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1023100,,0,2,0,,"--Reproductores de raza pura","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1023900,,0,2,5,,"--Los demás","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1029000,,0,2,5,,"-Los demás","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1031000,,0,2,0,,"-Reproductores de raza pura","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1039100,,0,2,5,,"--De peso inferior a 50 kg","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1039200,,0,2,5,,"--De peso superior o igual a 50 kg","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1041000,,0,2,5,,"-De la especie ovina","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1042000,,0,2,5,,"-De la especie caprina","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1051100,,0,2,5,,"--Aves de la especie Gallus domesticus","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1051200,,0,2,5,,"--Pavos (gallipavos)","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1051300,,0,2,5,,"--Patos","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1051400,,0,2,5,,"--Gansos","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1051500,,0,2,5,,"--Pintadas","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1059400,,0,2,5,,"--Aves de la especie Gallus domesticus","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1059900,,0,2,5,,"--Los demás","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1061100,,0,2,5,,"--Primates","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1061200,,0,2,5,,"--Ballenas, delfines y marsopas (mamíferos del orden Cetácea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1061300,,0,2,5,,"--Camellos y demás camélidos (Camelidae)","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1061400,,0,2,5,,"--Conejos y liebres","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1061900,,0,2,5,,"--Los demás","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1062000,,0,2,5,,"-Reptiles (incluidas las serpientes y tortugas de mar)","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1063100,,0,2,5,,"--Aves de rapiña","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1063200,,0,2,5,,"--Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos)","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1063300,,0,2,5,,"--Avestruces; emúes (Dromaius novaehollandiae)","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1063900,,0,2,5,,"--Las demás","MFN applied duty scheme","A",,""
"192","Cuba","000"," World",2022,1064100,,0,2,5,,"--Abejas","MFN applied duty scheme","A",,""
