"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"196","Cyprus","000"," World",2002,101101000,,0,2,40,"","Horses","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,101109000,,0,2,0,"","Other","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,101901100,,0,2,40,"","For slaughter","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,101901900,,0,2,40,"","Other","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,101903000,,0,2,0,"","Asses","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,101909000,,0,2,0,"","Mules and hinnies","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102101010,,0,2,0,"","See additional note 1","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102101090,,0,2,,"30,0 + 855,00  /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102103010,,0,2,0,"","See additional note 1","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102103090,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102109011,,0,2,0,"","See additional note 1","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102109019,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102109091,,0,2,0,"","See additional note 1","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102109099,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102900511,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102900519,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102900521,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102900529,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102900591,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102900599,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102902110,,0,2,,"30,0 + 855,00 /1000 kg","Cows","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102902120,,0,2,,"30,0 + 855,00 /1000 kg","Bulls","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102902190,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102902911,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102902919,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102902921,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102902929,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102902991,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102902999,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102904110,,0,2,,"30,0 + 855,00 /1000 kg","Cows","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102904120,,0,2,,"30,0 + 855,00 /1000 kg","Bulls","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102904190,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102904911,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102904919,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102904921,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102904929,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102904991,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102904999,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102905100,,0,2,,"30,0 + 855,00 /1000 kg","For slaughter","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102905910,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102905990,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102906100,,0,2,,"30,0 + 855,00 /1000 kg","For slaughter","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102906910,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102906990,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102907110,,0,2,,"30,0 + 855,00 /1000 kg","Bulls","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102907190,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102907911,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102907919,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102907991,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,102907999,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,102909000,,0,2,,"30,0 + 855,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,103100010,,0,2,0,"","See additional note 1","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,103100090,,0,2,,"30,0 + 379,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,103911010,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,103911090,,0,2,,"30,0 + 379,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,103919000,,0,2,,"30,0 + 379,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,103921110,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,103921190,,0,2,,"30,0 + 379,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,103921910,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,103921990,,0,2,,"30,0 + 379,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,103929000,,0,2,,"30,0 + 379,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,104101010,,0,2,0,"","See additional note 1","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,104101090,,0,2,,"30,0 + 740,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,104103010,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,104103090,,0,2,,"30,0 + 740,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,104108010,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,104108090,,0,2,,"30,0 + 740,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,104201010,,0,2,0,"","See additional note 1","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,104201090,,0,2,,"30,0 + 740,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,104209010,,0,2,0,"","Crossbred breeding (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,104209090,,0,2,,"30,0 + 740,00 /1000 kg","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,105111110,,0,2,0,"","See additional note 1","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,105111190,,0,2,,"15,4 + 77,00  /1000 units","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,105111910,,0,2,0,"","See additional note 1","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,105111990,,0,2,,"15,4 + 77,00  /1000 units","Other","MFN applied duty","C",,
"196","Cyprus","000"," World",2002,105119120,,0,2,0,"","Grandparent and parent male chicks (see additional note 1)","MFN applied duty","A",,
"196","Cyprus","000"," World",2002,105119190,,0,2,,"15,4 + 77,00  /1000 units","Other","MFN applied duty","C",,
