"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"384","Cote d'Ivoire","000"," World",2023,101210000,,0,2,5,,"-- Chevaux vivants, reproducteurs de race pure","Droit de Douane","A",,
"384","Cote d'Ivoire","000"," World",2023,101210000,,1,0,0,,"-- Chevaux vivants, reproducteurs de race pure","Economic Community of West African States (ECOWAS) duty rates","A",,
"384","Cote d'Ivoire","000"," World",2023,101290000,,0,2,10,,"-- Chevaux vivants, autres que reproducteurs de race pure","Droit de Douane","A",,
"384","Cote d'Ivoire","000"," World",2023,101290000,,1,0,0,,"-- Chevaux vivants, autres que reproducteurs de race pure","Economic Community of West African States (ECOWAS) duty rates","A",,
"384","Cote d'Ivoire","000"," World",2023,101301000,,0,2,5,,"-- Anes vivants reproducteurs de race pure","Droit de Douane","A",,
"384","Cote d'Ivoire","000"," World",2023,101301000,,1,0,0,,"-- Anes vivants reproducteurs de race pure","Economic Community of West African States (ECOWAS) duty rates","A",,
"384","Cote d'Ivoire","000"," World",2023,101309000,,0,2,10,,"-- Anes vivants, autres que reproducteurs de race pure","Droit de Douane","A",,
"384","Cote d'Ivoire","000"," World",2023,101309000,,1,0,0,,"-- Anes vivants, autres que reproducteurs de race pure","Economic Community of West African States (ECOWAS) duty rates","A",,
"384","Cote d'Ivoire","000"," World",2023,101900000,,0,2,10,,"- Mulets et bardots vivants","Droit de Douane","A",,
"384","Cote d'Ivoire","000"," World",2023,101900000,,1,0,0,,"- Mulets et bardots vivants","Economic Community of West African States (ECOWAS) duty rates","A",,
"384","Cote d'Ivoire","000"," World",2023,102210000,,0,2,5,,"-- Bovins vivants domestiques reproducteurs de race pure","Droit de Douane","A",,
"384","Cote d'Ivoire","000"," World",2023,102210000,,1,0,0,,"-- Bovins vivants domestiques reproducteurs de race pure","Economic Community of West African States (ECOWAS) duty rates","A",,
"384","Cote d'Ivoire","000"," World",2023,102290000,,0,2,10,,"-- Bovins vivants domestiques, autres que reproducteurs de race pure","Droit de Douane","A",,
"384","Cote d'Ivoire","000"," World",2023,102290000,,1,0,0,,"-- Bovins vivants domestiques, autres que reproducteurs de race pure","Economic Community of West African States (ECOWAS) duty rates","A",,
"384","Cote d'Ivoire","000"," World",2023,102310000,,0,2,5,,"-- Buffles vivants reproducteurs de race pure","Droit de Douane","A",,
"384","Cote d'Ivoire","000"," World",2023,102310000,,1,0,0,,"-- Buffles vivants reproducteurs de race pure","Economic Community of West African States (ECOWAS) duty rates","A",,
"384","Cote d'Ivoire","000"," World",2023,102390000,,0,2,10,,"-- Buffles vivants, autres que reproducteurs de race pure","Droit de Douane","A",,
