"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"262","Djibouti","000"," World",2014,1011000,,0,2,1,,"- Reproducteurs de race pure","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1019000,,0,2,1,,"- Autres","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1021000,,0,2,1,,"- Reproducteurs de race pure","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1029000,,0,2,1,,"- Autres","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1031000,,0,2,1,,"- Reproducteurs de race pure","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1039100,,0,2,1,,"-- D'un poids inférieur à 50 kg","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1039200,,0,2,1,,"-- D'un poids égal ou supérieur à 50 kg","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1041010,,0,2,1,,"--- Reproducteurs de race pure","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1041090,,0,2,1,,"--- Autres","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1042010,,0,2,1,,"--- Reproducteurs de race pure","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1042090,,0,2,1,,"--- Autres","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1051100,,0,2,1,,"-- Coqs et poules","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1051200,,0,2,1,,"-- Dindes et dindons","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1051900,,0,2,1,,"-- Autres","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1059400,,0,2,1,,"-- Coqs et poules","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1059900,,0,2,1,,"-- Autres","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1061100,,0,2,1,,"-- Primates","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1061200,,0,2,1,,"-- Baleines, dauphins et marsouins (mammifères de l’ordre des cétacés); lamantins et dugongs (mammifères de l’ordre des siréniens)","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1061910,,0,2,1,,"--- Chameaux et dromadaires","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1061990,,0,2,1,,"--- Autres","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1062000,,0,2,1,,"- Reptiles (y compris les serpents et les tortues de mer)","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1063100,,0,2,1,,"-- Oiseaux de proie","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1063200,,0,2,1,,"-- Psittaciformes (y compris les perroquets, perruches, aras et cacatoès)","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1063900,,0,2,1,,"-- Autres","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,1069000,,0,2,1,,"- Autres","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2011000,,0,2,13,,"- En carcasses ou demi-carcasses","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2012000,,0,2,13,,"- Autres morceaux non désossés","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2013000,,0,2,13,,"- Désossées","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2021000,,0,2,,,"Non fourni(e)","MFN applied duty rates","N",,"Duty not provided."
"262","Djibouti","000"," World",2014,2022000,,0,2,13,,"- Autres morceaux non désossés","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2023000,,0,2,13,,"- Désossées","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2031100,,0,2,13,,"-- En carcasses ou demi-carcasses","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2031200,,0,2,13,,"-- Jambons, épaules et leurs morceaux, non désossés","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2031900,,0,2,13,,"-- Autres","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2032100,,0,2,13,,"-- En carcasses ou demi-carcasses","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2032200,,0,2,13,,"-- Jambons, épaules et leurs morceaux, non désossés","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2032900,,0,2,13,,"-- Autres","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2041000,,0,2,13,,"- Carcasses et demi-carcasses d'agneau, fraîches ou réfrigérées","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2042100,,0,2,13,,"-- En carcasses ou demi-carcasses","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2042200,,0,2,13,,"-- En autres morceaux non désossés","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2042300,,0,2,13,,"-- Désossées","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2043000,,0,2,13,,"- Carcasses et demi-carcasses d'agneau, congelées","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2044100,,0,2,13,,"-- En carcasses ou demi-carcasses","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2044200,,0,2,13,,"-- En autres morceaux non désossés","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2044300,,0,2,13,,"-- Désossées","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2045000,,0,2,13,,"- Viandes des animaux de l'espèce caprine","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2050000,,0,2,13,,"Viandes des animaux des espèces chevaline, asine ou mulassière, fraîches, réfrigérées ou congelées.","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2061000,,0,2,13,,"- De l'espèce bovine, frais ou réfrigérés","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2062100,,0,2,13,,"-- Langues","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2062200,,0,2,13,,"-- Foies","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2062900,,0,2,13,,"-- Autres","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2063000,,0,2,13,,"- De l'espèce porcine, frais ou réfrigérés","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2064100,,0,2,13,,"-- Foies","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2064900,,0,2,13,,"-- Autres","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2068000,,0,2,13,,"- Autres, frais ou réfrigérés","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2069000,,0,2,13,,"- Autres, congelés","MFN applied duty rates","A",,""
"262","Djibouti","000"," World",2014,2071100,,0,2,13,,"-- Non découpés en morceaux, frais ou réfrigérés","MFN applied duty rates","A",,""
