"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"212","Dominica","000"," World",2016,1011000,,0,2,0,,"Pure-bred breeding horses and asses","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1019010,,0,2,40,,"Live horses, asses, mules and hinnies (excl. pure-bred for breeding):Race horses, not for breeding","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1019090,,0,2,40,,"Live horses, asses, mules and hinnies (excl. pure-bred for breeding):Other","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1021010,,0,2,0,,"Pure-bred breeding bovines:Bulls","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1021020,,0,2,0,,"Pure-bred breeding bovines:Cows","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1029010,,0,2,0,,"Live bovine animals (excl. pure-bred for breeding):Bulls, for breeding","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1029020,,0,2,0,,"Live bovine animals (excl. pure-bred for breeding):Bulls, for rearing, weighing not more than 270 kg","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1029030,,0,2,40,,"Live bovine animals (excl. pure-bred for breeding):Other, bulls","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1029040,,0,2,0,,"Live bovine animals (excl. pure-bred for breeding):Cows, for breeding","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1029050,,0,2,0,,"Live bovine animals (excl. pure-bred for breeding):Cows, for rearing, weighing not more than 270 kg","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1029060,,0,2,40,,"Live bovine animals (excl. pure-bred for breeding):Other, cows","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1031000,,0,2,0,,"Pure-bred breeding swine","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1039110,,0,2,0,,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding):For breeding","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1039190,,0,2,40,,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding):Other","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1039210,,0,2,0,,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding):For breeding","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1039290,,0,2,40,,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding):Other","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1041010,,0,2,0,,"Live sheep:For breeding","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1041020,,0,2,40,,"Live sheep:For rearing","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1041090,,0,2,40,,"Live sheep:Other","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1042010,,0,2,0,,"Live goats:For breeding","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1042020,,0,2,40,,"Live goats:For rearing","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1042090,,0,2,40,,"Live goats:Other","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1051110,,0,2,0,,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls):For breeding","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1051120,,0,2,40,,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls):For rearing","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1051210,,0,2,0,,"Live domestic turkeys, weighing <= 185 g:For breeding","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1051220,,0,2,40,,"Live domestic turkeys, weighing <= 185 g:For rearing","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1051910,,0,2,0,,"Live domestic ducks, geese and guinea fowls, weighing <= 185 g:For breeding","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1051920,,0,2,40,,"Live domestic ducks, geese and guinea fowls, weighing <= 185 g:For rearing","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1051990,,0,2,40,,"Live domestic ducks, geese and guinea fowls, weighing <= 185 g:Other","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1059410,,0,2,0,,"Live fowls of the species Gallus domesticus, weighing > 185:Cocks for breeding","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1059420,,0,2,40,,"Live fowls of the species Gallus domesticus, weighing > 185:Cocks for rearing","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1059430,,0,2,0,,"Live fowls of the species Gallus domesticus, weighing > 185:Hens for breeding","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1059440,,0,2,40,,"Live fowls of the species Gallus domesticus, weighing > 185:Hens for rearing","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1059490,,0,2,40,,"Live fowls of the species Gallus domesticus, weighing > 185:Other","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1059910,,0,2,0,,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g:For breeding","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1059920,,0,2,40,,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g:For rearing","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1059990,,0,2,40,,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g:Other","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1061110,,0,2,40,,"Live primates:Monkeys","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1061190,,0,2,40,,"Live primates:Other","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1061200,,0,2,40,,"Live whales, dolphins and purpoises mammals of the order Cetacea"" and manatees and dugongs ""mammals of the order Sirenia""","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1061900,,0,2,40,,"Live mammals (excl. primates, whales, dolphins and purpoises mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"" and horses, asses, mules, hinnies, bovines, pigs, sheep and goats)""","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1062010,,0,2,40,,"Live reptiles e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"":Turtles","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1062090,,0,2,40,,"Live reptiles e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"":Other","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1063100,,0,2,40,,"Live birds of prey","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1063200,,0,2,40,,"Live psittaciformes incl. parrots, parrakeets, macaws and cockatoos""","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1063910,,0,2,40,,"Live birds (excl. birds of prey and psittaciformes incl. parrots, parrakeets, macaws and cockatoos"")"":Pigeons","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1063990,,0,2,40,,"Live birds (excl. birds of prey and psittaciformes incl. parrots, parrakeets, macaws and cockatoos"")"":Other birds","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1069010,,0,2,0,,"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.):Bees for breeding","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1069030,,0,2,40,,"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.):Dogs","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1069040,,0,2,40,,"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.):Cats","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1069050,,0,2,40,,"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.):Other Domesticated animals generally held as pets.","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,1069090,,0,2,40,,"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.):Other","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,2011000,,0,2,5,,"Carcases or half-carcases of bovine animals, fresh or chilled","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,2012010,,0,2,5,,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases):Brisket","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,2012090,,0,2,5,,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases):Other","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,2013010,,0,2,5,,"Fresh or chilled bovine meat, boneless:Tenderloin","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,2013020,,0,2,5,,"Fresh or chilled bovine meat, boneless:Sirloin","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,2013030,,0,2,5,,"Fresh or chilled bovine meat, boneless:Minced (Ground)","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,2013090,,0,2,5,,"Fresh or chilled bovine meat, boneless:Other","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,2021000,,0,2,5,,"Frozen bovine carcases and half-carcases","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,2022010,,0,2,5,,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases):Brisket","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,2022090,,0,2,5,,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases):Other","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,2023010,,0,2,5,,"Frozen, boneless meat of bovine animals:Tenderloin","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,2023020,,0,2,5,,"Frozen, boneless meat of bovine animals:Sirloin","MFN duties (Applied)","A",,
"212","Dominica","000"," World",2016,2023030,,0,2,5,,"Frozen, boneless meat of bovine animals:Minced (Ground)","MFN duties (Applied)","A",,
