"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"218","Ecuador","000"," World",2022,101210000,,0,2,15,"","- - Reproductores de raza pura","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,101291000,,0,2,20,"","- - - Para carrera","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,101299000,,0,2,20,"","- - - Los demás","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,101300000,,0,2,0,"","- Asnos","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,101900000,,0,2,15,"","- Los demás","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,102210000,,0,2,0,"","- - Reproductores de raza pura","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,102291000,,0,2,15,"","- - - Para lidia","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,102299000,,0,2,5,"","- - - Los demás","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,102310000,,0,2,0,"","- - Reproductores de raza pura","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,102390000,,0,2,5,"","- - Los demás","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,102900000,,0,2,5,"","- Los demás","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,103100000,,0,2,0,"","- Reproductores de raza pura","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,103910000,,0,2,10,"","- - De peso inferior a 50 kg","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,103920000,,0,2,10,"","- - De peso superior o igual a 50 kg","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,104101000,,0,2,0,"","- - Reproductores de raza pura","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,104109000,,0,2,10,"","- - Los demás","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,104201000,,0,2,0,"","- - Reproductores de raza pura","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,104209000,,0,2,10,"","- - Los demás","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,105110010,,0,2,0,"","- - - Hembras reproductoras pesadas engorde","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,105110020,,0,2,0,"","- - - Machos reproductores pesados engorde","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,105110030,,0,2,0,"","- - - Hembras reproductoras livianas","MFN applied duty rates","A","",""
"218","Ecuador","000"," World",2022,105110040,,0,2,0,"","- - - Machos reproductores livianos","MFN applied duty rates","A","",""
