"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"818","Egypt, Arab Rep.","000"," World",2019,101210000,,0,2,5,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,101290000,,0,2,5,"","- - Other","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,101300000,,0,2,5,"","- Asses","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,101900000,,0,2,5,"","- Other","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,102210000,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,102290000,,0,2,0,"","- - Other","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,102310000,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,102390000,,0,2,0,"","- - Other","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,102900000,,0,2,0,"","- Other","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,103100000,,0,2,5,"","- Pure-bred breeding animals","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,103910000,,0,2,5,"","- - Weighing less than 50 kg","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,103920000,,0,2,5,"","- - Weighing 50 kg or more","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,104100010,,0,2,0,"","Pure-bred breeding live sheep animals.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,104100090,,0,2,0,"","Live sheep animals, for not breeding.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,104200000,,0,2,0,"","- Goats","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,105110000,,0,2,5,"","- - Fowls of the species Gallus domesticus","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,105120000,,0,2,5,"","- - Turkeys","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,105130000,,0,2,5,"","- - Ducks","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,105140000,,0,2,5,"","- - Geese","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,105150000,,0,2,5,"","- - Guinea fowls","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,105940010,,0,2,5,"","Live poultry fowls of the species gallus domesticus by weighing more than 185 g, for raising.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,105940090,,0,2,5,"","Live poultry fowls of the species gallus domesticus by weighing more than 185 g, for not raising.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,105990010,,0,2,5,"","Live poultry, ducks, geese, turkeys and guinea fowls by weighing more than 185g, for raising.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,105990090,,0,2,5,"","Live poultry, ducks, geese, turkeys and guinea fowls by weighing more than 185 g, for not raising.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106110000,,0,2,5,"","- - Primates","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106120010,,0,2,5,"","Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia) for human consumption.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106120090,,0,2,5,"","Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia), for non human consumption.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106130010,,0,2,0,"","Live camels and other camelids (camelidae), fit for human consumption.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106130090,,0,2,0,"","Camels and other camelids (camelidae), unfit for human consumption.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106140010,,0,2,5,"","Live rabbits and hares, fit for human consumption.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106140090,,0,2,5,"","Live rabbits and hares, unfit for human consumption.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106190010,,0,2,5,"","Other live animals, fit for human consumption, type of mammals.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106190090,,0,2,5,"","Other live animals, unfit for human consumption, type of mammals.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106200000,,0,2,5,"","- Reptiles (including snakes and turtles)","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106310010,,0,2,5,"","Live falcons for hunting.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106310090,,0,2,5,"","Other birds of prey.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106320000,,0,2,5,"","- - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106330010,,0,2,5,"","Ostriches; emus (dromaius novaehollandiae), fit for human consumption.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106330090,,0,2,5,"","Ostriches; emus (dromaius novaehollandiae), unfit for human consumption.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106390010,,0,2,5,"","Other live birds, for human consumption.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106390090,,0,2,5,"","Other live birds, for non human consumption.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106410000,,0,2,5,"","- - Bees","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106490000,,0,2,5,"","- - Other","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106900010,,0,2,5,"","Live bees.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106900030,,0,2,5,"","Live frogs, for human consumption.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106900050,,0,2,5,"","Live frogs, for non human consumption.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,106900090,,0,2,5,"","Other live animals.","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,201100000,,0,2,0,"","- Carcasses and half-carcasses","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,201200000,,0,2,0,"","- Other cuts with bone in","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,201300000,,0,2,0,"","- Boneless","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,202100000,,0,2,0,"","- Carcasses and half-carcasses","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,202200000,,0,2,0,"","- Other cuts with bone in","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,202300000,,0,2,0,"","- Boneless","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,203110000,,0,2,20,"","- - Carcasses and half-carcasses","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,203120000,,0,2,30,"","- - Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,203190000,,0,2,30,"","- - Other","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,203210000,,0,2,20,"","- - Carcasses and half-carcasses","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,203220000,,0,2,30,"","- - Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,203290000,,0,2,30,"","- - Other","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,204100000,,0,2,0,"","- Carcasses and half-carcasses of lamb, fresh or chilled","MFN applied duty rates","A",,
"818","Egypt, Arab Rep.","000"," World",2019,204210000,,0,2,0,"","- - Carcasses and half-carcasses","MFN applied duty rates","A",,
