"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"233","Estonia","000"," World",2003,101101000,,0,2,0,,"- - Horses","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,101109000,,0,2,0,,"- - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,101901100,,0,2,0,,"- - - For slaughter","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,101901900,,0,2,0,,"- - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,101903000,,0,2,0,,"- -  Asses","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,101909000,,0,2,0,,"- - Mules and hinnies","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,102101000,,0,2,0,,"- - Heifers (female bovines that have never calved)","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,102103000,,0,2,0,,"- - Cows","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,102109000,,0,2,0,,"- - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,102900500,,0,2,39,,"- - - Of a weight not exceeding 80 kg","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,102902100,,0,2,39,,"- - - - For slaughter","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,102902900,,0,2,39,,"- - - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,102904100,,0,2,39,,"- - - - For slaughter","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,102904900,,0,2,39,,"- - - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,102905100,,0,2,39,,"- - - - - For slaughter","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,102905900,,0,2,39,,"- - - - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,102906100,,0,2,39,,"- - - - - For slaughter","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,102906900,,0,2,39,,"- - - - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,102907100,,0,2,39,,"- - - - - For slaughter","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,102907900,,0,2,39,,"- - - - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,102909000,,0,2,39,,"- - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,103100000,,0,2,0,,"- Pure-bred breeding animals","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,103911000,,0,2,39,,"- - - Domestic species","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,103919000,,0,2,39,,"- - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,103921100,,0,2,39,,"- - - - Sows having farrowed at least once, of a weight of not less than 160 kg","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,103921900,,0,2,39,,"- - - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,103929000,,0,2,39,,"- - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,104101000,,0,2,0,,"- - Pure-bred breeding animals","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,104103000,,0,2,19,,"- - - Lambs (up to a year old)","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,104108000,,0,2,19,,"- - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,104201000,,0,2,0,,"- - Pure-bred breeding animals","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,104209000,,0,2,19,,"- - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,105111100,,0,2,0,,"- - - - Laying stocks","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,105111900,,0,2,0,,"- - - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,105119100,,0,2,15,,"- - - - Laying stocks","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,105119900,,0,2,15,,"- - - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,105120000,,0,2,15,,"- - Turkeys","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,105192000,,0,2,15,,"- - - Geese","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,105199000,,0,2,15,,"- - - Ducks and guinea fowls","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,105920000,,0,2,15,,"- - Fowls of the species Gallus domesticus weighing not more than 2 000 g","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,105930000,,0,2,15,,"- - Fowls of the species Gallus domesticus weighing more than 2 000 g","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,105991000,,0,2,15,,"- - - Ducks","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,105992000,,0,2,15,,"- - - Geese","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,105993000,,0,2,15,,"- - - Turkeys","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,105995000,,0,2,15,,"- - - Guinea fowls","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,106110000,,0,2,0,,"- - Primates","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,106120000,,0,2,0,,"- - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,106191000,,0,2,0,,"- - - Domestic rabbits","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,106199000,,0,2,0,,"- - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,106200000,,0,2,0,,"- Reptiles (including snakes and turtles)","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,106310000,,0,2,0,,"- - Birds of prey","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,106320000,,0,2,0,,"- - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,106391000,,0,2,0,,"- - - Pigeons","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,106399000,,0,2,0,,"- - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,106900071,,0,2,0,,"- - Biological pesticides in plant production  ","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,106900072,,0,2,0,,"- - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,201100000,,0,2,29,,"- Carcases and half-carcases","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,201202000,,0,2,25,,"- - ‘Compensated’ quarters","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,201203000,,0,2,0,,"- - Unseparated or separated forequarters","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,201205000,,0,2,0,,"- - Unseparated or separated hindquarters","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,201209000,,0,2,25,,"- - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,201300000,,0,2,39,,"- Boneless","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,202100000,,0,2,33,,"- Carcases and half-carcases","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,202201000,,0,2,33,,"- - ‘Compensated’ quarters","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,202203000,,0,2,33,,"- - Unseparated or separated forequarters","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,202205000,,0,2,33,,"- - Unseparated or separated hindquarters","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,202209000,,0,2,33,,"- - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,202301000,,0,2,33,,"- - Forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; ‘compensated’ quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, ex","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,202305000,,0,2,33,,"- - Crop, chuck and blade and brisket cuts","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,202309000,,0,2,33,,"- - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203111000,,0,2,33,,"- - - Of domestic swine","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203119000,,0,2,33,,"- - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203121100,,0,2,33,,"- - - - Hams and cuts thereof","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203121900,,0,2,33,,"- - - - Shoulders and cuts thereof","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203129000,,0,2,33,,"- - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203191100,,0,2,25,,"- - - - Fore-ends and cuts thereof","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203191300,,0,2,25,,"- - - - Loins and cuts thereof, with bone in","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203191500,,0,2,25,,"- - - - Bellies (streaky) and cuts thereof","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203195500,,0,2,25,,"- - - - - Boneless","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203195900,,0,2,25,,"- - - - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203199000,,0,2,25,,"- - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203211000,,0,2,25,,"- - - Of domestic swine","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203219000,,0,2,25,,"- - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203221100,,0,2,25,,"- - - - Hams and cuts thereof","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203221900,,0,2,25,,"- - - - Shoulders and cuts thereof","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203229000,,0,2,25,,"- - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203291100,,0,2,10,,"- - - - Fore-ends and cuts thereof","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203291300,,0,2,10,,"- - - - Loins and cuts thereof, with bone in","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203291500,,0,2,10,,"- - - - Bellies (streaky) and cuts thereof","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203295500,,0,2,10,,"- - - - - Boneless","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203295900,,0,2,10,,"- - - - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,203299000,,0,2,10,,"- - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,204100000,,0,2,15,,"- Carcases and half-carcases of lamb, fresh or chilled","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,204210000,,0,2,15,,"- - Carcases and half-carcases","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,204221000,,0,2,15,,"- - - Short forequarters","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,204223000,,0,2,15,,"- - - Chines and/or best ends","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,204225000,,0,2,15,,"- - - Legs","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,204229000,,0,2,15,,"- - - Other","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,204230000,,0,2,15,,"- - Boneless","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,204300000,,0,2,15,,"- Carcases and half-carcases of lamb, frozen","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,204410000,,0,2,15,,"- - Carcases and half-carcases","MFN Applied Duty","A","",""
"233","Estonia","000"," World",2003,204421000,,0,2,15,,"- - - Short forequarters","MFN Applied Duty","A","",""
