"Reporter","ReporterName","Partner","PartnerName","Year","TL","TrfLineDescription","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate"
"918","European Union","000"," World",2023,1012100,"-- Pure-bred breeding animals",,0,2,0,""
"918","European Union","000"," World",2023,1012910,"--- For slaughter",,0,2,0,""
"918","European Union","000"," World",2023,1012990,"--- Other",,0,2,11.5,""
"918","European Union","000"," World",2023,1013000,"- Asses",,0,2,7.7,""
"918","European Union","000"," World",2023,1019000,"- Other",,0,2,10.9,""
"918","European Union","000"," World",2023,1022110,"--- Heifers (female bovines that have never calved)",,0,2,0,""
"918","European Union","000"," World",2023,1022130,"--- Cows",,0,2,0,""
"918","European Union","000"," World",2023,1022190,"--- Other",,0,2,0,""
"918","European Union","000"," World",2023,1022905,"--- Of the sub-genus Bibos or of the sub-genus Poephagus",,0,2,0,""
"918","European Union","000"," World",2023,1022910,"---- Of a weight not exceeding 80 kg",,0,2,,"10.2 % + 93.1 EUR/100 kg"
"918","European Union","000"," World",2023,1022921,"----- For slaughter",,0,2,,"10.2 % + 93.1 EUR/100 kg"
"918","European Union","000"," World",2023,1022929,"----- Other",,0,2,,"10.2 % + 93.1 EUR/100 kg"
"918","European Union","000"," World",2023,1022941,"----- For slaughter",,0,2,,"10.2 % + 93.1 EUR/100 kg"
"918","European Union","000"," World",2023,1022949,"----- Other",,0,2,,"10.2 % + 93.1 EUR/100 kg"
"918","European Union","000"," World",2023,1022951,"------ For slaughter",,0,2,,"10.2 % + 93.1 EUR/100 kg"
"918","European Union","000"," World",2023,1022959,"------ Other",,0,2,,"10.2 % + 93.1 EUR/100 kg"
"918","European Union","000"," World",2023,1022961,"------ For slaughter",,0,2,,"10.2 % + 93.1 EUR/100 kg"
"918","European Union","000"," World",2023,1022969,"------ Other",,0,2,,"10.2 % + 93.1 EUR/100 kg"
"918","European Union","000"," World",2023,1022991,"------ For slaughter",,0,2,,"10.2 % + 93.1 EUR/100 kg"
"918","European Union","000"," World",2023,1022999,"------ Other",,0,2,,"10.2 % + 93.1 EUR/100 kg"
"918","European Union","000"," World",2023,1023100,"-- Pure-bred breeding animals",,0,2,0,""
"918","European Union","000"," World",2023,1023910,"--- Domestic species",,0,2,,"10.2 % + 93.1 EUR/100 kg"
"918","European Union","000"," World",2023,1023990,"--- Other",,0,2,0,""
"918","European Union","000"," World",2023,1029020,"-- Pure-bred breeding animals",,0,2,0,""
"918","European Union","000"," World",2023,1029091,"--- Domestic species",,0,2,,"10.2 % + 93.1 EUR/100 kg"
"918","European Union","000"," World",2023,1029099,"--- Other",,0,2,0,""
"918","European Union","000"," World",2023,1031000,"- Pure-bred breeding animals",,0,2,0,""
"918","European Union","000"," World",2023,1039110,"--- Domestic species",,0,2,,"41.2 EUR/100 kg"
"918","European Union","000"," World",2023,1039190,"--- Other",,0,2,0,""
"918","European Union","000"," World",2023,1039211,"---- Sows having farrowed at least once, of a weight of not less than 160 kg",,0,2,,"35.1 EUR/100 kg"
"918","European Union","000"," World",2023,1039219,"---- Other",,0,2,,"41.2 EUR/100 kg"
"918","European Union","000"," World",2023,1039290,"--- Other",,0,2,0,""
"918","European Union","000"," World",2023,1041010,"-- Pure-bred breeding animals",,0,2,0,""
"918","European Union","000"," World",2023,1041030,"--- Lambs (up to a year old)",,0,2,,"80.5 EUR/100 kg"
"918","European Union","000"," World",2023,1041080,"--- Other",,0,2,,"80.5 EUR/100 kg"
"918","European Union","000"," World",2023,1042010,"-- Pure-bred breeding animals",,0,2,3.2,""
"918","European Union","000"," World",2023,1042090,"-- Other",,0,2,,"80.5 EUR/100 kg"
"918","European Union","000"," World",2023,1051111,"---- Laying stocks",,0,2,,"52 EUR/1000 p/st"
