"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"268","Georgia","000"," World",2022,1012100000,,0,2,0,"","-- Pure-bred breeding animals","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1012910000,,0,2,0,"","– – –For slaughter","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1012990000,,0,2,0,"","– – –Other","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1.013e+09,,0,2,0,"","- Asses","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1.019e+09,,0,2,0,"","– Other","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1022110000,,0,2,0,"","– – –Heifers (female bovines that have never calved)","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1022130000,,0,2,0,"","– – –Cows","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1022190000,,0,2,0,"","– – –Other","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1022905000,,0,2,0,"","–––Of the sub-genus Bibos or of the sub-genus Poephagus","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1022910000,,0,2,0,"","– – – –Of a weight not exceeding 80 kg","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1022921000,,0,2,0,"","– – – – –For slaughter","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1022929000,,0,2,0,"","– – – –Other","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1022941000,,0,2,0,"","– – – – –For slaughter","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1022949000,,0,2,0,"","– – – – –Other","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1022951000,,0,2,0,"","– – – – – – For slaughter","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1022959000,,0,2,0,"","– – – – – – Other","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1022961000,,0,2,0,"","– – – – – – For slaughter","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1022969000,,0,2,0,"","– – – – – – Other","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1022991000,,0,2,0,"","– – – – – – For slaughter","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1022999000,,0,2,0,"","– – – – – – Other","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1023100000,,0,2,0,"","– –Pure-bred breeding animals","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1023910000,,0,2,0,"","– – –Domestic species","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1023990000,,0,2,0,"","– – –Other","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1029020000,,0,2,0,"","– –Pure-bred breeding animals","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1029091000,,0,2,0,"","– – –Domestic species","MFN applied duty rates","A","",""
"268","Georgia","000"," World",2022,1029099000,,0,2,0,"","– – –Other","MFN applied duty rates","A","",""
