"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"288","Ghana","000"," World",2022,101210000,,0,2,5,,"-- Pure-bred breeding animals","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,101290000,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,101301000,,0,2,5,,"-- Pure-bred breeding animals","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,101309000,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,101900000,,0,2,10,,"- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,102210000,,0,2,5,,"-- Pure-bred breeding animals","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,102290000,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,102310000,,0,2,5,,"-- Pure-bred breeding animals","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,102390000,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,102900000,,0,2,10,,"- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,103100000,,0,2,5,,"- Pure-bred breeding animals","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,103910000,,0,2,10,,"-- Weighing less than 50 kg","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,103920000,,0,2,10,,"-- Weighing 50 kg or more","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,104101000,,0,2,5,,"-- Pure-bred breeding animals","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,104109000,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,104201000,,0,2,5,,"-- Pure-bred breeding animals","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,104209000,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,105111000,,0,2,5,,"--- Breeders","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,105119000,,0,2,10,,"--- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,105120000,,0,2,5,,"-- Turkeys","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,105130000,,0,2,5,,"-- Ducks","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,105140000,,0,2,5,,"-- Geese","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,105150000,,0,2,5,,"-- Guinea fowls","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,105940000,,0,2,10,,"-- Fowls of the species Gallus domesticus","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,105990000,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,106110000,,0,2,10,,"-- Primates","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,106120000,,0,2,10,,"-- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,106130000,,0,2,10,,"-- Camels and other camelids (Camelidae)","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,106140000,,0,2,10,,"-- Rabbits and hares","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,106190000,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,106200000,,0,2,10,,"- Reptiles (including snakes and turtles)","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,106310000,,0,2,10,,"-- Birds of prey","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,106320000,,0,2,10,,"-- Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,106330000,,0,2,10,,"-- Ostriches; emus (Dromaius novaehollandiae)","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,106390000,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,106410000,,0,2,5,,"-- Bees","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,106490000,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,106900000,,0,2,10,,"- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,201100000,,0,2,35,,"- Carcasses and half-carcasses","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,201200000,,0,2,35,,"- Other cuts with bone in","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,201300000,,0,2,35,,"- Boneless","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,202100000,,0,2,35,,"- Carcasses and half-carcasses","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,202200000,,0,2,35,,"- Other cuts with bone in","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,202300000,,0,2,35,,"- Boneless","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,203110000,,0,2,35,,"-- Carcasses and half-carcasses","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,203120000,,0,2,35,,"-- Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,203190000,,0,2,35,,"-- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,203210000,,0,2,35,,"-- Carcasses and half-carcasses","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,203220000,,0,2,35,,"-- Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,203290000,,0,2,35,,"-- Other","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,204100000,,0,2,35,,"- Carcasses and half-carcasses of lamb, fresh or chilled","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,204210000,,0,2,35,,"-- Carcasses and half-carcasses","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,204220000,,0,2,35,,"-- Other cuts with bone in","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,204230000,,0,2,35,,"-- Boneless","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,204300000,,0,2,35,,"- Carcasses and half-carcasses of lamb, frozen","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,204410000,,0,2,35,,"-- Carcasses and half-carcasses","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,204420000,,0,2,35,,"-- Other cuts with bone in","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,204430000,,0,2,35,,"-- Boneless","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,204500000,,0,2,35,,"- Meat of goats","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,2.05e+08,,0,2,20,,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,206100000,,0,2,35,,"- Of bovine animals, fresh or chilled","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,206210000,,0,2,35,,"-- Tongues","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,206220000,,0,2,35,,"-- Livers","MFN applied duty rates","A",,
"288","Ghana","000"," World",2022,206290000,,0,2,35,,"-- Other","MFN applied duty rates","A",,
