"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"320","Guatemala","000"," World",2022,101210000,,0,2,0,,"- - Reproductores de raza pura","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,101290000,,0,2,10,,"- - Los demás","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,101300000,,0,2,10,,"- Asnos","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,101900000,,0,2,10,,"- Los demás","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,102210000,,0,2,0,,"- - Reproductores de raza pura","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,102290000,,0,2,10,,"- - Los demás","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,102310000,,0,2,0,,"- - Reproductores de raza pura","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,102390000,,0,2,10,,"- - Los demás","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,102901000,,0,2,0,,"- - Reproductores de raza pura","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,102909000,,0,2,10,,"- - Otros","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,103100000,,0,2,0,,"- Reproductores de raza pura","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,103910000,,0,2,10,,"- - De peso inferior a 50 kg","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,103920000,,0,2,10,,"- - De peso superior o igual a 50 kg","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,104101000,,0,2,0,,"- - Reproductores de raza pura","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,104109000,,0,2,10,,"- - Otros","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,104201000,,0,2,0,,"- - Reproductores de raza pura","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,104209000,,0,2,10,,"- - Otros","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,105110000,,0,2,0,,"- - Aves de la especie Gallus domesticus","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,105120000,,0,2,0,,"- - Pavos (gallipavos)","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,105130000,,0,2,10,,"- - Patos","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,105140000,,0,2,10,,"- - Gansos","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,105150000,,0,2,10,,"- - Pintadas","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,105940000,,0,2,10,,"- - Aves de la especie Gallus domesticus","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,105990000,,0,2,10,,"- - Los demás","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,106110000,,0,2,10,,"- - Primates","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,106120000,,0,2,10,,"- - Ballenas, delfines y marsopas (mamíferos del orden Cetácea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,106130000,,0,2,10,,"- - Camellos y demás camélidos (Camelidae)","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,106140000,,0,2,10,,"- - Conejos y liebres","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,106190000,,0,2,10,,"- - Los demás","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,106200000,,0,2,10,,"- Reptiles (incluidas las serpientes y tortugas de mar)","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,106310000,,0,2,10,,"- - Aves de rapiña","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,106320000,,0,2,10,,"- - Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos)","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,106330000,,0,2,10,,"- - Avestruces; emúes (Dromaius novaehollandiae)","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,106390000,,0,2,10,,"- - Las demás","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,106410000,,0,2,0,,"- - Abejas","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,106490000,,0,2,10,,"- - Los demás","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,106900000,,0,2,10,,"- Los demás","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,201100000,,0,2,15,,"- En canales o medias canales","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,201200000,,0,2,15,,"- Los demás cortes (trozos) sin deshuesar","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,201300000,,0,2,15,,"- Deshuesada","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,202100000,,0,2,15,,"- En canales o medias canales","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,202200000,,0,2,15,,"- Los demás cortes (trozos) sin deshuesar","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,202300000,,0,2,15,,"- Deshuesada","MFN applied duty rates","A",,""
"320","Guatemala","000"," World",2022,203110000,,0,2,15,,"- - En canales o medias canales","MFN applied duty rates","A",,""
