"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"328","Guyana","000"," World",2022,101210000,,0,2,0,,"- - Pure-bred breeding animals","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,101291000,,0,2,45,,"- - - Race horses, not for breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,101299000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,101301000,,0,2,0,,"- - - Pure-bred breeding animals","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,101309000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,101900000,,0,2,40,,"- Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,102211000,,0,2,0,,"- - - Bulls","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,102212000,,0,2,0,,"- - - Cows","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,102291000,,0,2,0,,"- - - Bulls, for breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,102292000,,0,2,0,,"- - - Bulls, for rearing, weighing notmore than 270 kg","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,102293000,,0,2,40,,"- - - Other bulls","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,102294000,,0,2,0,,"- - - Cows, for breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,102295000,,0,2,0,,"- - - Cows, for rearing, weighing not more than270 kg","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,102296000,,0,2,40,,"- - - Other cows","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,102310000,,0,2,0,,"- - Pure-bred breeding animals","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,102390000,,0,2,40,,"- - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,102900000,,0,2,40,,"- Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,103100000,,0,2,0,,"- Pure bred breeding animals","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,103911000,,0,2,0,,"- - - For breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,103919000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,103921000,,0,2,0,,"- - - For breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,103929000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,104101000,,0,2,0,,"- - - For breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,104102000,,0,2,40,,"- - - For rearing","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,104109000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,104201000,,0,2,0,,"- - - For breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,104202000,,0,2,40,,"- - - For rearing","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,104209000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105111000,,0,2,0,,"- - - For breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105112000,,0,2,40,,"- - - For rearing","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105119000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105121000,,0,2,0,,"- - - For breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105122000,,0,2,40,,"- - - For rearing","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105129000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105131000,,0,2,0,,"- - - For breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105132000,,0,2,40,,"- - - For rearing","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105139000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105141000,,0,2,0,,"- - - For breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105142000,,0,2,40,,"- - - For rearing","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105149000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105151000,,0,2,0,,"- - - For breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105152000,,0,2,40,,"- - - For rearing","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105159000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105941000,,0,2,0,,"- - - Cocks for breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105942000,,0,2,40,,"- - - Cocks for rearing","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105943000,,0,2,0,,"- - - Hens for breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105944000,,0,2,40,,"- - - Hens for rearing","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105949000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105991000,,0,2,0,,"- - - For breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105992000,,0,2,40,,"- - - For rearing","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,105999000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106111000,,0,2,40,,"- - - Monkeys","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106119000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106120000,,0,2,40,,"- - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lioins and walruses(mammals of the suborder Pinnipedia)","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106130000,,0,2,40,,"- - Camels and other camelids(Cameidae)","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106140000,,0,2,40,,"- - Rabbits and hares","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106191000,,0,2,40,,"- - - Dogs","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106192000,,0,2,40,,"- - - Cats","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106199000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106201000,,0,2,40,,"- - - Turtles","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106209000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106310000,,0,2,40,,"- - Birds of prey","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106320000,,0,2,40,,"- - Psittaciformes (including parrots, parakeets, macaws andcockatoos).","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106330000,,0,2,40,,"- - Ostriches; emus (Dromaiusnovaehollandiae)","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106391000,,0,2,40,,"- - - Pigeons","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106399000,,0,2,40,,"- - - Other birds","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106411000,,0,2,0,,"- - - Bees for breeding","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106419000,,0,2,40,,"- - - Other bees","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106490000,,0,2,40,,"- - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,106900000,,0,2,40,,"- Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,201100000,,0,2,40,,"- Carcasses and half-carcasses","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,201201000,,0,2,40,,"- - - Brisket","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,201209000,,0,2,40,,"- - - Other","MFN applied duty","A",,""
"328","Guyana","000"," World",2022,201301000,,0,2,40,,"- - - Tenderloin","MFN applied duty","A",,""
