"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"344","Hong Kong, China","000"," World",2023,1012100,,0,2,0,,"LIVE HORSES, FOR PURE-BRED BREEDING","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1012910,,0,2,0,,"LIVE HORSES, FOR RACING","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1012990,,0,2,0,,"LIVE HORSES, OTHER THAN THOSE FOR PURE-BRED BREEDING OR RACING","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1013000,,0,2,0,,"LIVE ASSES","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1019000,,0,2,0,,"LIVE MULES AND HINNIES","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1022100,,0,2,0,,"LIVE CATTLE, FOR PURE-BRED BREEDING","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1022900,,0,2,0,,"LIVE CATTLE, OTHER THAN THOSE FOR PURE-BRED BREEDING","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1023100,,0,2,0,,"LIVE BUFFALO, FOR PURE-BRED BREEDING","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1023900,,0,2,0,,"LIVE BUFFALO, OTHER THAN THOSE FOR PURE-BRED BREEDING","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1029000,,0,2,0,,"LIVE BOVINE ANIMALS, NESOI","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1031000,,0,2,0,,"SWINE, LIVE, PURE-BRED BREEDING","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1039110,,0,2,0,,"SWINE, LIVE, NESOI, WEIGHING LESS THAN 10 KG EACH","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1039120,,0,2,0,,"SWINE, LIVE, NESOI, WEIGHING 10 KG OR MORE BUT LESS THAN 50 KG EACH","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1039200,,0,2,0,,"SWINE, LIVE, NESOI, WEIGHING 50 KG OR MORE EACH","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1041000,,0,2,0,,"SHEEP, LIVE","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1042000,,0,2,0,,"GOATS, LIVE","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1051100,,0,2,0,,"CHICKENS, LIVE, WEIGHING NOT MORE THAN 185 G EACH","MFN applied duty rates","A",,
"344","Hong Kong, China","000"," World",2023,1051200,,0,2,0,,"TURKEYS, LIVE, WEIGHING NOT MORE THAN 185 G EACH","MFN applied duty rates","A",,
