"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"348","Hungary","000"," World",2002,101101000,,0,2,13.5,,"- - Horse","MFN applied duty","A",,
"348","Hungary","000"," World",2002,101109000,,0,2,13.5,,"- - Other","MFN applied duty","A",,
"348","Hungary","000"," World",2002,101901100,,0,2,13.5,,"- - - For slaughter","MFN applied duty","A",,
"348","Hungary","000"," World",2002,101901900,,0,2,13.5,,"- - - Other","MFN applied duty","A",,
"348","Hungary","000"," World",2002,101903000,,0,2,13.5,,"- - Asses","MFN applied duty","A",,
"348","Hungary","000"," World",2002,101909000,,0,2,17.3,,"- - Mules and hinnies","MFN applied duty","A",,
"348","Hungary","000"," World",2002,102101000,,0,2,23.5,,"- - Heifers (female bovines that have never calved)","MFN applied duty","A",,
"348","Hungary","000"," World",2002,102103000,,0,2,23.5,,"- - Cows","MFN applied duty","A",,
"348","Hungary","000"," World",2002,102109000,,0,2,23.5,,"- - Other","MFN applied duty","A",,
"348","Hungary","000"," World",2002,102900500,,0,2,40,,"- - - Of a weight not exceeding 80 kg","MFN applied duty","A",,
"348","Hungary","000"," World",2002,102902100,,0,2,40,,"- - - - For slaughter","MFN applied duty","A",,
"348","Hungary","000"," World",2002,102902900,,0,2,40,,"- - - - Other","MFN applied duty","A",,
"348","Hungary","000"," World",2002,102904100,,0,2,40,,"- - - - For slaughter","MFN applied duty","A",,
"348","Hungary","000"," World",2002,102904900,,0,2,40,,"- - - - Other","MFN applied duty","A",,
"348","Hungary","000"," World",2002,102905100,,0,2,40,,"- - - - - For slaughter","MFN applied duty","A",,
"348","Hungary","000"," World",2002,102905900,,0,2,40,,"- - - - - Other","MFN applied duty","A",,
"348","Hungary","000"," World",2002,102906100,,0,2,40,,"- - - - - For slaughter","MFN applied duty","A",,
"348","Hungary","000"," World",2002,102906900,,0,2,40,,"- - - - - Other","MFN applied duty","A",,
"348","Hungary","000"," World",2002,102907100,,0,2,40,,"- - - - - For slaughter","MFN applied duty","A",,
"348","Hungary","000"," World",2002,102907900,,0,2,40,,"- - - - - Other","MFN applied duty","A",,
"348","Hungary","000"," World",2002,102909000,,0,2,40,,"- - Other","MFN applied duty","A",,
"348","Hungary","000"," World",2002,103100000,,0,2,29.5,,"- Pure-bred breeding animals","MFN applied duty","A",,
"348","Hungary","000"," World",2002,103911000,,0,2,50.2,,"- - - Domestic species","MFN applied duty","A",,
"348","Hungary","000"," World",2002,103919000,,0,2,50.2,,"- - - Other","MFN applied duty","A",,
"348","Hungary","000"," World",2002,103921100,,0,2,50.2,,"- - - - Sows having farrowed at least once, of a weight of not less than 160 kg","MFN applied duty","A",,
"348","Hungary","000"," World",2002,103921900,,0,2,50.2,,"- - - - Other","MFN applied duty","A",,
"348","Hungary","000"," World",2002,103929000,,0,2,50.2,,"- - - Other","MFN applied duty","A",,
"348","Hungary","000"," World",2002,104101000,,0,2,25,,"- - Pure-bred breeding animals","MFN applied duty","A",,
"348","Hungary","000"," World",2002,104103000,,0,2,32,,"- - - Lambs (up to a year old)","MFN applied duty","A",,
"348","Hungary","000"," World",2002,104108000,,0,2,32,,"- - - Other","MFN applied duty","A",,
"348","Hungary","000"," World",2002,104201000,,0,2,25,,"- - Pure-bred breeding animals","MFN applied duty","A",,
"348","Hungary","000"," World",2002,104209000,,0,2,32,,"- - Other","MFN applied duty","A",,
"348","Hungary","000"," World",2002,105111100,,0,2,22,,"- - - - Laying stocks","MFN applied duty","A",,
"348","Hungary","000"," World",2002,105111900,,0,2,22,,"- - - - Other","MFN applied duty","A",,
