"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"352","Iceland","000"," World",2023,1012100,,0,2,0,"","Pure-bred horses for breeding","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1012901,,0,2,0,"","Riding horses","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1012909,,0,2,0,"","Live horses other than riding horses and breeding horses","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1013000,,0,2,0,"","Live asses","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1019000,,0,2,0,"","Live mules and hinnies","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1022100,,0,2,0,"","Pure-bred bovine animals for breeding","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1022900,,0,2,0,"","Live bovine animals other than for breeding","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1023100,,0,2,0,"","Pure-bred buffaloes for breeding","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1023900,,0,2,0,"","Live buffaloes other than for breeding","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1029000,,0,2,0,"","Other bovine animals","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1031000,,0,2,0,"","Pure-bred swine for breeding","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1039100,,0,2,0,"","Other swine < 50 kg","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1039200,,0,2,0,"","Other swine >= 50 kg","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1041000,,0,2,0,"","Live sheep","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1042000,,0,2,0,"","Live goats","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1051100,,0,2,0,"","Live Gallus domesticus fowl <= 185 g","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1051200,,0,2,0,"","Live domestic turkeys <= 185 g","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1051300,,0,2,0,"","Live domestic ducks <= 185 g","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1051400,,0,2,0,"","Live domestic geese <= 185 g","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1051500,,0,2,0,"","Live domestic guinea fowls <= 185 g","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1059400,,0,2,0,"","Live Gallus domesticus fowls > 185 g","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1059900,,0,2,0,"","Live domestic fowls other than Gallus domesticus > 185 g","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1061100,,0,2,0,"","Live primates","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1061200,,0,2,0,"","Live whales, dolphins, porpoises, manatees and dugongs","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1061300,,0,2,0,"","Live dromedaries and other camels","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1061400,,0,2,0,"","Live rabbits and hares","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1061901,,0,2,0,"","Live minks","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1061902,,0,2,0,"","Live foxes","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1061909,,0,2,0,"","Live mammals, n.e.s.","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1062000,,0,2,0,"","Live reptiles","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1063100,,0,2,0,"","Live birds of prey","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1063200,,0,2,0,"","Live Psittaciformes (e.g. parrots)","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1063300,,0,2,0,"","Live ostriches; emus","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1063900,,0,2,0,"","Other live birds, n.e.s.","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1064100,,0,2,0,"","Live bees","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1064900,,0,2,0,"","Live insects other than bees","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,1069000,,0,2,0,"","Live animals, n.e.s.","MFN - applied rate of duty","A",,""
"352","Iceland","000"," World",2023,2011000,,0,2,,"30% + 357 ISK/kg","Fresh bovine meat in carcasses and half-carcasses","MFN - applied rate of duty","C",,""
"352","Iceland","000"," World",2023,2012001,,0,2,,"30% + 703 ISK/kg","Fresh bovine loins and cuts thereof, with bone","MFN - applied rate of duty","C",,""
"352","Iceland","000"," World",2023,2012002,,0,2,,"30% + 500 ISK/kg","Fresh bovine rounds and cuts thereof, with bone","MFN - applied rate of duty","C",,""
"352","Iceland","000"," World",2023,2012003,,0,2,,"30% + 315 ISK/kg","Fresh bovine shoulders and cuts thereof, with bone","MFN - applied rate of duty","C",,""
"352","Iceland","000"," World",2023,2012004,,0,2,,"30% + 315 ISK/kg","Fresh bovine meat hip and hip slices with bone","MFN - applied rate of duty","C",,""
"352","Iceland","000"," World",2023,2012005,,0,2,,"30% + 703 ISK/kg","Fresh bovine meat short loin (loin saddle) and loin slices with bone","MFN - applied rate of duty","C",,""
"352","Iceland","000"," World",2023,2012009,,0,2,,"30% + 315 ISK/kg","Other fresh bovine meat, with bone","MFN - applied rate of duty","C",,""
"352","Iceland","000"," World",2023,2013001,,0,2,,"30% + 510 ISK/kg","Fresh minced beef","MFN - applied rate of duty","C",,""
"352","Iceland","000"," World",2023,2013002,,0,2,,"30% + 1462 ISK/kg","Fresh, boneless beef tenderloin","MFN - applied rate of duty","C",,""
"352","Iceland","000"," World",2023,2013003,,0,2,,"30% + 1087 ISK/kg","Fresh, boneless beef toploin","MFN - applied rate of duty","C",,""
