"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"356","India","000"," World",2023,1012100,,0,2,30,"","Pure-Bred Breeding Animals","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1012910,,0,2,30,"","Horses For Polo","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1012990,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1013010,,0,2,30,"","Pure-Bred Breeding Animals","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1013020,,0,2,30,"","Livestock","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1013090,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1019030,,0,2,30,"","Mules And Hinnies As Livestock","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1019090,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1022110,,0,2,30,"","Bulls","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1022120,,0,2,30,"","Cows","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1022910,,0,2,30,"","Bulls","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1022990,,0,2,30,"","Other Including Calves","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1023100,,0,2,30,"","Pure-Bred Breeding Animals","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1023900,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1029010,,0,2,30,"","Pure-Bred Breeding Animals","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1029090,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1031000,,0,2,30,"","Pure-Bred Breeding Animals","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1039100,,0,2,30,"","Weighing Less Than 50 Kg","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1039200,,0,2,30,"","Weighing 50 Kg Or More","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1041010,,0,2,30,"","Sheep Including Lamb For Breeding Purpose","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1041090,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1042000,,0,2,30,"","Goats","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1051100,,0,2,30,"","Fowls Of The Species Gallus Domesticus","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1051200,,0,2,30,"","Turkeys","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1051300,,0,2,30,"","Ducks","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1051400,,0,2,30,"","Geese","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1051500,,0,2,30,"","Guinea Fowls","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1059400,,0,2,30,"","Fowls Of The Species Gallus Domesticus","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1059900,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1061100,,0,2,30,"","Primates","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1061200,,0,2,30,"","Whales, Dolphins And Porpoises (Mammals Of The Order Cetacea); Manatees And Dugongs (Mammals Of The Order Sirenia); Seals, Sea Lions And Walruses (Mammals Of The Sub-Order Pinnipedia)","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1061300,,0,2,30,"","Camels And Other Camelids (Camelidae)","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1061400,,0,2,30,"","Rabbits And Hares","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1061900,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1062000,,0,2,30,"","Reptiles (Including Snakes And Turtles)","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1063100,,0,2,30,"","Birds Of Prey","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1063200,,0,2,30,"","Psittaciformes (Including Parrots, Parakeets, Macaws And Cockatoos)","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1063300,,0,2,30,"","Ostriches Emus (Dromaius No Vaehollandiae)","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1063900,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1064110,,0,2,30,"","Pureline Stock","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1064190,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1064910,,0,2,30,"","Pureline Stock","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1064990,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,1069000,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2011000,,0,2,30,"","Carcasses And Half Carcasses","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2012000,,0,2,30,"","Other Cuts With Bone In","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2013000,,0,2,30,"","Boneless","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2021000,,0,2,30,"","Carcasses And Half Carcasses","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2022000,,0,2,30,"","Other Cuts With Bone In","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2023000,,0,2,30,"","Boneless","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2031100,,0,2,30,"","Carcasses And Half Carcasses","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2031200,,0,2,30,"","Hams, Shoulders And Cuts Thereof, With Bone In","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2031900,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2032100,,0,2,30,"","Carcasses And Half Carcasses","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2032200,,0,2,30,"","Hams, Shoulders And Cuts Thereof, With Bone In","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2032900,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2041000,,0,2,30,"","Carcasses And Half Carcasses Of Lamb, Fresh Or Chilled","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2042100,,0,2,30,"","Carcasses And Half Carcasses","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2042200,,0,2,30,"","Other Cuts With Bone In","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2042300,,0,2,30,"","Boneless","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2043000,,0,2,30,"","Carcasses And Half-Carcasses Of Lamb, Frozen","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2044100,,0,2,30,"","Carcasses And Half-Carcasses","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2044200,,0,2,30,"","Other Cuts With Bone In","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2044300,,0,2,30,"","Boneless","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2045000,,0,2,30,"","Meat Of Goats","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2050000,,0,2,30,"","Meat Of Horses, Asses, Mules Or Hinnies, Fresh, Chilled Or Frozen","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2061000,,0,2,30,"","Of Bovine Animals Fresh Or Chilled","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2062100,,0,2,30,"","Tongues","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2062200,,0,2,30,"","Livers","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2062900,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2063000,,0,2,30,"","Of Swine, Fresh Or Chilled","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2064100,,0,2,30,"","Livers","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2064900,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2068010,,0,2,30,"","Of Sheep Or Goats","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2068090,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2069010,,0,2,30,"","Of Sheep Or Goats","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2069090,,0,2,30,"","Other","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2071100,,0,2,30,"","Not Cut In Pieces, Fresh Or Chilled","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2071200,,0,2,30,"","Not Cut In Pieces, Frozen","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2071300,,0,2,100,"","Cuts And Offal, Fresh Or Chilled","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2071400,,0,2,100,"","Cuts And Offal, Frozen","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2072400,,0,2,30,"","Not Cut In Pieces, Fresh Or Chilled","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2072500,,0,2,30,"","Not Cut In Pieces, Frozen","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2072600,,0,2,30,"","Cuts And Offal, Fresh Or Chilled","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2072700,,0,2,30,"","Cuts And Offal, Frozen","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2074100,,0,2,30,"","Not Cut In Pieces , Fresh Or Chilled","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2074200,,0,2,30,"","Not Cut In Pieces, Frozen","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2074300,,0,2,30,"","Fatty Livers, Fresh Or Chilled","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2074400,,0,2,30,"","Other, Fresh Or Chilled","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2074500,,0,2,30,"","Other, Frozen","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2075100,,0,2,30,"","Not Cut In Pieces , Fresh Or Chilled","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2075200,,0,2,30,"","Not Cut In Pieces Frozen","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2075300,,0,2,30,"","Fatty Livers, Fresh Or Chilled","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2075400,,0,2,30,"","Other Fresh Or Chilled","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2075500,,0,2,30,"","Other Frozen","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2076000,,0,2,30,"","Of Guinea Fowls","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2081000,,0,2,30,"","Of Rabbits Or Hares","MFN applied duty rates (standard rates)","A",,
"356","India","000"," World",2023,2083000,,0,2,30,"","Of Primates","MFN applied duty rates (standard rates)","A",,
