"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"376","Israel","000"," World",2021,1012100,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1012900,,0,2,0,"","- - Other","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1013000,,0,2,0,"","- Asses","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1019000,,0,2,0,"","- Other","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1022100,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1022910,,0,2,0,"","---Which average weight does not exceed 240 kg and Director General of Ministry of Agriculture and Rural Development approved that they are intented for growing","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1022920,,0,2,,"25 NIS per Each","---Which average weight exceeds 240 kg and does not exceed 250 kg and Director General of Ministry of Agriculture and Rural Development approved that they are intented for growing","MFN applied duty rates","S",,""
"376","Israel","000"," World",2021,1022930,,0,2,0,"","Which will be released from custom's supervision until 31.12.2021","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1022990,,0,2,,"1.15 NIS per Kilogram","---Others","MFN applied duty rates","S",,""
"376","Israel","000"," World",2021,1023100,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1023910,,0,2,0,"","---Which average weight does not ecxeed 240 kg and Director General of Ministry of Agriculture and Rural Development approved that they are intented for growing","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1023920,,0,2,,"25 NIS per Each","Which average weight exceeds 240 kg and does not exceed 250 kg and Director General of Ministry of Agriculture and Rural Development","MFN applied duty rates","S",,""
"376","Israel","000"," World",2021,1023930,,0,2,0,"","Which will be released from custom's supervision until 31.12.2021","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1023990,,0,2,,"1.15 NIS per Kilogram","Others","MFN applied duty rates","S",,""
"376","Israel","000"," World",2021,1029030,,0,2,0,"","Which will be released from custom's supervision until 31.12.2021","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1029040,,0,2,0,"","---Which average weight does not ecxeed 240 kg and Director General of Ministry of Agriculture and Rural Development approved that they are intented for growing","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1029050,,0,2,,"25 NIS per Each","---Which average weight exceeds 240 kg and does not exceed 250 kg and Director General of Ministry of Agriculture and Rural Development approved that they are intented for growing","MFN applied duty rates","S",,""
"376","Israel","000"," World",2021,1029080,,0,2,,"1.15 NIS per Kilogram","---Others","MFN applied duty rates","S",,""
"376","Israel","000"," World",2021,1031000,,0,2,0,"","- Pure-bred breeding animals","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1039110,,0,2,0,"",",Of the kind Minipig for research purposes only accompanied by a certificate of their health and (genetics (APPROVED HEALTH MONITORING REPORT - in accordance with the instructions of FELASA Federation of European Laboratory Animal Science Associations","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1039190,,0,2,30,"","Others","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1039200,,0,2,30,"","- - Weighing 50 kg or more","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1041010,,0,2,0,"","Intended for the cultivation of the race","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1041090,,0,2,,"6.22 NIS per Kilogram but no more than 170%","---OTHER","MFN applied duty rates","M",,""
"376","Israel","000"," World",2021,1042010,,0,2,0,"","Intended for the cultivation of the race","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1042090,,0,2,170,"","---OTHER","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1051100,,0,2,0,"","- - Fowls of the species Gallus domesticus","MFN applied duty rates","A",,""
"376","Israel","000"," World",2021,1051210,,0,2,,"6.60 NIS per Each but no more than 35%","---WHOSE VALUE DOES NOT EXCEED NIS 12 EACH","MFN applied duty rates","M",,""
