"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"388","Jamaica","000"," World",2016,101210000,,0,2,0,,"Pure- bred breeding animals","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,101291000,,0,2,5,,"Race horses, not for breeding","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,101299010,,0,2,5,,"Horses not for breeding nesoi","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,101299020,,0,2,5,,"Other Horses for breeding nesoi","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,101301000,,0,2,0,,"Pure- bred breeding animals","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,101309000,,0,2,40,,"Other","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,101900010,,0,2,40,,"Mules and hinnies not for breeding nesoi","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,101900090,,0,2,40,,"Mules and hinnies for breeding nesoi","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,102211000,,0,2,0,,"Bulls","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,102212000,,0,2,0,,"Cows","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,102291000,,0,2,0,,"Bulls, for breeding","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,102292000,,0,2,0,,"Bulls, for rearing, weighing not more than 270 kg","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,102293000,,0,2,40,,"Other bulls","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,102294000,,0,2,0,,"Cows, for breeding","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,102295000,,0,2,0,,"Cows, for rearing, weighing not more than 270 kg","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,102296000,,0,2,40,,"Other cows","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,102310000,,0,2,0,,"Pure -bred breeding animals","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,102390000,,0,2,40,,"Other","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,102900000,,0,2,40,,"Other","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,103100000,,0,2,0,,"Pure-bred breeding animals","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,103911000,,0,2,0,,"For breeding","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,103919000,,0,2,40,,"Other","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,103921000,,0,2,0,,"For breeding","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,103929000,,0,2,40,,"Other","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,104101000,,0,2,0,,"For breeding","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,104102000,,0,2,40,,"For rearing","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,104109000,,0,2,40,,"Other","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,104201000,,0,2,0,,"For breeding","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,104202000,,0,2,40,,"For rearing","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,104209000,,0,2,40,,"Other","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105111000,,0,2,0,,"For breeding","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105112000,,0,2,40,,"For rearing","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105119000,,0,2,40,,"Other","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105121000,,0,2,0,,"For breeding","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105122000,,0,2,40,,"For rearing","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105129000,,0,2,40,,"Other","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105131000,,0,2,0,,"For breeding","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105132000,,0,2,40,,"For rearing","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105139000,,0,2,40,,"Other","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105141000,,0,2,0,,"For breeding","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105142000,,0,2,40,,"For rearing","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105149000,,0,2,40,,"Other","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105151000,,0,2,0,,"For breeding","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105152000,,0,2,40,,"For rearing","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105159000,,0,2,40,,"Other","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105941000,,0,2,0,,"Cocks for breeding","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105942000,,0,2,40,,"Cocks for rearing","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105943000,,0,2,0,,"Hens for breeding","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105944000,,0,2,40,,"Hens for rearing","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105949000,,0,2,40,,"Other","MFN applied duty","A",,
"388","Jamaica","000"," World",2016,105991000,,0,2,0,,"For breeding","MFN applied duty","A",,
