"Reporter","ReporterName","Partner","PartnerName","Year","TL","TrfLineDescription","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate"
"392","Japan","000"," World",2023,10121100,"---1 Certified as being those other than Thoroughbred, Thoroughbred-grade, Arab, Anglo-Arab or Arab-grade horses (hereinafter referred to as ""light-breed horses"") in accordance with the provisions of the Cabinet Order for Enforcement of the Customs Tariff Law (hereinafter referred to as ""Cabinet Order"")",,0,2,0,""
"392","Japan","000"," World",2023,10121210,"----(1) ""Light-breed horses"" certified as being those used for purposes other than horse-race and as being not pregnant in accordance with the provisions of a Cabinet Order",,0,2,0,""
"392","Japan","000"," World",2023,10121290,"----(2) Other",,0,2,,"3,400,000yen/each"
"392","Japan","000"," World",2023,10129100,"---1 Certified as being not ""light-breed horses"" in accordance with the provisions of a Cabinet Order",,0,2,0,""
"392","Japan","000"," World",2023,10129210,"----(1) ""Light-breed horses"" certified as being those used for purposes other than horse-race and as being not pregnant in accordance with the provisions of a Cabinet Order",,0,2,0,""
"392","Japan","000"," World",2023,10129290,"----(2) Other",,0,2,,"3,400,000yen/each"
"392","Japan","000"," World",2023,10130000,"-Asses",,0,2,0,""
"392","Japan","000"," World",2023,10190000,"-Other",,0,2,0,""
"392","Japan","000"," World",2023,10221000,"--Pure-bred breeding animals",,0,2,0,""
"392","Japan","000"," World",2023,10229100,"---1 Weighing not more than 300 kg",,0,2,,"38,250yen/each"
"392","Japan","000"," World",2023,10229200,"---2 Other",,0,2,,"63,750yen/each"
"392","Japan","000"," World",2023,10231000,"--Pure-bred breeding animals",,0,2,0,""
"392","Japan","000"," World",2023,10239000,"--Other",,0,2,0,""
"392","Japan","000"," World",2023,10290100,"--1 Pure-bred breeding animals",,0,2,0,""
"392","Japan","000"," World",2023,10290210,"---(1) Weighing not more than 300 kg",,0,2,,"38,250yen/each"
"392","Japan","000"," World",2023,10290290,"---(2) Other",,0,2,,"63,750yen/each"
"392","Japan","000"," World",2023,10310000,"-Pure-bred breeding animals",,0,2,0,""
