"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"398","Kazakhstan","000"," World",2023,101210000,,0,2,0,"","- - purebred breeding animals","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,101291000,,0,2,5,"","- - - lethal","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,101299000,,0,2,5,"","- - - other","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,101300000,,0,2,0,"","- donkeys","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,101900000,,0,2,5,"","- others","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102211000,,0,2,0,"","- - - heifers (female cattle before first calving)","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102213000,,0,2,0,"","- - - cows","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102219000,,0,2,0,"","- - - other","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102290500,,0,2,5,"","- - - subgenus Bibos or subgenus Poephagus","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102291000,,0,2,5,"","- - - - weighing not more than 80 kg","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102292100,,0,2,5,"","- - - - - lethal","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102292900,,0,2,5,"","- - - - - other","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102294100,,0,2,5,"","- - - - - lethal","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102294900,,0,2,5,"","- - - - - other","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102295100,,0,2,5,"","- - - - - - lethal","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102295900,,0,2,5,"","- - - - - - other","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102296100,,0,2,5,"","- - - - - - lethal","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102296900,,0,2,5,"","- - - - - - other","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102299100,,0,2,5,"","- - - - - - lethal","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102299900,,0,2,5,"","- - - - - - other","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102310000,,0,2,0,"","- - purebred breeding animals","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102391000,,0,2,5,"","- - - domestic species","MFN applied duty rates","A",,
"398","Kazakhstan","000"," World",2023,102399000,,0,2,5,"","- - - other","MFN applied duty rates","A",,
