"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"414","Kuwait","000"," World",2016,1012110,,0,2,0,"","Live horses, asses, mules and hinnies: Horses: Pure-bred breeding animals: Of Arab breed","MFN duties (Applied)","A",,
"414","Kuwait","000"," World",2016,1012190,,0,2,0,"","Live horses, asses, mules and hinnies: Horses: Pure-bred breeding animals: Other","MFN duties (Applied)","A",,
"414","Kuwait","000"," World",2016,1012910,,0,2,0,"","Live horses, asses, mules and hinnies: Horses: Other: Horses for sport","MFN duties (Applied)","A",,
"414","Kuwait","000"," World",2016,1012920,,0,2,0,"","Live horses, asses, mules and hinnies: Horses: Other: Ponies","MFN duties (Applied)","A",,
"414","Kuwait","000"," World",2016,1012990,,0,2,0,"","Live horses, asses, mules and hinnies: Horses: Other: Other","MFN duties (Applied)","A",,
"414","Kuwait","000"," World",2016,1013000,,0,2,0,"","- Asses","MFN duties (Applied)","A",,
"414","Kuwait","000"," World",2016,1019000,,0,2,0,"","- Other","MFN duties (Applied)","A",,
"414","Kuwait","000"," World",2016,1022100,,0,2,0,"","-- Pure-bred breeding animals","MFN duties (Applied)","A",,
"414","Kuwait","000"," World",2016,1022900,,0,2,0,"","-- Other","MFN duties (Applied)","A",,
"414","Kuwait","000"," World",2016,1023100,,0,2,0,"","-- Pure-bred breeding animals","MFN duties (Applied)","A",,
"414","Kuwait","000"," World",2016,1023900,,0,2,0,"","-- Other","MFN duties (Applied)","A",,
"414","Kuwait","000"," World",2016,1029000,,0,2,0,"","- Other","MFN duties (Applied)","A",,
"414","Kuwait","000"," World",2016,1031000,,0,2,,"","- Pure-bred breeding animals","MFN duties (Applied)","P",,
"414","Kuwait","000"," World",2016,1039100,,0,2,,"","-- Weighing less than 50 kg","MFN duties (Applied)","P",,
"414","Kuwait","000"," World",2016,1039200,,0,2,,"","-- Weighing 50 kg or more","MFN duties (Applied)","P",,
"414","Kuwait","000"," World",2016,1041010,,0,2,0,"","Live sheep and goats: Sheep: Pure bred breeding animals","MFN duties (Applied)","A",,
