"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"418","Lao PDR","000"," World",2021,1012100,,0,2,5,,"- - Pure-bred breeding animals","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1012900,,0,2,10,,"- - Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1013010,,0,2,5,,"- - Pure-bred breeding animals","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1013090,,0,2,5,,"- - Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1019000,,0,2,10,,"- Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1022100,,0,2,5,,"- - Pure-bred breeding animals","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1022911,,0,2,10,,"- - - - Oxen","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1022919,,0,2,10,,"- - - - Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1022990,,0,2,10,,"- - - Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1023100,,0,2,5,,"- - Pure-bred breeding animals","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1023900,,0,2,10,,"- - Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1029010,,0,2,10,,"- - Pure-bred breeding animals","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1029090,,0,2,10,,"- - Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1031000,,0,2,5,,"- Pure-bred breeding animals","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1039100,,0,2,10,,"- - Weighing less than 50 kg","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1039200,,0,2,10,,"- - Weighing 50 kg or more","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1041010,,0,2,10,,"- - Pure-bred breeding animals","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1041090,,0,2,10,,"- - Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1042010,,0,2,10,,"- - Pure-bred breeding animals","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1042090,,0,2,10,,"- - Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1051110,,0,2,10,,"- - - Breeding fowls","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1051190,,0,2,10,,"- - - Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1051210,,0,2,10,,"- - - Breeding turkeys","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1051290,,0,2,10,,"- - - Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1051310,,0,2,10,,"- - - Breeding ducklings","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1051390,,0,2,10,,"- - - Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1051410,,0,2,10,,"- - - Breeding goslings","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1051490,,0,2,10,,"- - - Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1051510,,0,2,10,,"- - - Breeding guinea fowls","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1051590,,0,2,10,,"- - - Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1059410,,0,2,10,,"- - - Breeding fowls, other than fighting cocks","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1059441,,0,2,10,,"- - - - Weighing not more than 2 kg","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1059449,,0,2,10,,"- - - - Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1059491,,0,2,10,,"- - - - Weighing not more than 2 kg","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1059499,,0,2,10,,"- - - - Other","MFN applied rates","A",,""
"418","Lao PDR","000"," World",2021,1059910,,0,2,10,,"- - - Breeding ducks","MFN applied rates","A",,""
