"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"440","Lithuania","000"," World",2002,10110100,,0,2,20,"","--Horses","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10110900,,0,2,20,"","--Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10190110,,0,2,20,"","---For slaughter","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10190190,,0,2,20,"","---Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10190300,,0,2,20,"","-- Asses","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10190900,,0,2,20,"","--Mules and hinnies","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10210100,,0,2,20,"","--Heifers (female bovines that have never calved)","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10210300,,0,2,20,"","--Cows","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10210900,,0,2,20,"","--Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10290050,,0,2,20,"","---Of a weight not exceeding 80 kg","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10290210,,0,2,20,"","----For slaughter","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10290290,,0,2,20,"","----Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10290410,,0,2,20,"","----For slaughter","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10290490,,0,2,20,"","----Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10290510,,0,2,20,"","-----For slaughter","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10290590,,0,2,20,"","-----Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10290610,,0,2,20,"","-----For slaughter","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10290690,,0,2,20,"","-----Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10290710,,0,2,20,"","-----For slaughter","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10290790,,0,2,20,"","-----Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10290900,,0,2,20,"","--Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10310000,,0,2,20,"","-Pure-bred breeding animals","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10391100,,0,2,20,"","---Domestic species","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10391900,,0,2,20,"","---Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10392110,,0,2,20,"","----Sows having farrowed at least once, of a weight of not less than 160 kg","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10392190,,0,2,20,"","----Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10392900,,0,2,20,"","---Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10410100,,0,2,20,"","--Pure-bred breeding animals","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10410300,,0,2,20,"","---Lambs (up to a year old)","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10410800,,0,2,20,"","---Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10420100,,0,2,20,"","--Pure-bred breeding animals","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10420900,,0,2,20,"","--Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10511110,,0,2,20,"","----Laying stocks","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10511190,,0,2,20,"","----Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10511911,,0,2,0,"","-----Breeding","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10511919,,0,2,20,"","-----Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10511991,,0,2,0,"","-----Breeding","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10511999,,0,2,20,"","-----Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10512001,,0,2,0,"","---Breeding","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10512009,,0,2,20,"","---Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10519201,,0,2,0,"","----Breeding","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10519209,,0,2,20,"","----Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10519901,,0,2,0,"","----Breeding","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10519909,,0,2,20,"","----Other","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10592000,,0,2,20,"","--Fowls of the species Gallus domesticus weighing not more than 2000 g","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10593000,,0,2,20,"","--Fowls of the species Gallus domesticus weighing more than 2000 g","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10599100,,0,2,20,"","---Ducks","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10599200,,0,2,20,"","---Geese","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10599300,,0,2,20,"","---Turkeys","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10599500,,0,2,20,"","---Guinea fowls","MFN Applied Duty","A","",""
"440","Lithuania","000"," World",2002,10611000,,0,2,20,"","--Primates","MFN Applied Duty","A","",""
