"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"446","Macao","000"," World",2023,1012100,,0,2,0,,"Live horses, for pure-bred breeding","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1012900,,0,2,0,,"Live horses, other than those for pure-bred breeding","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1013000,,0,2,0,,"Live asses","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1019000,,0,2,0,,"Live mules and hinnies","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1022100,,0,2,0,,"Live cattle, for pure-bred breeding","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1022900,,0,2,0,,"Live cattle, other than that for pure-bred breeding","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1023100,,0,2,0,,"Live buffalo, for pure-bred breeding","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1023900,,0,2,0,,"Live buffalo, other than that for pure-bred breeding","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1029000,,0,2,0,,"Live bovine animals, other than cattle or buffalo","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1031000,,0,2,0,,"Live swine, for pure-bred breeding","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1039100,,0,2,0,,"Live swine, each weighing less than 50 kg, other than that for pure-bred breeding","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1039200,,0,2,0,,"Live swine, each weighing 50 kg or more, other than that for pure-bred breeding","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1041000,,0,2,0,,"Live sheep","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1042000,,0,2,0,,"Live goats","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1051100,,0,2,0,,"Live fowls of the species Gallus domesticus, weighing not more than 185 g","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1051200,,0,2,0,,"Live turkeys, weighing not more than 185 g","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1051300,,0,2,0,,"Live ducks, weighing not more than 185 g","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1051400,,0,2,0,,"Live geese, weighing not more than 185 g","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1051500,,0,2,0,,"Live guinea fowls, weighing not more than 185 g","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1059400,,0,2,0,,"Live fowls of the species Gallus domesticus, weighing more than 185 g","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1059900,,0,2,0,,"Live ducks, geese, turkeys and guinea fowls, weighing more than 185 g","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1061100,,0,2,0,,"Live primates","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1061200,,0,2,0,,"Live whales, dolphins and porpoises (mammals of the order Cetacea); live manatees and dugongs (mammals of the order Sirenia); live seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1061300,,0,2,0,,"Live camels and other camelids (Camelidae)","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1061400,,0,2,0,,"Live rabbits and hares","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1061900,,0,2,0,,"Live mammals, nesoi","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1062020,,0,2,0,,"Live turtles","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1062090,,0,2,0,,"Live reptiles, other than turtles","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1063100,,0,2,0,,"Live birds of prey","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1063200,,0,2,0,,"Live psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1063300,,0,2,0,,"Live ostriches; live emus (Dromaius novaehollandiae)","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1063900,,0,2,0,,"Live birds, nesoi","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1064100,,0,2,0,,"Live bees","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1064900,,0,2,0,,"Live insects, other than bees","MFN applied duty rates","A",,
"446","Macao","000"," World",2023,1069000,,0,2,0,,"Live animals, nesoi","MFN applied duty rates","A",,
