"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"454","Malawi","000"," World",2017,1012100,,0,2,10,,"--HORSES PURE-BRED BREEDING ANIMALS","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1012900,,0,2,10,,"--OTHER","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1013000,,0,2,10,,"-ASSES","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1019000,,0,2,10,,"OTHER LIVE ANIMALS;NES","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1022100,,0,2,10,,"--CATTLE PURE-BRED BREEDING ANIMALS","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1022900,,0,2,10,,"--OTHER","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1023100,,0,2,10,,"--BUFFALO PURE-BRED BREEDING ANOMALS","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1023900,,0,2,10,,"--OTHER","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1029000,,0,2,10,,"-LIVE BOVINE ANIMALS,OTHER THAN PURE-BRED BREEDING","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1031000,,0,2,0,,"-LIVE PURE-BRED BREEDING SWINE","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1039100,,0,2,10,,"--LIVE SWINE WEIGHING LESS THAN 50KG (EXCL.PURE-BRED BREEDING)","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1039200,,0,2,10,,"--LIVE SWINE WEIGHING 50KG OR MORE (EXCL.PURE-BRED BREEDING.)","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1041010,,0,2,0,,"---SHEEP PURE BRED BREEDING ANIMALS","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1041090,,0,2,10,,"---OTHER","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1042010,,0,2,0,,"---GOATS PURE BRED BREEDING ANIMALS","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1042090,,0,2,10,,"---OTHER","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1051100,,0,2,0,,"--LIVE FOWLS OF SPECIES GALLUS DOMESTICUS,WEIGHING NOT MORE THAN 185G(CHICKS","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1051200,,0,2,10,,"--LIVE TURKEYS WEIGHING NOT MORE THAN 185G","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1051300,,0,2,10,,"--DUCKS","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1051400,,0,2,10,,"--GEESE","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1051500,,0,2,10,,"--GUINEA FOWLS","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1059400,,0,2,10,,"LIVE FOWLS OF SPECIES GALLUS DOMESTICUS","MFN applied duty rates","A",,""
"454","Malawi","000"," World",2017,1059900,,0,2,10,,"LIVE DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING >185G","MFN applied duty rates","A",,""
