"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"462","Maldives","000"," World",2022,101210000,,0,2,25,"","Pure-bred breeding horses","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,101290000,,0,2,25,"","Horses, other than pure-bred breeding","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,101300000,,0,2,25,"","Asses","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,101900000,,0,2,25,"","Live mules and hinnies","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,102210000,,0,2,25,"","Pure-bred breeding cattle","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,102290000,,0,2,25,"","Live cattle, other than pure-bred breeding","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,102310000,,0,2,25,"","Live pure-bred breeding buffalo","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,102390000,,0,2,25,"","Live buffalo, other than pure-bred breeding","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,102900000,,0,2,25,"","Live bovine animals excluding cattle and buffalo","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,103100000,,0,2,35,"","Pure-bred breeding animals of swine","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,103910000,,0,2,35,"","Live swine weighing less than 50 kg","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,103920000,,0,2,35,"","Live swine weighing 50kg or more","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,104100000,,0,2,25,"","Live sheep","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,104200000,,0,2,25,"","Live goats","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,105110000,,0,2,0,"","Live chicks and broilers, weighing =< 185g (chicks)","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,105120000,,0,2,0,"","Live turkeys weighing not more than 185g","MFN applied duty rates","A",,""
"462","Maldives","000"," World",2022,105130000,,0,2,0,"","Live ducks weighing not more than 185g","MFN applied duty rates","A",,""
