"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"470","Malta","000"," World",2002,101101000,,0,2,0,"","Live Pure-Bred Breeding Horses","MFN applied duty","A",,""
"470","Malta","000"," World",2002,101109000,,0,2,10,"","Live Pure-Bred Breeding Equines (Excluding Horses)","MFN applied duty","A",,""
"470","Malta","000"," World",2002,101901100,,0,2,4,"","Live Horses For Slaughter","MFN applied duty","A",,""
"470","Malta","000"," World",2002,101901910,,0,2,10,"","Live Horses For Sport Not Pure-Bred Breeding Horses Not For Slaughter","MFN applied duty","A",,""
"470","Malta","000"," World",2002,101901990,,0,2,10,"","Live Horses Not For Sport Not Pure-Bred Breeding Horses Not For Slaughter","MFN applied duty","A",,""
"470","Malta","000"," World",2002,101903000,,0,2,10,"","Live Asses Not Pure-Bred Breeding Animals","MFN applied duty","A",,""
"470","Malta","000"," World",2002,101909000,,0,2,10,"","Live Mules And Hinnies","MFN applied duty","A",,""
"470","Malta","000"," World",2002,102101000,,0,2,0,"","Live Pure-Bred Breeding Heifers (Female Bovines That Have Never Calved)","MFN applied duty","A",,""
"470","Malta","000"," World",2002,102103000,,0,2,0,"","Live Pure-Bred Breeding Cows, Excluding Heifers Of Hs 01021010","MFN applied duty","A",,""
"470","Malta","000"," World",2002,102109000,,0,2,0,"","Live Pure-Bred Breeding Bovines,Excluding Cows & Heifers Of Hs01021010-30","MFN applied duty","A",,""
"470","Malta","000"," World",2002,102900500,,0,2,0,"","Live Domestic Bovines, Not Pure-Bred Breeding Stock, Of A Weight =< 80Kg","MFN applied duty","A",,""
"470","Malta","000"," World",2002,102902100,,0,2,0,"","Live Domestic Bovines For Slaughter, Weigth >80Kg,=<160Kg, Not Pure-Bred","MFN applied duty","A",,""
"470","Malta","000"," World",2002,102902900,,0,2,10,"","Live Domestic Bovines,Weight >80Kg,=<160Kg,Not Pure-Bred,Not For Slaughter","MFN applied duty","A",,""
"470","Malta","000"," World",2002,102904100,,0,2,0,"","Live Domestic Bovines For Slaughtrer, Weight >160Kg,=<300Kg, Not Pure-Bred","MFN applied duty","A",,""
"470","Malta","000"," World",2002,102904900,,0,2,10,"","Live Domestic Bovines,Weight>160Kg,=<300Kg,Not For Slaughter,Not Pure-Bred","MFN applied duty","A",,""
"470","Malta","000"," World",2002,102905100,,0,2,0,"","Live Domestic Heifers For Slaughter, Weight >300Kg, Not Pure-Bred Breeding","MFN applied duty","A",,""
"470","Malta","000"," World",2002,102905900,,0,2,10,"","Live Domestic Heifers, Wt >300Kg,Not Pure-Bred Breeding, Not For Slaughter","MFN applied duty","A",,""
"470","Malta","000"," World",2002,102906100,,0,2,0,"","Live Domestic Cows For Slaughter,Weight > 300Kg,Not Heifers,Not Pure-Bred","MFN applied duty","A",,""
"470","Malta","000"," World",2002,102906900,,0,2,10,"","Live Domestic Cows,Weight > 300Kg,Not Heifers,Not For Slaughter/Pure-Bred","MFN applied duty","A",,""
"470","Malta","000"," World",2002,102907100,,0,2,0,"","Live Domestic Bovines For Slaughter,Weight >300Kg,Not Cows, Not Pure-Bred","MFN applied duty","A",,""
"470","Malta","000"," World",2002,102907900,,0,2,10,"","Live Domestic Bovines,Weight >300Kg,Not Cows,Not For Slaughter / Pure-Bred","MFN applied duty","A",,""
"470","Malta","000"," World",2002,102909000,,0,2,0,"","Live Bovines, Of Non-Domestic Species, Not Pure-Bred For Breeding","MFN applied duty","A",,""
"470","Malta","000"," World",2002,103100000,,0,2,0,"","Live Pure-Bred Breeding Swine","MFN applied duty","A",,""
"470","Malta","000"," World",2002,103911000,,0,2,0,"","Live Domestic Swine, Weight < 50Kg, Not Pure-Bred Breeding Animals","MFN applied duty","A",,""
"470","Malta","000"," World",2002,103919000,,0,2,0,"","Live Swine, Weight < 50 Kg,Not Of The Domestic Type,Not Pure-Bred Breeders","MFN applied duty","A",,""
"470","Malta","000"," World",2002,103921100,,0,2,0,"","Live Domestic Sows Which Have Already Farrowed,Weight=>160Kg,Not Pure-Bred","MFN applied duty","A",,""
"470","Malta","000"," World",2002,103921900,,0,2,0,"","Live Domestic Swine,Weight=>50Kg,Not Pure-Bred Breeders,Excl Of Hs01039211","MFN applied duty","A",,""
"470","Malta","000"," World",2002,103929000,,0,2,0,"","Live Swine,Not Of The Domestic Type,Weight=>50Kg,Not Pure-Bred Breeders","MFN applied duty","A",,""
"470","Malta","000"," World",2002,104101000,,0,2,0,"","Live Pure-Bred Breeding Sheep","MFN applied duty","A",,""
"470","Malta","000"," World",2002,104103000,,0,2,10,"","Live Lambs (Up To One Year Old), Excluding Pure-Bred Breeding Animals","MFN applied duty","A",,""
"470","Malta","000"," World",2002,104108000,,0,2,10,"","Live Sheep, Over One Year Old, Excluding Pure-Bred Breeding Animals","MFN applied duty","A",,""
"470","Malta","000"," World",2002,104201000,,0,2,5,"","Live Pure-Bred Breeding Goats","MFN applied duty","A",,""
"470","Malta","000"," World",2002,104209000,,0,2,5,"","Live Goats, Excluding Pure-Bred Breeding Animals","MFN applied duty","A",,""
"470","Malta","000"," World",2002,105111110,,0,2,10,"","Live Laying Parent Chicks(Gallus Dom) Wt=<185Gm For Sport,Recreation,Hobby","MFN applied duty","A",,""
"470","Malta","000"," World",2002,105111190,,0,2,10,"","Live Laying Parent Chicks(Gallus Domesticus) Wt=<185Gm Not Of Hs0105111110","MFN applied duty","A",,""
"470","Malta","000"," World",2002,105111910,,0,2,10,"","Live Female Parent Chicks Not Layers Wt=<185Gm For Sport,Recreation,Hobby","MFN applied duty","A",,""
"470","Malta","000"," World",2002,105111990,,0,2,10,"","Live Female Parent Chicks(Gallus D)*Not Layers*Wt=<185Gm*Nes In 0105111910","MFN applied duty","A",,""
"470","Malta","000"," World",2002,105119110,,0,2,0,"","Live Laying Chicks(Gallus D)*Wt=<185Gm*Nes*For Sport,Recreation Or Hobby","MFN applied duty","A",,""
"470","Malta","000"," World",2002,105119190,,0,2,0,"","Live Laying Chicks(Gallus Dom)*Wt=<185Gm*Not Of Hs 0105111110 / Hs 0105119110","MFN applied duty","A",,""
"470","Malta","000"," World",2002,105119910,,0,2,0,"","Live Chicks(Gallus D)*Wt=<185Gm*For Sport/Recreation/Hobby*Not Layers*Nes","MFN applied duty","A",,""
"470","Malta","000"," World",2002,105119990,,0,2,0,"","Live Chicks(Gallus D)*Not Laying Stock*Wt=<185Gm*Nes In Hs0105111910-9910","MFN applied duty","A",,""
"470","Malta","000"," World",2002,105120010,,0,2,10,"","Live Turkeys*Weight=<185Gm*Kept For Sport,Recreation Or Hobby","MFN applied duty","A",,""
"470","Malta","000"," World",2002,105120090,,0,2,10,"","Live Turkeys*Weight=<185Gm*Not For Sport,Recreation Or Hobby","MFN applied duty","A",,""
