"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"484","Mexico","000"," World",2023,1012101,,0,2,10,"","Reproductores de raza pura.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1012902,,0,2,10,"","Sin pedigree, para reproducción.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1012903,,0,2,10,"","Para abasto, cuando la importación la realicen empacadoras Tipo Inspección Federal.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1012999,,0,2,20,"","Los demás.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1013001,,0,2,20,"","Asnos.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1019099,,0,2,20,"","Los demás.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1022101,,0,2,0,"","Reproductores de raza pura.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1022901,,0,2,0,"","Vacas lecheras.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1022902,,0,2,0,"","Con pedigree o certificado de alto registro, excepto lo comprendido en la fracción arancelaria 0102.29.01.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1022999,,0,2,0,"","Los demás.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1023101,,0,2,0,"","Reproductores de raza pura.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1023999,,0,2,15,"","Los demás.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1029099,,0,2,15,"","Los demás.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1031001,,0,2,0,"","Reproductores de raza pura.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1039101,,0,2,9,"","Con pedigree o certificado de alto registro.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1039199,,0,2,0,"","Los demás.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1039201,,0,2,9,"","Con pedigree o certificado de alto registro.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1039299,,0,2,0,"","Los demás.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1041001,,0,2,0,"","Con pedigree o certificado de alto registro.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1041099,,0,2,0,"","Los demás.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1042001,,0,2,0,"","Con pedigree o certificado de alto registro.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1042002,,0,2,20,"","Borrego cimarrón.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1042099,,0,2,0,"","Los demás.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1051103,,0,2,0,"","Recién nacidos, de tres días o menos.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1051199,,0,2,0,"","Los demás.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1051201,,0,2,10,"","Pavos (gallipavos).","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1051301,,0,2,10,"","Patos.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1051401,,0,2,10,"","Gansos.","Arancel NMF","A","",
"484","Mexico","000"," World",2023,1051501,,0,2,10,"","Pintadas.","Arancel NMF","A","",
