"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"498","Moldova","000"," World",2022,10121000,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10129100,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10129900,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10130000,,0,2,0,"","- Asses","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10190000,,0,2,15,"","- Other","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10221100,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10221300,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10221900,,0,2,5,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10229050,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10229100,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10229210,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10229290,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10229410,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10229490,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10229510,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10229590,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10229610,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10229690,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10229910,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10229990,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10231000,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10239100,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10239900,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10290200,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10290910,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10290990,,0,2,5,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10310000,,0,2,0,"","- Pure-bred breeding animals","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10391100,,0,2,10,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10391900,,0,2,10,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10392110,,0,2,10,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10392190,,0,2,10,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10392900,,0,2,10,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10410100,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10410300,,0,2,10,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10410800,,0,2,10,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10420100,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10420900,,0,2,10,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10511110,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10511190,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10511910,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10511990,,0,2,0,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10512000,,0,2,20,"","- - Turkeys","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10513000,,0,2,20,"","- - Ducks","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10514000,,0,2,20,"","- - Geese","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10515000,,0,2,20,"","- - Guinea fowls","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10594000,,0,2,20,"","- - Fowls of the species Gallus domesticus","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10599100,,0,2,20,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10599200,,0,2,20,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10599300,,0,2,20,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10599500,,0,2,20,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10611000,,0,2,0,"","- - Primates","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10612000,,0,2,0,"","- - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10613000,,0,2,0,"","- - Camels and other camelids (Camelidae)","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10614100,,0,2,5,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10614900,,0,2,20,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10619000,,0,2,20,"","- - Other","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10620000,,0,2,5,"","- Reptiles (including snakes and turtles)","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10631000,,0,2,0,"","- - Birds of prey","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10632000,,0,2,5,"","- - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10633000,,0,2,10,"","- - Ostriches; emus (Dromaius novaehollandiae)","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10639100,,0,2,10,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10639800,,0,2,20,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10641000,,0,2,0,"","- - Bees","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10649000,,0,2,20,"","- - Other","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,10690000,,0,2,20,"","- Other","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20110000,,0,2,,"20% + 200 Euro/t; max 35%","- Carcasses and half-carcasses","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20120200,,0,2,,"20% + 200 Euro/t; max 35%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20120300,,0,2,,"20% + 200 Euro/t; max 35%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20120500,,0,2,,"20% + 200 Euro/t; max 35%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20120900,,0,2,,"20% + 200 Euro/t; max 35%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20130000,,0,2,,"20% + 200 Euro/t; max 35%","- Boneless","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20210000,,0,2,,"20% + 150 Euro/t; max 25%","- Carcasses and half-carcasses","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20220100,,0,2,,"20% + 150 Euro/t; max 30%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20220300,,0,2,,"20% + 150 Euro/t; max 30%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20220500,,0,2,,"20% + 150 Euro/t; max 30%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20220900,,0,2,,"20% + 150 Euro/t; max 30%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20230100,,0,2,,"20% + 150 Euro/t; max 30%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20230500,,0,2,,"20% + 150 Euro/t; max 30%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20230900,,0,2,,"20% + 150 Euro/t; max 30%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20311100,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20311900,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20312110,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20312190,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20312900,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20319110,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20319130,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20319150,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20319550,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20319590,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20319900,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20321100,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20321900,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20322110,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20322190,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20322900,,0,2,,"20% + 200 Euro/t;max 25%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20329110,,0,2,,"10% + 200 Euro/t; max 15%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20329130,,0,2,,"10% + 200 Euro/t; max 15%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20329150,,0,2,,"10% + 200 Euro/t; max 15%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20329550,,0,2,,"10% + 200 Euro/t; max 15%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20329590,,0,2,,"10% + 200 Euro/t; max 15%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20329900,,0,2,,"10% + 200 Euro/t; max 15%","Not provided","MFN applied duty rates","M",,""
"498","Moldova","000"," World",2022,20410000,,0,2,,"10% + 100 euro/t","- Carcasses and half-carcasses of lamb, fresh or chilled","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20421000,,0,2,,"10% + 100 euro/t","- - Carcasses and half-carcasses","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20422100,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20422300,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20422500,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20422900,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20423000,,0,2,,"10% + 100 euro/t","- - Boneless","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20430000,,0,2,,"10% + 100 euro/t","- Carcasses and half-carcasses of lamb, frozen","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20441000,,0,2,,"10% + 100 euro/t","- - Carcasses and half-carcasses","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20442100,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20442300,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20442500,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20442900,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20443100,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20443900,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20450110,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20450130,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20450150,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20450190,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20450310,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20450390,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20450510,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20450530,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20450550,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20450590,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20450710,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20450790,,0,2,,"10% + 100 euro/t","Not provided","MFN applied duty rates","C",,""
"498","Moldova","000"," World",2022,20500200,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20500800,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20610100,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20610950,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20610980,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20621000,,0,2,15,"","- - Tongues","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20622000,,0,2,15,"","- - Livers","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20629100,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20629910,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20629990,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20630000,,0,2,15,"","- Of swine, fresh or chilled","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20641000,,0,2,15,"","- - Livers","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20649000,,0,2,15,"","- - Other","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20680100,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20680910,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
"498","Moldova","000"," World",2022,20680990,,0,2,15,"","Not provided","MFN applied duty rates","A",,""
